temperature,analysis_status,common_replicate_lag_cell_count,wave_number_count,tested_factorized_event_path_model_count,tested_variance_mixture_model_count,source_stationarity_pass,parent_sample_count,tested_factorized_event_path_closures_excluded_on_common_grid,positive_variance_mixture_shape_class_survives,diagnostic_shape_selection_only,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count,confirmatory_independent_parent_replication_required,next_required_action,blind_prediction_claim_allowed,unique_variance_mixture_family_selected,static_environment_resolved,finite_exchange_resolved,cage_jump_coupling_identified,factorized_event_path_family_excluded_beyond_tested_closures,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,variance_mixture_shape_survives_factorized_event_path_closures_fail,18.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,test_nonfactorized_cage_jump_or_environment_coupling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,high_temperature_canary_only,20.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,test_nonfactorized_cage_jump_or_environment_coupling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
