distance_midpoint,calibration_mean,heldout_mean,mean_paired_difference,standard_deviation_paired_difference,standard_error_paired_difference,ci95_low_paired_difference,ci95_high_paired_difference,ci95_critical_value,ci95_method,independent_replicate_count,paired_difference_ci_includes_zero,relative_equivalence_margin,absolute_equivalence_margin,paired_difference_ci_within_margin,distance_low,distance_high,spatial_measurement_claim_allowed,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.7,5.087192126822614,5.052325701386543,-0.03486642543607014,0.24912604805176614,0.14383299090483484,-0.6537298364040612,0.583996985531921,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,1.0174384253645228,1.0,0.0,1.4,1.0,0.0,0.0
1.7,2.397482060093617,2.3820026589452348,-0.015479401148381644,0.10685442570057428,0.06169243144232943,-0.2809205097085845,0.24996170741182122,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.4794964120187234,1.0,1.4,2.0,1.0,0.0,0.0
2.5,1.5899201937883483,1.5837174485095964,-0.00620274527875216,0.054724574578025605,0.03159524786391084,-0.1421461247526315,0.12974063419512716,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.3179840387576697,1.0,2.0,3.0,1.0,0.0,0.0
3.5,1.167509133590853,1.1632325433330486,-0.004276590257804506,0.02364606186528449,0.013652060183196545,-0.06301666427394814,0.05446348375833913,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.2335018267181706,1.0,3.0,4.0,1.0,0.0,0.0
4.5,1.0316892943015927,1.02304016607354,-0.008649128228052675,0.0207662863846693,0.01198942103425768,-0.06023544337115714,0.04293718691505179,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.20633785886031855,1.0,4.0,5.0,1.0,0.0,0.0
6.0,0.9599527204436246,0.9560204042718697,-0.003932316171754824,0.007301790084614698,0.004215690470918436,-0.022070968284912982,0.014206335941403334,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.19199054408872493,1.0,5.0,7.0,1.0,0.0,0.0
8.5,0.9305800057030313,0.93270008770565,0.002120082002618743,0.011588129402431903,0.006690409629898276,-0.026666427255687755,0.030906591260925244,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.18611600114060628,1.0,7.0,10.0,1.0,0.0,0.0
11.55,0.9038341946284771,0.9180433960958713,0.014209201467394203,0.013077070378472196,0.007550050103222604,-0.01827604222020343,0.04669444515499184,4.302652729911275,student_t_paired_independent_replicates,3.0,1.0,0.2,0.18076683892569545,1.0,10.0,13.1,1.0,0.0,0.0
