distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
3.5,5.0,4.25,544158.0,100.0,10.0,595.0,2.5901508095544633e-05,-5.365994061676759e-06,3.1267502157221394e-05,0.0017786852665513339,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956975.0,100.0,10.0,595.0,-9.317367116570398e-06,-5.365994061676759e-06,-3.951373054893639e-06,-0.00022477807789209793,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588798.0,100.0,10.0,595.0,-3.4436735363083754e-05,-5.365994061676759e-06,-2.9070741301406996e-05,-0.0016537201782393035,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8160.0,100.0,10.0,602.0,0.0015603227433280973,-5.477780061718268e-06,0.0015658005233898154,0.08725452324493357,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10578.0,100.0,10.0,602.0,0.001018297302847128,-5.477780061718268e-06,0.0010237750829088462,0.05705005550506814,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15449.0,100.0,10.0,602.0,0.0006706682788496131,-5.477780061718268e-06,0.0006761460589113314,0.03767836396332675,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64106.0,100.0,10.0,602.0,0.0002955645603697061,-5.477780061718268e-06,0.0003010423404314244,0.016775639999159406,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179684.0,100.0,10.0,602.0,0.00011722502188961716,-5.477780061718268e-06,0.00012270280195133542,0.006837636292203397,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,543888.0,100.0,10.0,602.0,1.9639592809228117e-06,-5.477780061718268e-06,7.4417393426410795e-06,0.0004146922987670756,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956770.0,100.0,10.0,602.0,-1.6726385873776032e-05,-5.477780061718268e-06,-1.1248605812057764e-05,-0.0006268306356013018,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589091.0,100.0,10.0,602.0,-2.7661277836127282e-05,-5.477780061718268e-06,-2.2183497774409014e-05,-0.0012361795090096682,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8177.0,100.0,10.0,492.0,0.001210270583546646,-4.507379093794292e-06,0.0012147779626404402,0.08226761854086477,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10497.0,100.0,10.0,492.0,0.0010441538080960056,-4.507379093794292e-06,0.0010486611871898,0.07101780010794942,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15419.0,100.0,10.0,492.0,0.0004016175000095732,-4.507379093794292e-06,0.00040612487910336747,0.02750373126740684,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64302.0,100.0,10.0,492.0,0.0001858172968324418,-4.507379093794292e-06,0.0001903246759262361,0.012889234345328463,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179245.0,100.0,10.0,492.0,1.7598677469298478e-05,-4.507379093794292e-06,2.210605656309277e-05,0.0014970741030092126,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544773.0,100.0,10.0,492.0,-1.9116468182666678e-05,-4.507379093794292e-06,-1.4609089088872386e-05,-0.0009893618466542743,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956406.0,100.0,10.0,492.0,-1.1172258960881865e-05,-4.507379093794292e-06,-6.6648798670875725e-06,-0.0004513613280689232,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588907.0,100.0,10.0,492.0,-1.3161952070705791e-05,-4.507379093794292e-06,-8.6545729769115e-06,-0.0005861080215441581,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8258.0,100.0,10.0,518.0,0.0012402200296008905,-4.633627825441278e-06,0.0012448536574263319,0.0820074406569665,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10419.0,100.0,10.0,518.0,0.0009519718721702336,-4.633627825441278e-06,0.0009566054999956749,0.0630184667129562,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15451.0,100.0,10.0,518.0,0.00039084466171391186,-4.633627825441278e-06,0.00039547828953935316,0.026052991985876375,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64117.0,100.0,10.0,518.0,0.00019798115197866543,-4.633627825441278e-06,0.0002026147798041067,0.013347689049138625,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179931.0,100.0,10.0,518.0,2.6807284039613477e-05,-4.633627825441278e-06,3.1440911865054755e-05,0.0020712384131200386,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,543701.0,100.0,10.0,518.0,-4.877488397610432e-06,-4.633627825441278e-06,-2.4386057216915335e-07,-1.606484527834486e-05,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956683.0,100.0,10.0,518.0,-2.0855993012492837e-05,-4.633627825441278e-06,-1.622236518705156e-05,-0.0010686835697163045,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589166.0,100.0,10.0,518.0,-9.705161435260602e-06,-4.633627825441278e-06,-5.071533609819324e-06,-0.00033409830068453783,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8232.0,100.0,10.0,522.0,0.0012678879774665505,-4.724743603059675e-06,0.0012726127210696103,0.08221936558004074,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10494.0,100.0,10.0,522.0,0.0011761218229578462,-4.724743603059675e-06,0.001180846566560906,0.07629065303418134,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15370.0,100.0,10.0,522.0,0.0006702833918346664,-4.724743603059675e-06,0.0006750081354377261,0.04361007849301574,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64058.0,100.0,10.0,522.0,0.00037957522244654295,-4.724743603059675e-06,0.0003842999660496026,0.024828369917969106,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179679.0,100.0,10.0,522.0,0.00010083384935223873,-4.724743603059675e-06,0.00010555859295529841,0.006819797099790003,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544542.0,100.0,10.0,522.0,1.359582063052009e-06,-4.724743603059675e-06,6.084325666111684e-06,0.00039308847693240876,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956653.0,100.0,10.0,522.0,-2.693297836966051e-05,-4.724743603059675e-06,-2.2208234766600835e-05,-0.0014348017609220863,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588698.0,100.0,10.0,522.0,-1.8896477102267778e-05,-4.724743603059675e-06,-1.4171733499208102e-05,-0.0009155895726823922,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8199.0,100.0,10.0,684.0,0.001719655521964891,-6.308557682281719e-06,0.0017259640796471727,0.08351371085075156,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10502.0,100.0,10.0,684.0,0.0014964735663723504,-6.308557682281719e-06,0.001502782124054632,0.07271467190999277,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15517.0,100.0,10.0,684.0,0.0007322115745523997,-6.308557682281719e-06,0.0007385201322346814,0.0357345541012152,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64069.0,100.0,10.0,684.0,0.00041275941068902154,-6.308557682281719e-06,0.00041906796837130325,0.020277317210754067,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179536.0,100.0,10.0,684.0,0.00016100508638483674,-6.308557682281719e-06,0.00016731364406711845,0.008095755558750271,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544332.0,100.0,10.0,684.0,2.794556863667981e-05,-6.308557682281719e-06,3.425412631896153e-05,0.0016574442275946227,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956429.0,100.0,10.0,684.0,-1.7709322323574057e-05,-6.308557682281719e-06,-1.1400764641292337e-05,-0.0005516454096338993,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589142.0,100.0,10.0,684.0,-4.285422911923061e-05,-6.308557682281719e-06,-3.654567143694889e-05,-0.0017683245400192992,0.45,7.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8237.0,100.0,10.0,591.0,0.0013703704716979753,-5.3731054732197205e-06,0.001375743577171195,0.07815706372613015,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10476.0,100.0,10.0,591.0,0.0011914216305198744,-5.3731054732197205e-06,0.001196794735993094,0.06799084073533689,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15393.0,100.0,10.0,591.0,0.0006101488607376584,-5.3731054732197205e-06,0.0006155219662108781,0.03496828212485279,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64196.0,100.0,10.0,591.0,0.00033649927228240466,-5.3731054732197205e-06,0.00034187237775562437,0.019422035950472056,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179701.0,100.0,10.0,591.0,0.0001522122051153703,-5.3731054732197205e-06,0.00015758531058859002,0.008952544185086763,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544024.0,100.0,10.0,591.0,2.7915541267324953e-05,-5.3731054732197205e-06,3.3288646740544674e-05,0.0018911539387355097,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956890.0,100.0,10.0,591.0,9.812585995717575e-07,-5.3731054732197205e-06,6.354364072791478e-06,0.000360996370266459,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588809.0,100.0,10.0,591.0,-4.946830231878538e-05,-5.3731054732197205e-06,-4.4095196845565656e-05,-0.0025050824638131464,0.45,8.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8093.0,100.0,10.0,574.0,0.0016604945683133898,-5.4317000023517e-06,0.0016659262683157415,0.09362161049168981,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10597.0,100.0,10.0,574.0,0.0011752946567867878,-5.4317000023517e-06,0.0011807263567891395,0.06635437904724481,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15396.0,100.0,10.0,574.0,0.0006735586151172316,-5.4317000023517e-06,0.0006789903151195833,0.038157851291956056,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64079.0,100.0,10.0,574.0,0.0003110271585343674,-5.4317000023517e-06,0.0003164588585367191,0.017784333288965358,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179638.0,100.0,10.0,574.0,0.00012511609449378998,-5.4317000023517e-06,0.00013054779449614168,0.007336516026740807,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544128.0,100.0,10.0,574.0,1.016628232895879e-05,-5.4317000023517e-06,1.559798233131049e-05,0.0008765743442863099,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956456.0,100.0,10.0,574.0,-2.2338263948925273e-05,-5.4317000023517e-06,-1.6906563946573573e-05,-0.0009501139244050665,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589339.0,100.0,10.0,574.0,-2.6899841387137813e-05,-5.4317000023517e-06,-2.1468141384786113e-05,-0.0012064651413048256,0.45,9.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
