record,scheme,stride,clone_count,trace_variance_ratio,mean_squared_mahalanobis_per_dimension,maximum_absolute_whitened_mean,maximum_absolute_whitened_covariance_error,maximum_absolute_whitened_component_excess_kurtosis,maximum_absolute_whitened_lag1_correlation,maximum_absolute_whitened_state_correlation,minimum_integrated_covariance_eigenvalue,sample_count,thermodynamic_claim_allowed,projected_ito_local_gate_pass,adapted_second_order_consistency_gate_pass,trapezoid_sensitivity_gate_pass,projected_sde_numerically_supported,microscopic_projected_sde_allowed,autonomous_single_particle_gle_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed
pooled,left,1.0,4.0,1.0234034303453006,1.0120992460542872,0.0038229939378167706,0.037740540728137026,0.08978501022796603,0.08673566503388636,0.22274297966211776,0.0006534420081079946,256000.0,0.0,,,,,,,,
pooled,left,2.0,4.0,1.1109038948150478,1.088671554669492,0.00543057742237403,0.11796115838617527,0.025129387858354946,0.07851510213188957,0.28439933715530114,0.0013084724887090931,128000.0,0.0,,,,,,,,
pooled,left,4.0,4.0,1.1962235806710546,1.1601897795698806,0.00786535427914828,0.2098636066910078,0.06906913695305583,0.026240572336503967,0.295319965676263,0.002647202544836868,64000.0,0.0,,,,,,,,
pooled,left,8.0,4.0,1.1762555710955234,1.138112369927315,0.01161473674788655,0.18054566922439674,0.052522106637399535,0.1286269034576709,0.20251994182158198,0.005442981809559725,32000.0,0.0,,,,,,,,
pooled,adams_bashforth2,1.0,4.0,0.9327913746527065,0.93804801305931,0.003926948491334171,0.0683240973755691,0.12057325499397864,0.030432952223897778,0.03238366626542239,0.0006534420081079946,255744.0,0.0,,,,,,,,
pooled,adams_bashforth2,2.0,4.0,0.9573950810197355,0.9626906816148865,0.005604447320406901,0.04290340258785119,0.061490703800808344,0.02989126561073386,0.043943365076022665,0.0013120680881041076,127744.0,0.0,,,,,,,,
pooled,adams_bashforth2,4.0,4.0,0.983286957735747,0.9872195609429878,0.008433493796628713,0.026848357390283906,0.031106758417502878,0.017991698240603708,0.06372242029230134,0.0026653806548721866,63744.0,0.0,,,,,,,,
pooled,adams_bashforth2,8.0,4.0,0.9995809632041519,1.002056241978553,0.011461051230190129,0.019668022383303896,0.034995389174401925,0.016918042172673637,0.10751820447093507,0.005408135803372822,31744.0,0.0,,,,,,,,
pooled,trapezoid,1.0,4.0,0.9610860203211117,0.9599504271080352,0.0038429520819834085,0.043537220851975755,0.12228355852144679,0.028622783360459363,0.0075314916973604935,0.0006542362443545457,256000.0,0.0,,,,,,,,
pooled,trapezoid,2.0,4.0,0.9859491474423744,0.984784966529095,0.0054531038642679774,0.0221216203559379,0.06080699240522991,0.014025295195470041,0.012273096951847137,0.0013131111322710878,128000.0,0.0,,,,,,,,
pooled,trapezoid,4.0,4.0,0.9955517785915053,0.9956887911457385,0.007877748668501938,0.018097177537420683,0.03783635229513349,0.01062601562368215,0.022446406227599042,0.0026661019320623875,64000.0,0.0,,,,,,,,
pooled,trapezoid,8.0,4.0,0.9922488359115695,0.9951737417638888,0.01148167515012264,0.015421161477326861,0.033811140172512744,0.01785920686586596,0.029599229283715688,0.005425897168685586,32000.0,0.0,,,,,,,,
verdict,left,1.0,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
