record,protocol,held_clone_index,training_clone_count,memory_order,innovation_block_length,simulation_count,simulation_seed,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,thermodynamic_claim_allowed,stationary_covariance_rmse,stationary_covariance_maximum_error,target_correlation_rmse,target_correlation_maximum_error,marginal_excess_kurtosis_maximum_error,minimum_terminal_variance_ratio,maximum_simulated_absolute_state,innovation_time_count
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,1.0,2000.0,20260716.0,0.0,1.0,0.0,0.4620518262306315,0.7764000027017124,0.0558390502964711,0.17722115988026282,0.22553666526102312,0.2801136038014677,4.71332345193769,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,1.0,2000.0,20261716.0,0.0,1.0,0.0,0.46084303488864997,0.795446369410419,0.05504731195216586,0.1889654725117858,0.2741142279271749,0.2748434736164456,4.328588950125233,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,1.0,2000.0,20262716.0,0.0,1.0,0.0,0.45856713459840953,0.7575258380296135,0.04596927101965271,0.13378296413802887,0.26292581533578074,0.2796931317376793,4.789790296590409,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,1.0,2000.0,20263716.0,0.0,1.0,0.0,0.4486114507866107,0.7899367042908892,0.04977961883624367,0.1561195241211291,0.2085256466724208,0.28258939222634766,5.386569231728276,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,4.0,2000.0,20264716.0,0.0,1.0,0.0,0.2015540987726184,0.4187585661006682,0.05909289180888642,0.18710850872610324,0.21960951976076348,0.6299977647760342,6.288043170535043,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,4.0,2000.0,20265716.0,0.0,1.0,0.0,0.19844126992939867,0.4058092282194261,0.05692874272950977,0.231290991758803,0.287514104533674,0.6505830332686439,6.651539889107438,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,4.0,2000.0,20266716.0,0.0,1.0,0.0,0.19919781814697882,0.42090482132032747,0.0482359532824419,0.15332073261752843,0.2507564355015828,0.6755929941149158,5.712744233116541,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,4.0,2000.0,20267716.0,0.0,1.0,0.0,0.18649011543689803,0.383809328047907,0.048871454538894424,0.15334096527752433,0.2381668554235814,0.6926335620017434,4.991316760055175,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,16.0,2000.0,20268716.0,0.0,1.0,0.0,0.08479154652749803,0.24209683296672224,0.05807347837519195,0.17993743112989447,0.18045799427863596,0.9052232710882784,5.874063303767015,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,16.0,2000.0,20269716.0,0.0,1.0,0.0,0.08263242885904318,0.24590311732026782,0.06448853351282816,0.2456724657713687,0.1767707945056216,0.8992274616280085,6.768547821853838,960.0
