block_size,independent_replicate_count,mean_early_identity_signed_error,mean_late_identity_signed_excess,standard_error_late_identity_signed_excess,ci95_low_late_identity_signed_excess,ci95_high_late_identity_signed_excess,ci95_critical_value,late_positive_excess_detected,early_identity_transfer_within_tolerance,replica_block_pass_fraction
20.0,5.0,0.02097483761755075,-0.0013385347559261745,0.003410300909860659,-0.0108070480243604,0.008129978512508051,2.7764451051977987,0.0,1.0,1.0
50.0,5.0,0.004781696830774451,-0.0031894167026943884,0.004522181435498061,-0.015745005214099335,0.00936617180871056,2.7764451051977987,0.0,1.0,1.0
100.0,5.0,0.010728279273085069,-0.00047802941821345273,0.007316226059537846,-0.020791129449737884,0.01983507061331098,2.7764451051977987,0.0,1.0,1.0
