record,member_index,epsilon,stride,frame_time,maximum_time,valid_interval_count,cutoff_contaminated_interval_count,trace_variance_ratio,mean_squared_mahalanobis,summed_mean_squared_mahalanobis,observed_predicted_energy_correlation,whitened_max_abs_component_excess_kurtosis,whitened_lag1_correlation,minimum_covariance_eigenvalue,valid_sample_count,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,pair_support_crossing_interval_count,potential_protocol,full_horizon_required,reference_epsilon,covariance_cross_epsilon_relative_l2_error,covariance_cross_epsilon_correlation
covariance_member,1,0.001,1,0.001,0.2,200,0,0.47164329748829187,1.3684167603694757,1.5804827727015127,0.6927576993184329,0.28222829816776285,0.45549369063426104,8.591598966597484,200.0,0.0,0.0,13,ka_lj_c3_switch,True,,,
covariance_member,1,0.002,1,0.001,0.2,200,0,0.4718934230429274,1.3696176979098293,1.5805080389575354,0.6930322950081578,0.2899049688430737,0.4548316198223024,8.595424161288747,200.0,0.0,0.0,26,ka_lj_c3_switch,True,,,
covariance_member,2,0.001,1,0.001,0.2,200,0,0.4678641596474913,1.579863632989594,0.9468491594314389,0.4589033099499386,0.2796765670718626,0.5455830963704505,17.29795773938763,200.0,0.0,0.0,11,ka_lj_c3_switch,True,,,
covariance_member,2,0.002,1,0.001,0.2,200,0,0.46795246338244284,1.5804791636179534,0.9454941706836872,0.45849380641039056,0.24470624707790067,0.5459886335133074,17.297889852875194,200.0,0.0,0.0,22,ka_lj_c3_switch,True,,,
covariance_member,3,0.001,1,0.001,0.2,200,0,0.5221986303995443,1.6862223190815553,7.533247944853027,0.6061449809960764,0.1406081667254213,0.5274360093903901,15.983632807677871,200.0,0.0,0.0,19,ka_lj_c3_switch,True,,,
covariance_member,3,0.002,1,0.001,0.2,200,0,0.5221879160581469,1.6867383266720122,7.534908072554899,0.6057026410908894,0.11133816920730011,0.5268687407287088,15.932463166187503,200.0,0.0,0.0,27,ka_lj_c3_switch,True,,,
covariance_member,4,0.001,1,0.001,0.2,200,0,0.5295490606339807,1.5730334512079707,3.480128246779048,0.6058622469025453,0.5557271476421777,0.5031699408072278,57.023963618551214,200.0,0.0,0.0,14,ka_lj_c3_switch,True,,,
covariance_member,4,0.002,1,0.001,0.2,200,0,0.5299418299953519,1.5713710998193715,3.4862349900473864,0.6061340574145829,0.5586316337716046,0.5023170423670222,57.02215013872184,200.0,0.0,0.0,23,ka_lj_c3_switch,True,,,
covariance_member,5,0.001,1,0.001,0.2,200,0,0.5582387960991002,1.4911382725449638,1.135515584486356,0.5231869580489084,0.3534405057426526,0.4614659169957897,84.8616105670858,200.0,0.0,0.0,15,ka_lj_c3_switch,True,,,
covariance_member,5,0.002,1,0.001,0.2,200,0,0.5584013340090801,1.4891427177414676,1.1358935730354431,0.5239113755270475,0.38608400877237337,0.46319311419002734,84.8745891734381,200.0,0.0,0.0,29,ka_lj_c3_switch,True,,,
covariance_member,6,0.001,1,0.001,0.2,200,0,0.640562859907266,1.751778907326417,3.7184561011939863,0.5129565630110867,0.46436861294050136,0.5061797396066495,40.65415623905326,200.0,0.0,0.0,8,ka_lj_c3_switch,True,,,
covariance_member,6,0.002,1,0.001,0.2,200,0,0.6405504435335304,1.7544290047094881,3.7172292743064834,0.5128314054861856,0.4379732066529973,0.5051787027736265,40.617645534751496,200.0,0.0,0.0,11,ka_lj_c3_switch,True,,,
