metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,block_count,temperature,independent_replicate_count,independence_class,maximum_absolute_initial_fs,thermodynamic_claim_allowed
diffusion,0.003057076747017197,4.3285965790742725e-05,1.9358072395966233e-05,0.0030033301216673518,0.003110823372367042,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
alpha_relaxation_time,4.395516617624764,0.02791834212933456,0.012485462164057659,4.360851417313234,4.430181817936295,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
diffusion_alpha_product,0.013436747278300123,0.0001433962957472811,6.412877300251692e-05,0.013258697260394945,0.013614797296205301,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
ngp_peak,0.3159589183308948,0.0046914786140369435,0.002098093019194621,0.3101336782375022,0.32178415842428737,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
ngp_peak_time,7.2,1.7888543819998322,0.8000000000000002,4.978843915841761,9.42115608415824,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
overlap_chi4_peak,2.673000107192105,0.2681410593767851,0.11991632726505978,2.3400590073237324,3.0059412070604776,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
overlap_chi4_peak_time,8.0,0.0,0.0,8.0,8.0,2.7764451051977987,student_t_independent_replicates,5.0,0.7,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.01935182197556763,0.0
