protocol,model,fold_index,lag_frames,row_coordinate,column_coordinate,held_correlation,simulated_correlation,thermodynamic_claim_allowed
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,11.0,u,u,0.0966508098841407,0.08430522127518811,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,11.0,u,p,0.21126312830566657,0.24678500672502796,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,11.0,p,u,-0.20548304401726705,-0.25169318598947354,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,11.0,p,p,-0.5658041193735708,-0.5757712719774039,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,12.0,u,u,0.0674145294310462,0.044577342281859576,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,12.0,u,p,0.10766737407230018,0.14106274120439366,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,12.0,p,u,-0.10160341820299085,-0.15425600015204027,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,12.0,p,p,-0.5141506352265949,-0.531387152158082,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,13.0,u,u,0.05686181774657347,0.02226646311154771,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,13.0,u,p,0.016958670733685257,0.046171889457220436,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,13.0,p,u,-0.010945383485463912,-0.07045221518591463,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,13.0,p,p,-0.4298849909378362,-0.46140098144004915,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,14.0,u,u,0.06197535437248259,0.014182049968979808,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,14.0,u,p,-0.05560701148777891,-0.0329743890322947,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,14.0,p,u,0.06133350182505328,-0.007491150279325446,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,14.0,p,p,-0.32489686772083815,-0.3636258601487468,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,15.0,u,u,0.07896445945566534,0.016982938526371654,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,15.0,u,p,-0.10718572371120749,-0.09262026583660705,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,15.0,p,u,0.11248844851729692,0.04346345587347686,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,15.0,p,p,-0.21125201637670052,-0.25697446601873297,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,16.0,u,u,0.1037168356806332,0.0275343790779009,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,16.0,u,p,-0.1371716177590393,-0.13183303807308416,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,16.0,p,u,0.14191594836506463,0.07315281014650866,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,16.0,p,p,-0.0998707478059686,-0.14964776670579988,0.0
