replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_clock_prediction,two_clock_prediction,hmm_prediction,static_prediction,poisson_prediction
1.0,0.45,20.0,1.0,20.0,0.2534134938807104,0.26522502161383965,0.24065599727432285,0.2263808223926345,0.05173194582231816,0.0
1.0,0.45,20.0,2.0,40.0,0.1933360021003892,0.23505251095779855,0.19961445868665195,0.1973006405390069,0.05173194582231816,0.0
1.0,0.45,20.0,3.0,60.0,0.16905313881997194,0.20831248338253705,0.17053950037590826,0.17195600910746114,0.05173194582231816,0.0
1.0,0.45,20.0,4.0,80.0,0.15308557770565187,0.18461445298404308,0.14962555760650986,0.14986707081835052,0.05173194582231816,0.0
1.0,0.45,20.0,5.0,100.0,0.14391250194777575,0.16361235628884357,0.13428908704303516,0.13061560937737504,0.05173194582231816,0.0
1.0,0.45,20.0,6.0,120.0,0.1302432394091692,0.14499949867251852,0.12277575536232922,0.11383713126482252,0.05173194582231816,0.0
1.0,0.45,20.0,7.0,140.0,0.11775927148655142,0.12850407568340452,0.11389390833797292,0.0992139646737287,0.05173194582231816,0.0
1.0,0.45,20.0,8.0,160.0,0.11062568070651438,0.11388520386916272,0.10683372346150266,0.08646924493714518,0.05173194582231816,0.0
1.0,0.45,20.0,9.0,180.0,0.10535943492169879,0.10092940314418156,0.10104450037621643,0.07536167256886021,0.05173194582231816,0.0
1.0,0.45,20.0,10.0,200.0,0.09878322424972436,0.08944747932965716,0.09615139887195996,0.06568094467003226,0.05173194582231816,0.0
1.0,0.45,20.0,11.0,220.0,0.09400760358975249,0.07927176134193444,0.09189894278050026,0.057243773203228994,0.05173194582231816,0.0
1.0,0.45,20.0,12.0,240.0,0.0931195010122386,0.07025365268363785,0.08811268504411982,0.049890414746696254,0.05173194582231816,0.0
1.0,0.45,20.0,13.0,260.0,0.0872381321567216,0.06226146148189995,0.08467319549962835,0.0434816460256845,0.05173194582231816,0.0
1.0,0.45,20.0,14.0,280.0,0.08380598553174116,0.05517847738563135,0.08149840988174349,0.037896127957687986,0.05173194582231816,0.0
1.0,0.45,20.0,15.0,300.0,0.08111670934376587,0.04890126723867133,0.07853165210082874,0.03302810830429811,0.05173194582231816,0.0
1.0,0.45,20.0,16.0,320.0,0.07949951435129841,0.043338164640452016,0.07573350597641261,0.0287854194333103,0.05173194582231816,0.0
1.0,0.45,20.0,17.0,340.0,0.07453286923064963,0.03840793133715846,0.07307629893268044,0.02508773328213195,0.05173194582231816,0.0
1.0,0.45,20.0,18.0,360.0,0.0730470357482245,0.034038570895615426,0.07054035799366405,0.021865040483205887,0.05173194582231816,0.0
