time,wave_number,correlation_size,renewal_chi4,single_particle_chi_R,synthetic_observed_chi4_peak,inferred_correlation_size,model_peak_time
0.0,1.1,1.0,0.0,0.0,0.27986459623999,12.0,12.460383653044202
0.1501251042535446,1.1,1.0,2.5325389553243483e-06,2.5325389553243483e-06,0.27986459623999,12.0,12.460383653044202
0.3002502085070892,1.1,1.0,1.6168530459381714e-05,1.6168530459381714e-05,0.27986459623999,12.0,12.460383653044202
0.4503753127606338,1.1,1.0,4.516963738532276e-05,4.516963738532276e-05,0.27986459623999,12.0,12.460383653044202
0.6005004170141784,1.1,1.0,9.127764492561363e-05,9.127764492561363e-05,0.27986459623999,12.0,12.460383653044202
0.7506255212677231,1.1,1.0,0.00015563593556483513,0.00015563593556483513,0.27986459623999,12.0,12.460383653044202
0.9007506255212676,1.1,1.0,0.00023931844112334844,0.00023931844112334844,0.27986459623999,12.0,12.460383653044202
1.0508757297748124,1.1,1.0,0.00034342053379987636,0.00034342053379987636,0.27986459623999,12.0,12.460383653044202
1.201000834028357,1.1,1.0,0.000469020015040289,0.000469020015040289,0.27986459623999,12.0,12.460383653044202
1.3511259382819014,1.1,1.0,0.0006171097421813765,0.0006171097421813765,0.27986459623999,12.0,12.460383653044202
1.5012510425354462,1.1,1.0,0.0007885348642009959,0.0007885348642009959,0.27986459623999,12.0,12.460383653044202
1.6513761467889907,1.1,1.0,0.0009839443034872497,0.0009839443034872497,0.27986459623999,12.0,12.460383653044202
1.8015012510425352,1.1,1.0,0.0012037580711730667,0.0012037580711730667,0.27986459623999,12.0,12.460383653044202
1.95162635529608,1.1,1.0,0.001448149233436613,0.001448149233436613,0.27986459623999,12.0,12.460383653044202
2.1017514595496247,1.1,1.0,0.001717038438357965,0.001717038438357965,0.27986459623999,12.0,12.460383653044202
2.2518765638031693,1.1,1.0,0.0020100986881799177,0.0020100986881799177,0.27986459623999,12.0,12.460383653044202
2.402001668056714,1.1,1.0,0.0023267680893717113,0.0023267680893717113,0.27986459623999,12.0,12.460383653044202
2.5521267723102583,1.1,1.0,0.0026662684842853612,0.0026662684842853612,0.27986459623999,12.0,12.460383653044202
2.702251876563803,1.1,1.0,0.003027628102388491,0.003027628102388491,0.27986459623999,12.0,12.460383653044202
2.852376980817348,1.1,1.0,0.0034097066337378523,0.0034097066337378523,0.27986459623999,12.0,12.460383653044202
3.0025020850708923,1.1,1.0,0.0038112214006973955,0.0038112214006973955,0.27986459623999,12.0,12.460383653044202
3.152627189324437,1.1,1.0,0.0042307735695689686,0.0042307735695689686,0.27986459623999,12.0,12.460383653044202
3.3027522935779814,1.1,1.0,0.004666873589914078,0.004666873589914078,0.27986459623999,12.0,12.460383653044202
3.452877397831526,1.1,1.0,0.005117965268245872,0.005117965268245872,0.27986459623999,12.0,12.460383653044202
3.6030025020850704,1.1,1.0,0.005582448070425572,0.005582448070425572,0.27986459623999,12.0,12.460383653044202
3.7531276063386154,1.1,1.0,0.006058697402555435,0.006058697402555435,0.27986459623999,12.0,12.460383653044202
3.90325271059216,1.1,1.0,0.006545082744690012,0.006545082744690012,0.27986459623999,12.0,12.460383653044202
4.053377814845705,1.1,1.0,0.007039983608025158,0.007039983608025158,0.27986459623999,12.0,12.460383653044202
