lag,independent_replicate_count,predicted_msd_mean,observed_msd_mean,ensemble_msd_relative_error,predicted_ngp_mean,observed_ngp_mean,ensemble_ngp_absolute_error,msd_mean_paired_difference,msd_standard_error_paired_difference,msd_ci95_low_paired_difference,msd_ci95_high_paired_difference,msd_ci95_critical_value,msd_ci95_method,msd_paired_difference_ci_includes_zero,ngp_mean_paired_difference,ngp_standard_error_paired_difference,ngp_ci95_low_paired_difference,ngp_ci95_high_paired_difference,ngp_ci95_critical_value,ngp_ci95_method,ngp_paired_difference_ci_includes_zero,predicted_fs_k2_mean,observed_fs_k2_mean,ensemble_absolute_error_fs_k2,fs_k2_mean_paired_difference,fs_k2_standard_error_paired_difference,fs_k2_ci95_low_paired_difference,fs_k2_ci95_high_paired_difference,fs_k2_ci95_critical_value,fs_k2_ci95_method,fs_k2_paired_difference_ci_includes_zero,predicted_fs_k4_mean,observed_fs_k4_mean,ensemble_absolute_error_fs_k4,fs_k4_mean_paired_difference,fs_k4_standard_error_paired_difference,fs_k4_ci95_low_paired_difference,fs_k4_ci95_high_paired_difference,fs_k4_ci95_critical_value,fs_k4_ci95_method,fs_k4_paired_difference_ci_includes_zero,predicted_fs_k7p25_mean,observed_fs_k7p25_mean,ensemble_absolute_error_fs_k7p25,fs_k7p25_mean_paired_difference,fs_k7p25_standard_error_paired_difference,fs_k7p25_ci95_low_paired_difference,fs_k7p25_ci95_high_paired_difference,fs_k7p25_ci95_critical_value,fs_k7p25_ci95_method,fs_k7p25_paired_difference_ci_includes_zero
10.0,5.0,0.14143893771574204,0.10748781085615211,0.3158602504708721,1.0943713075025894,0.5177232478580981,0.5766480596444913,0.27451772238899885,0.0032228756113803292,0.26556958517312057,0.28346585960487714,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.5766480596444916,0.008929322164839304,0.5518562868271893,0.6014398324617939,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.9141046463234523,0.9320426574001935,0.0179380110767412,-0.01793801107674098,0.00020829838857839512,-0.018516340118130054,-0.017359682035351903,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.7263912960069622,0.7648964558318289,0.038505159824866686,-0.038505159824866755,0.0006059959510897101,-0.040187674317039464,-0.03682264533269405,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.4245807427888721,0.45575524978039256,0.031174506991520468,-0.031174506991520433,0.0012209266882670686,-0.034564342918964895,-0.02778467106407597,2.7764451051977987,student_t_paired_independent_replicates,0.0
20.0,5.0,0.21390766759939486,0.16644706753509889,0.285139298439655,0.8476741942953735,0.5344887762388694,0.31318541805650413,0.25096543923860704,0.0058575827594066635,0.23470218225796138,0.26722869621925266,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.31318541805650413,0.006321002970879005,0.29563550029806634,0.3307353358149419,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.8740672518938772,0.8977986067917458,0.023731354897868595,-0.023731354897868352,0.0005616263387717332,-0.025290679597101292,-0.022172030198635412,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.6270414523438343,0.6708725623542008,0.043831110010366436,-0.043831110010366395,0.0016500172357771935,-0.048412292288131986,-0.0392499277326008,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.3055607345018576,0.33086790404330846,0.025307169541450847,-0.025307169541450826,0.002497510036523379,-0.032241369057538535,-0.018372970025363117,2.7764451051977987,student_t_paired_independent_replicates,0.0
50.0,5.0,0.39270564839103617,0.33992514839328375,0.15527094787552143,0.5841822672740284,0.408893280229672,0.17528898704435647,0.1445673028827023,0.009846885819737023,0.11722796494705184,0.17190664081835277,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.1752889870443565,0.012929568806031402,0.13939074902053247,0.21118722506818052,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.7842245961981791,0.8051858250811226,0.020961228882943495,-0.02096122888294343,0.0018533807250386467,-0.026107038725044926,-0.01581541904084193,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.4484045447546219,0.4636749863426945,0.015270441588072614,-0.01527044158807266,0.0044903839675804235,-0.027737746175319995,-0.0028031370008253214,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.15909071203718195,0.1420029922620639,0.017087719775118054,0.017087719775118054,0.004371057840557979,0.004951717629164392,0.029223721921071717,2.7764451051977987,student_t_paired_independent_replicates,0.0
100.0,5.0,0.6508305474033244,0.6277432713959149,0.036778213418473094,0.41622255988380197,0.27259878318412567,0.1436237766996763,0.03631498459603188,0.01133757526784991,0.004836829238798378,0.06779313995326539,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.14362377669967627,0.014610753991813583,0.10305782029585625,0.1841897331034963,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.6725685696714437,0.6729530928901382,0.0003845232186944214,-0.0003845232186943992,0.003587896135589516,-0.010346119882310007,0.00957707344492121,2.7764451051977987,student_t_paired_independent_replicates,1.0,0.28927946192486315,0.2550264768632297,0.034252985061633434,0.034252985061633386,0.005918242756962165,0.017821308927693458,0.05068466119557331,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.0822794529562744,0.03791104562476884,0.04436840733150556,0.04436840733150558,0.00269948937482582,0.03687342327023697,0.05186339139277419,2.7764451051977987,student_t_paired_independent_replicates,0.0
200.0,5.0,1.14146445887719,1.2114563032671688,0.05777496406698135,0.2535816562579008,0.16461288054797313,0.08896877570992767,-0.05947942096953059,0.013742905553924961,-0.09763584382592119,-0.021322998113139993,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.08896877570992764,0.018337977484075837,0.038054387885037844,0.13988316353481745,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.5017273239031192,0.4684955850761498,0.03323173882696945,0.03323173882696936,0.00646118039565901,0.015292626143641921,0.051170851510296794,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.12746397249597935,0.07669663841520627,0.05076733408077308,0.05076733408077307,0.0054800083203432985,0.03555239180331271,0.06598227635823344,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.027088078648544213,0.0029394292791792066,0.024148649369365005,0.024148649369365005,0.0015323967569344159,0.019894033894353465,0.028403264844376545,2.7764451051977987,student_t_paired_independent_replicates,0.0
400.0,5.0,2.150121923548063,2.3739410739101037,0.09428167902811069,0.12816170215636333,0.09624093789673074,0.031920764259632584,-0.09910187800215634,0.020723084185471183,-0.1566383836535097,-0.04156537235080296,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.0319207642596326,0.013964852516371843,-0.006851882154257166,0.07069341067352236,2.7764451051977987,student_t_paired_independent_replicates,1.0,0.27088794150845796,0.22856523099152498,0.04232271051693298,0.04232271051693304,0.008916492391373425,0.017566558861370877,0.0670788621724952,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.021177565549310565,0.00533568134770505,0.015841884201605514,0.015841884201605518,0.003022952648727843,0.0074488221168003774,0.02423494628641066,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.0026546936290885678,-0.00020390029128960173,0.0028585939203781695,0.00285859392037817,0.0007830622536223431,0.0006844645592432581,0.005032723281513081,2.7764451051977987,student_t_paired_independent_replicates,0.0
600.0,5.0,3.2022809823884524,3.5487077013310584,0.0976205278368425,0.06939288272421687,0.06492829891012106,0.004464583814095813,-0.1025477297637422,0.009510156867601796,-0.12895215824845843,-0.07614330127902597,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.0044645838140958015,0.009514952868197752,-0.0219531605029996,0.030882328131191204,2.7764451051977987,student_t_paired_independent_replicates,1.0,0.13912225546923424,0.10992628341556979,0.02919597205366445,0.02919597205366445,0.004123126274692935,0.017748338290180816,0.040643605817148085,2.7764451051977987,student_t_paired_independent_replicates,0.0,0.0030217412925195456,0.001625518978447396,0.0013962223140721495,0.0013962223140721497,0.0008527399002635129,-0.0009713632080213396,0.003763807836165639,2.7764451051977987,student_t_paired_independent_replicates,1.0,0.0011382585394374113,0.002668049891866133,0.0015297913524287218,-0.0015297913524287222,0.002351611946971392,-0.008058912831922109,0.004999330127064664,2.7764451051977987,student_t_paired_independent_replicates,1.0
