temperature,source_dataset,source_doi,source_sha256,replicate_count,parent_sample_count,independently_prepared_parent_samples,independence_class,calibration_time,heldout_time,origin_stride,event_definition,retrospective_analysis,thermodynamic_claim_allowed
0.45,Obadiya-Sussman KA trajectory archive,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,3,1,0,decorrelated_parent_frames_plus_velocity_seeds,5000,5000,8,rolling_position_variance_above_calibration_debye_waller_factor,1,0
0.58,Obadiya-Sussman KA trajectory archive,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,5,1,0,decorrelated_parent_frames_plus_velocity_seeds,750,750,8,rolling_position_variance_above_calibration_debye_waller_factor,1,0
