record,protocol,held_clone_index,training_clone_count,memory_order,bath_order,simulation_count,fit_source_seed,simulation_seed,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,white_driving_distribution,thermodynamic_claim_allowed,var_spectral_radius,minimum_white_noise_covariance_eigenvalue,maximum_white_residual_lag_one_correlation,maximum_white_residual_correlation_through_40_frames,maximum_absolute_white_residual_excess_kurtosis,maximum_held_white_residual_correlation_through_40_frames,stationary_covariance_rmse,stationary_covariance_maximum_error,target_correlation_rmse,target_correlation_maximum_error,marginal_excess_kurtosis_maximum_error,minimum_terminal_variance_ratio,maximum_simulated_absolute_state,var_fit_source_count,innovation_time_count
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,1.0,3.0,40.0,4.0,2000.0,20260717.0,20260717.0,0.0,1.0,empirical,0.0,0.7213597035403211,4.5669651589710836e-05,0.0010757571319175792,0.028669974924585163,2.422163618013851,0.028052610144474677,0.07102689315378931,0.26995532590896665,0.06338299134483151,0.2062431788574135,0.2147783051426564,0.9084253916214499,8.279806574578183,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,1.0,3.0,40.0,8.0,2000.0,20260717.0,20261717.0,0.0,1.0,empirical,0.0,0.7350890108967723,4.566827316543588e-05,0.0003716275265502991,0.01656216178310335,2.4856251789454014,0.014389936237191378,0.04782770475036816,0.21297384511866646,0.05773301665778465,0.18184929356232749,0.22417872016774965,0.9061267296296492,7.18687591555704,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,1.0,3.0,40.0,16.0,2000.0,20260717.0,20262717.0,0.0,1.0,empirical,0.0,0.8642127885225425,4.567678787737671e-05,0.0003943622134441518,0.01013726390216766,2.4935227452231947,0.009754226084761898,0.030008261384589664,0.11753852613615234,0.05978567515306111,0.1842547287743439,0.16103892881255888,0.9096124413828139,8.131555841535116,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,1.0,3.0,40.0,40.0,2000.0,20260717.0,20263717.0,0.0,1.0,empirical,0.0,0.9386649252737557,4.564920340918972e-05,0.0005761767663294149,0.00342710520596668,2.524228598453191,0.007546044136471537,0.03587372116295035,0.15314646388878128,0.06212198061592033,0.20556328678093766,0.15200310556236607,0.9548412475391088,9.313534121907303,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,2.0,3.0,40.0,4.0,2000.0,20270717.0,20270717.0,0.0,1.0,empirical,0.0,0.7219605143777708,4.5833596171320745e-05,0.0007009749656661263,0.028903018579373614,2.2371837720145766,0.02606410010566677,0.06213053464427049,0.2432568157759869,0.05261540146897029,0.18189202038092075,0.2568291374121827,0.9073803985033407,9.56663524377248,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,2.0,3.0,40.0,8.0,2000.0,20270717.0,20271717.0,0.0,1.0,empirical,0.0,0.7383492434586927,4.583783399300087e-05,0.00046652846801158924,0.016018343147222665,2.301493991856299,0.014915650887732768,0.03984191467917398,0.17989487388176606,0.059144244066190184,0.19575896920861083,0.29790944719641566,0.9672575808253686,7.4451112433434,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,2.0,3.0,40.0,16.0,2000.0,20270717.0,20272717.0,0.0,1.0,empirical,0.0,0.8616913130475518,4.583546742675852e-05,0.00025913091047980954,0.008891710724192961,2.3044465959676215,0.014402248290003578,0.029376276412223394,0.11594211947593647,0.06248091568737097,0.2203280180787142,0.2728169503885791,0.9659307213372607,9.11334233390038,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,2.0,3.0,40.0,40.0,2000.0,20270717.0,20273717.0,0.0,1.0,empirical,0.0,0.9371844606947511,4.584173604148614e-05,0.0005262625437659044,0.0032053443181420203,2.334273582365417,0.015243994889542001,0.039799283660003286,0.18692537153397892,0.059185345202892654,0.2034703172311816,0.258160697386153,0.9105437973305063,7.919417181235716,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,3.0,3.0,40.0,4.0,2000.0,20280717.0,20280717.0,0.0,1.0,empirical,0.0,0.7214462954817825,4.555422705213081e-05,0.001430078773628209,0.028562496902512582,2.270515432885424,0.027540274062972315,0.08320482595426379,0.3119775703989367,0.0467013841037197,0.13994083421607934,0.22629836385008195,0.9017707838868968,6.926390178280465,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,3.0,3.0,40.0,8.0,2000.0,20280717.0,20281717.0,0.0,1.0,empirical,0.0,0.7444699572307103,4.5553522111591905e-05,0.0003343944405575898,0.016401253108740008,2.328718363549741,0.021826763696873877,0.06389781370420267,0.279794785753678,0.044080713440609175,0.14408946585224036,0.2347478207787379,0.9553223872745016,9.196138096573463,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,3.0,3.0,40.0,16.0,2000.0,20280717.0,20282717.0,0.0,1.0,empirical,0.0,0.8672163884332811,4.555737102354658e-05,0.0004487489769216203,0.010115861492456012,2.3306506516368612,0.011502843083109232,0.0360445535387938,0.16671981222009347,0.04908244608765626,0.17821036339910615,0.23940666417412482,1.0019823210124836,7.117637539448163,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,3.0,3.0,40.0,40.0,2000.0,20280717.0,20283717.0,0.0,1.0,empirical,0.0,0.9383993365719127,4.55508857852919e-05,0.0004194048188317623,0.0040592131694143045,2.3606986170378397,0.008657910961553491,0.030134279281529692,0.12081699197556373,0.046322619946747606,0.1472406707833349,0.22117370983504347,0.9360970251319602,7.346781613510162,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,4.0,3.0,40.0,4.0,2000.0,20290717.0,20290717.0,0.0,1.0,empirical,0.0,0.7203788203516452,4.582649205429839e-05,0.0013250537474568315,0.02758223975838798,2.727049917797366,0.02897720067374733,0.05644951311985948,0.20592199998213534,0.058613366120580136,0.20771750814388473,0.17813780538246027,0.9497938134257706,7.4181144269458,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,4.0,3.0,40.0,8.0,2000.0,20290717.0,20291717.0,0.0,1.0,empirical,0.0,0.733747363889723,4.582980186669977e-05,8.776682094156297e-05,0.01606966027497123,2.8036276926649517,0.016120833930123247,0.04639025807338255,0.22013144167042098,0.05770543725555534,0.20562176365355073,0.1543128105752789,0.9823597213774384,8.738084595277229,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,4.0,3.0,40.0,16.0,2000.0,20290717.0,20292717.0,0.0,1.0,empirical,0.0,0.8648524136629483,4.5827238246585126e-05,0.0003471478620326386,0.011612205298436545,2.809204077262467,0.0172539842479307,0.032580836896825865,0.13414074759831152,0.054760046188420626,0.19705344048793452,0.15970534222688215,0.9847852655091931,8.664836642223499,576.0,960.0
held_clone,discovery_leave_one_clone_out_empirical_markov_bath_scan,4.0,3.0,40.0,40.0,2000.0,20290717.0,20293717.0,0.0,1.0,empirical,0.0,0.9384777176832644,4.5812265097157274e-05,0.00039334893604885037,0.003788732803706471,2.8497925428673394,0.018355731075815545,0.03726638987374045,0.15668928586035424,0.05902071203164628,0.19991830826730672,0.15063654511349567,0.9378898878124805,8.68115437291275,576.0,960.0
