record,held_clone_count,fit_uses_held_clone,thermodynamic_claim_allowed,relative_position_variance,maximum_relative_position_variance,minimum_relative_position_variance,relative_velocity_variance,maximum_relative_velocity_variance,minimum_relative_velocity_variance,fdt_velocity_variance,maximum_fdt_velocity_variance,minimum_fdt_velocity_variance,fdt_velocity_variance_relative_error,maximum_fdt_velocity_variance_relative_error,minimum_fdt_velocity_variance_relative_error,harmonic_acceleration_stiffness,maximum_harmonic_acceleration_stiffness,minimum_harmonic_acceleration_stiffness,observed_variance_ratio_stiffness,maximum_observed_variance_ratio_stiffness,minimum_observed_variance_ratio_stiffness,position_variance_isotropy_error,maximum_position_variance_isotropy_error,minimum_position_variance_isotropy_error,velocity_variance_isotropy_error,maximum_velocity_variance_isotropy_error,minimum_velocity_variance_isotropy_error,maximum_normalized_position_velocity_covariance,maximum_maximum_normalized_position_velocity_covariance,minimum_maximum_normalized_position_velocity_covariance,radial_log_density_quadratic_coefficient,maximum_radial_log_density_quadratic_coefficient,minimum_radial_log_density_quadratic_coefficient,conditional_radial_force_correlation,maximum_conditional_radial_force_correlation,minimum_conditional_radial_force_correlation,conditional_radial_force_normalized_rmse,maximum_conditional_radial_force_normalized_rmse,minimum_conditional_radial_force_normalized_rmse,temperature_naive_force_normalized_rmse,maximum_temperature_naive_force_normalized_rmse,minimum_temperature_naive_force_normalized_rmse,held_radial_bin_count,maximum_held_radial_bin_count,minimum_held_radial_bin_count,mean_force_residual_lag_correlation,maximum_mean_force_residual_lag_correlation,minimum_mean_force_residual_lag_correlation,maximum_markov_ou_correlation_error,maximum_maximum_markov_ou_correlation_error,minimum_maximum_markov_ou_correlation_error,relative_pmf_static_closure_allowed,markovian_relative_ou_allowed,relative_force_memory_required,autonomous_relative_dynamics_allowed,autonomous_single_particle_gle_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed
aggregate,4.0,0.0,0.0,0.0009029968320572476,0.0009096813083395799,0.0008973175997672619,0.2193722943984322,0.22063771837144616,0.2184143084846396,0.21955564522164478,0.21993020719254616,0.2193535890017179,0.003760609059386577,0.005854152537792423,0.001850034406636225,243.14603600320962,244.45479399781286,241.76621546064266,242.94610156693108,245.88586965047065,241.31893964367822,0.11490490725790595,0.1156502378261477,0.11405782680328358,0.018684326842420662,0.01917473759169297,0.01774325766818985,0.005395749209903913,0.00729098699989644,0.004178769093302947,-0.49809221224910977,-0.4976088266120556,-0.49861001837849284,0.9927325197505982,0.99421345273895,0.990563388371208,0.054556357878220246,0.06961112697067308,0.046725905197175434,1.648863225468638,1.7716978656614368,1.5828366559509328,88.75,90.0,87.0,0.9409242952304039,0.9422708959537833,0.9394649337325737,1.0732633689717863,1.0933996438611602,1.0565205664870245,,,,,,,
verdict,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
