metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,block_count,temperature,block_size,diffusion_lag,source_doi,uncertainty_method,independent_simulation_replicates,thermodynamic_claim_allowed
diffusion,2.8751792990172228e-05,4.7921575802584445e-06,1.6942835607576313e-06,2.543099721108727e-05,3.2072588769257185e-05,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
alpha_relaxation_time,1283.7388144995823,359.28691626803186,127.02710744236431,1034.7656839125482,1532.7119450866164,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
diffusion_alpha_product,0.0354901481188456,0.0038721043900335796,0.001368995635827472,0.032806916672623754,0.038173379565067445,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
ngp_peak,2.1087707899562997,0.2452327167854398,0.08670285850389228,1.9388331872886708,2.2787083926239284,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
ngp_peak_time,384.0,136.8377558591613,48.37945254518108,289.17627301144506,478.82372698855494,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
overlap_chi4_peak,14.684771244469417,11.18267035754241,3.9536710207960155,6.935576043709227,22.433966445229608,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
overlap_chi4_peak_time,1280.0,670.3653588049685,237.00994554177313,815.4605067381246,1744.5394932618754,8.0,0.45,9999.0,8192.0,10.5281/zenodo.7469766,nonoverlapping_time_block_standard_error,1.0,0.0
