time,local_variance,renewal_mean,msd,m4,ngp_1d
0.0001,0.00014284693926136516,6.6665000025925935e-15,0.00014284693926669835,6.121575697327143e-08,2.09091307823428e-07
0.10015553085047249,0.13331468779238587,6.532697248955998e-06,0.13331991395018503,0.053335141145772216,0.0002352244470844589
0.20021106170094496,0.24874925573415407,5.090587213228914e-05,0.2487899804318599,0.1857871023643497,0.0005263590378448146
0.30026659255141747,0.3488089935176023,0.00016754307826162605,0.3489430279802116,0.3656053930382585,0.0008806379840300416
0.40032212340188994,0.4355416880978167,0.0003874373496670391,0.43585163797755033,0.5706438306945014,0.0013052812341487474
0.5003776542523625,0.5107223799103946,0.000738412229696297,0.5113131096941517,0.7857410399163277,0.0018076110985374427
0.6004331851028349,0.57588969021678,0.0012453646552266573,0.5768859819409614,1.000783408617997,0.0023949504796121346
0.7004887159533074,0.6323773099789896,0.0019304909097070388,0.6339217027067552,1.2092767180345327,0.0030745141361328
0.8005442468037799,0.681341294703817,0.0028134967788378696,0.6835920921268873,1.4072963590706131,0.003853295684030922
0.9005997776542524,0.7237837238630831,0.003911792968179781,0.7269131582376269,1.592718861355909,0.00473795329191562
1.000655308504725,0.7605732090951938,0.0052406767723191215,0.7647657505130491,1.7646620588762145,0.00573469715904551
1.1007108393551974,0.7924626709015566,0.006813500920093514,0.7979134716376315,1.9230796464290316,0.00684918185904726
1.20076637020567,0.8201047476493953,0.008641830459498463,0.8270182120169941,2.0684696835055947,0.008086406494231646
1.3008219010561424,0.8440651522361213,0.010735588488986104,0.8526536230273102,2.2016669324836484,0.009450625341715702
1.4008774319066148,0.8648342497680024,0.013103191488662276,0.8753168029589322,2.3236966442849702,0.010945271300109916
1.5009329627570873,0.8828370931977731,0.01575167495516255,0.8954384331619032,2.4356731786642447,0.012572893986625422
1.6009884936075598,0.8984421223069741,0.01868680999749623,0.9133915703049711,2.5387311573077356,0.014335113815780787
1.7010440244580323,0.9119687040632933,0.02191321150770462,0.929499273269457,2.633980063120139,0.016232592841046056
1.8010995553085047,0.923693668671178,0.02543443847955878,0.944041219454825,2.722475593970012,0.018265022588310087
1.9011550861589772,0.9338569750801989,0.0292530870105713,0.957259444688656,2.805202860397199,0.020431128581499314
2.00121061700945,0.942666621899447,0.033370876487110075,0.9693633230891351,2.883067839306484,0.02272869077884332
2.1012661478599224,0.9503029042229831,0.03778872941925171,0.9805338877583845,2.95689447561268,0.02515457872129323
2.201321678710395,0.9569221034850175,0.04250684536102095,0.9909275797738343,3.0274255481624466,0.027704799855115203
2.3013772095608673,0.9626596858600791,0.04752476932269805,1.0006795013182375,3.0953259501751296,0.030374559235839982
2.40143274041134,0.967633074665495,0.05284145505482179,1.0099062387093525,3.161187426657473,0.03315832865240598
2.5014882712618123,0.9719440535051791,0.05845532355821655,1.0187083123517524,3.2255340981954426,0.036049923125694994
2.601543802112285,0.9756808493366182,0.06436431715074446,1.0271723030572137,3.2888283094330113,0.0390425827280676
2.7015993329627572,0.9789199380923601,0.07056594939940151,1.0353726976118813,3.351476491727164,0.042129057730527775
2.80165486381323,0.9817276098092095,0.07705735120574171,1.0433734907738028,3.4138348380635564,0.045301695200438585
2.901710394663702,0.984161325296512,0.0838353133133349,1.05122957594718,3.476214665599866,0.048552525333040775
3.001765925514175,0.9862708921086116,0.09089632548795709,1.0589879524989774,3.538887395550807,0.05187334599209059
3.101821456364647,0.9880994838885179,0.09823661260438021,1.066688773972022,3.6020891177542174,0.05525580414697573
3.20187698721512,0.9896845239443068,0.1058521678579103,1.074366258230635,3.666024732760674,0.05869147311509071
3.3019325180655925,0.9910584511412146,0.11373878330414118,1.0820494777845275,3.7308716810652576,0.06217192473980804
3.4019880489160648,0.9922493837839002,0.12189207791666626,1.0897630461172332,3.796783279648132,0.06568879584852372
3.5020435797665375,0.9932816950756526,0.130307523339688,1.0975277137474029,3.8638916921430044,0.0692338485360402
3.6020991106170097,0.9941765119316897,0.1389804675004887,1.1053608859320807,3.9323105620466015,0.07279902400167115
3.7021546414674824,0.994952147355079,0.14790615623555212,1.1132770723435206,4.002137339389542,0.07637648983111567
