temperature,replicate,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,comparison,lag_count,lag_grid,maximum_msd_relative_error,maximum_ngp_absolute_error,maximum_fs_absolute_error,msd_relative_error_tolerance,ngp_absolute_error_tolerance,fs_absolute_error_tolerance,curve_transfer_pass,restart_is_independent_sample,positive_memory_closure_claim_allowed,microdynamic_closure_claim_allowed,complete_microscopic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,thermodynamic_glass_transition_claim_allowed
0.58,2,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,early_late,3,20;100;200,0.038844191420487895,0.11727989566213526,0.032374914548525646,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,2,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,early_heldout,3,20;100;200,0.09179655749893367,0.13417481961952427,0.052691818819470576,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,2,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,late_heldout,3,20;100;200,0.05509238523637894,0.02412174358397512,0.020633578231488148,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.58,3,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,early_late,3,20;100;200,0.1404476703092763,0.07265284606456879,0.05377622885149075,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,3,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,early_heldout,3,20;100;200,0.15651218918290344,0.07550923686917566,0.06058421199896363,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,3,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,late_heldout,3,20;100;200,0.018689401818510976,0.01075410542228794,0.006846186316265879,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.58,4,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,early_late,3,20;100;200,0.013527980124222738,0.017285473886455627,0.014058970687316166,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.58,4,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,early_heldout,3,20;100;200,0.060077665200411356,0.018253810518093827,0.01866911692775647,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.58,4,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,late_heldout,3,20;100;200,0.07262320011689527,0.029973860444000966,0.024230519101116177,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.58,5,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,early_late,3,20;100;200,0.2121707788124132,0.11272395177108763,0.08918028229338698,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,5,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,early_heldout,3,20;100;200,0.18592512111185655,0.07228881288496325,0.0685473093446029,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,5,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,late_heldout,3,20;100;200,0.05120122950219197,0.0512393565124849,0.02063297294878408,0.1,0.3,0.03,1,0,0,0,0,0,0,0
