block_lag,lag_time,block_size,block_count,paired_particle_block_count,mean_events_per_particle_block,particle_identity_correlation,replicate,temperature,debye_waller_factor,thermodynamic_claim_allowed
1.0,20.0,20.0,250.0,815973.0,0.1004174549893195,0.25351807728560766,1.0,0.45,0.03194276615977287,0.0
2.0,40.0,20.0,250.0,812696.0,0.1004174549893195,0.1938882974395009,1.0,0.45,0.03194276615977287,0.0
3.0,60.0,20.0,250.0,809419.0,0.1004174549893195,0.1657560010725459,1.0,0.45,0.03194276615977287,0.0
4.0,80.0,20.0,250.0,806142.0,0.1004174549893195,0.14691527149579686,1.0,0.45,0.03194276615977287,0.0
5.0,100.0,20.0,250.0,802865.0,0.1004174549893195,0.13543259617787737,1.0,0.45,0.03194276615977287,0.0
6.0,120.0,20.0,250.0,799588.0,0.1004174549893195,0.12465958714558148,1.0,0.45,0.03194276615977287,0.0
7.0,140.0,20.0,250.0,796311.0,0.1004174549893195,0.1124347396758413,1.0,0.45,0.03194276615977287,0.0
8.0,160.0,20.0,250.0,793034.0,0.1004174549893195,0.10982022090105266,1.0,0.45,0.03194276615977287,0.0
9.0,180.0,20.0,250.0,789757.0,0.1004174549893195,0.10349475436374524,1.0,0.45,0.03194276615977287,0.0
10.0,200.0,20.0,250.0,786480.0,0.1004174549893195,0.09690827895413623,1.0,0.45,0.03194276615977287,0.0
11.0,220.0,20.0,250.0,783203.0,0.1004174549893195,0.09204910853535542,1.0,0.45,0.03194276615977287,0.0
12.0,240.0,20.0,250.0,779926.0,0.1004174549893195,0.08888122710023678,1.0,0.45,0.03194276615977287,0.0
13.0,260.0,20.0,250.0,776649.0,0.1004174549893195,0.08313698792151958,1.0,0.45,0.03194276615977287,0.0
14.0,280.0,20.0,250.0,773372.0,0.1004174549893195,0.08090923077854781,1.0,0.45,0.03194276615977287,0.0
15.0,300.0,20.0,250.0,770095.0,0.1004174549893195,0.07663564255909847,1.0,0.45,0.03194276615977287,0.0
16.0,320.0,20.0,250.0,766818.0,0.1004174549893195,0.07598164616658284,1.0,0.45,0.03194276615977287,0.0
17.0,340.0,20.0,250.0,763541.0,0.1004174549893195,0.07407646494629799,1.0,0.45,0.03194276615977287,0.0
18.0,360.0,20.0,250.0,760264.0,0.1004174549893195,0.07168684599458328,1.0,0.45,0.03194276615977287,0.0
19.0,380.0,20.0,250.0,756987.0,0.1004174549893195,0.06578862658333401,1.0,0.45,0.03194276615977287,0.0
20.0,400.0,20.0,250.0,753710.0,0.1004174549893195,0.06402860490957792,1.0,0.45,0.03194276615977287,0.0
21.0,420.0,20.0,250.0,750433.0,0.1004174549893195,0.06297355895975097,1.0,0.45,0.03194276615977287,0.0
22.0,440.0,20.0,250.0,747156.0,0.1004174549893195,0.06051819591887848,1.0,0.45,0.03194276615977287,0.0
23.0,460.0,20.0,250.0,743879.0,0.1004174549893195,0.06061366954104759,1.0,0.45,0.03194276615977287,0.0
24.0,480.0,20.0,250.0,740602.0,0.1004174549893195,0.056315536349799675,1.0,0.45,0.03194276615977287,0.0
25.0,500.0,20.0,250.0,737325.0,0.1004174549893195,0.0549193735356908,1.0,0.45,0.03194276615977287,0.0
26.0,520.0,20.0,250.0,734048.0,0.1004174549893195,0.05471530539836069,1.0,0.45,0.03194276615977287,0.0
27.0,540.0,20.0,250.0,730771.0,0.1004174549893195,0.05183725017961364,1.0,0.45,0.03194276615977287,0.0
28.0,560.0,20.0,250.0,727494.0,0.1004174549893195,0.05069267566660108,1.0,0.45,0.03194276615977287,0.0
29.0,580.0,20.0,250.0,724217.0,0.1004174549893195,0.04810741398744756,1.0,0.45,0.03194276615977287,0.0
30.0,600.0,20.0,250.0,720940.0,0.1004174549893195,0.04710636430318162,1.0,0.45,0.03194276615977287,0.0
31.0,620.0,20.0,250.0,717663.0,0.1004174549893195,0.045156586561346315,1.0,0.45,0.03194276615977287,0.0
32.0,640.0,20.0,250.0,714386.0,0.1004174549893195,0.046243759071644824,1.0,0.45,0.03194276615977287,0.0
33.0,660.0,20.0,250.0,711109.0,0.1004174549893195,0.04518195854205847,1.0,0.45,0.03194276615977287,0.0
34.0,680.0,20.0,250.0,707832.0,0.1004174549893195,0.041478816625975,1.0,0.45,0.03194276615977287,0.0
35.0,700.0,20.0,250.0,704555.0,0.1004174549893195,0.04264213654366016,1.0,0.45,0.03194276615977287,0.0
36.0,720.0,20.0,250.0,701278.0,0.1004174549893195,0.03944497184233392,1.0,0.45,0.03194276615977287,0.0
37.0,740.0,20.0,250.0,698001.0,0.1004174549893195,0.040077936959181236,1.0,0.45,0.03194276615977287,0.0
38.0,760.0,20.0,250.0,694724.0,0.1004174549893195,0.03818274650166455,1.0,0.45,0.03194276615977287,0.0
39.0,780.0,20.0,250.0,691447.0,0.1004174549893195,0.03635113952698161,1.0,0.45,0.03194276615977287,0.0
40.0,800.0,20.0,250.0,688170.0,0.1004174549893195,0.03364945909211519,1.0,0.45,0.03194276615977287,0.0
41.0,820.0,20.0,250.0,684893.0,0.1004174549893195,0.03407647630280213,1.0,0.45,0.03194276615977287,0.0
42.0,840.0,20.0,250.0,681616.0,0.1004174549893195,0.036607043936003274,1.0,0.45,0.03194276615977287,0.0
43.0,860.0,20.0,250.0,678339.0,0.1004174549893195,0.03379463861532286,1.0,0.45,0.03194276615977287,0.0
44.0,880.0,20.0,250.0,675062.0,0.1004174549893195,0.03424894348706184,1.0,0.45,0.03194276615977287,0.0
45.0,900.0,20.0,250.0,671785.0,0.1004174549893195,0.033448586845433205,1.0,0.45,0.03194276615977287,0.0
46.0,920.0,20.0,250.0,668508.0,0.1004174549893195,0.032979696781083825,1.0,0.45,0.03194276615977287,0.0
47.0,940.0,20.0,250.0,665231.0,0.1004174549893195,0.03230602267374719,1.0,0.45,0.03194276615977287,0.0
48.0,960.0,20.0,250.0,661954.0,0.1004174549893195,0.030967119873238896,1.0,0.45,0.03194276615977287,0.0
49.0,980.0,20.0,250.0,658677.0,0.1004174549893195,0.029882631285572083,1.0,0.45,0.03194276615977287,0.0
50.0,1000.0,20.0,250.0,655400.0,0.1004174549893195,0.030176360745413296,1.0,0.45,0.03194276615977287,0.0
51.0,1020.0,20.0,250.0,652123.0,0.1004174549893195,0.028498392949499424,1.0,0.45,0.03194276615977287,0.0
52.0,1040.0,20.0,250.0,648846.0,0.1004174549893195,0.026460569781327523,1.0,0.45,0.03194276615977287,0.0
53.0,1060.0,20.0,250.0,645569.0,0.1004174549893195,0.026317133031157673,1.0,0.45,0.03194276615977287,0.0
54.0,1080.0,20.0,250.0,642292.0,0.1004174549893195,0.02635484848819124,1.0,0.45,0.03194276615977287,0.0
55.0,1100.0,20.0,250.0,639015.0,0.1004174549893195,0.025962258379463327,1.0,0.45,0.03194276615977287,0.0
56.0,1120.0,20.0,250.0,635738.0,0.1004174549893195,0.025772693818945255,1.0,0.45,0.03194276615977287,0.0
57.0,1140.0,20.0,250.0,632461.0,0.1004174549893195,0.02717926607494351,1.0,0.45,0.03194276615977287,0.0
58.0,1160.0,20.0,250.0,629184.0,0.1004174549893195,0.02578369753879699,1.0,0.45,0.03194276615977287,0.0
59.0,1180.0,20.0,250.0,625907.0,0.1004174549893195,0.025893438501236737,1.0,0.45,0.03194276615977287,0.0
60.0,1200.0,20.0,250.0,622630.0,0.1004174549893195,0.025927481575621664,1.0,0.45,0.03194276615977287,0.0
61.0,1220.0,20.0,250.0,619353.0,0.1004174549893195,0.024020423043332493,1.0,0.45,0.03194276615977287,0.0
62.0,1240.0,20.0,250.0,616076.0,0.1004174549893195,0.02369945487746691,1.0,0.45,0.03194276615977287,0.0
63.0,1260.0,20.0,250.0,612799.0,0.1004174549893195,0.02441365216459861,1.0,0.45,0.03194276615977287,0.0
64.0,1280.0,20.0,250.0,609522.0,0.1004174549893195,0.024972353162516368,1.0,0.45,0.03194276615977287,0.0
65.0,1300.0,20.0,250.0,606245.0,0.1004174549893195,0.02188936508563588,1.0,0.45,0.03194276615977287,0.0
66.0,1320.0,20.0,250.0,602968.0,0.1004174549893195,0.023388451632674986,1.0,0.45,0.03194276615977287,0.0
67.0,1340.0,20.0,250.0,599691.0,0.1004174549893195,0.023966437022440706,1.0,0.45,0.03194276615977287,0.0
68.0,1360.0,20.0,250.0,596414.0,0.1004174549893195,0.022598922704783964,1.0,0.45,0.03194276615977287,0.0
69.0,1380.0,20.0,250.0,593137.0,0.1004174549893195,0.023694809202773042,1.0,0.45,0.03194276615977287,0.0
70.0,1400.0,20.0,250.0,589860.0,0.1004174549893195,0.02343547497546675,1.0,0.45,0.03194276615977287,0.0
71.0,1420.0,20.0,250.0,586583.0,0.1004174549893195,0.023349670648664545,1.0,0.45,0.03194276615977287,0.0
