replicate,temperature,calibration_time,radius_scale,debye_waller_factor,debye_waller_lag,fluctuation_half_window,calibration_event_count,radius_threshold,pair_count,return_count,return_fraction,isotropic_null_fraction,return_excess_ratio,return_run_count,return_run_mean,geometric_return_run_mean,mean_return_run_duration,return_run_duration_p50,return_run_duration_p75,return_run_duration_p90,return_run_duration_p95,calibration_events_only,heldout_events_used_in_calibration,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
1.0,0.45,5000.0,0.5,0.031893301755189896,2.0,5.0,82765.0,0.08929347926247176,79653.0,12648.0,0.1587887461865843,0.07501736992685797,2.116693058439713,10426.0,1.2131210435449837,1.1887620326841282,88.37655860349128,17.0,70.0,225.0,401.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.45,5000.0,1.0,0.031893301755189896,2.0,5.0,82765.0,0.17858695852494352,79653.0,34568.0,0.43398239865416244,0.28976191479825897,1.4977206337013411,18623.0,1.8561993234172798,1.7667295109238106,183.47978306395316,33.0,155.0,508.0,905.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.45,5000.0,1.5,0.031893301755189896,2.0,5.0,82765.0,0.26788043778741527,79653.0,51065.0,0.6410932419369013,0.5117246801537224,1.2528089162014162,17260.0,2.958574739281576,2.7862389813907935,327.80086906141366,73.0,344.0,963.1000000000004,1541.0999999999985,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.45,5000.0,0.5,0.031871385872364044,2.0,5.0,83764.0,0.08926279442237404,80631.0,12611.0,0.15640386451860946,0.07375761800214795,2.1205113282543198,10368.0,1.2163387345679013,1.1854013525433695,91.05401234567901,16.0,64.0,213.0,412.64999999999964,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.45,5000.0,1.0,0.031871385872364044,2.0,5.0,83764.0,0.1785255888447481,80631.0,34595.0,0.42905334176681426,0.2862492068631836,1.4988804561889517,18745.0,1.8455588156841825,1.7514771048744462,182.44182448652975,33.0,147.0,496.0,922.7999999999993,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.45,5000.0,1.5,0.031871385872364044,2.0,5.0,83764.0,0.2677883832671221,80631.0,51395.0,0.6374099291835646,0.5103835669858708,1.2488841146431549,17576.0,2.924157942649067,2.7579354220823644,322.3084888484297,71.0,316.0,954.5,1572.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.45,5000.0,0.5,0.03194568678736687,2.0,5.0,79351.0,0.08936678184225791,76178.0,12371.0,0.16239596733965186,0.07720961588051145,2.1033127219668293,10071.0,1.2283785125608182,1.1938815490463428,93.43401846887102,16.0,70.0,225.0,441.5,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.45,5000.0,1.0,0.03194568678736687,2.0,5.0,79351.0,0.17873356368451582,76178.0,33439.0,0.4389587544960487,0.2921383517596329,1.5025714763298776,17793.0,1.8793345697746304,1.7824001497461335,185.69600404653517,32.0,149.0,513.0,936.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.45,5000.0,1.5,0.03194568678736687,2.0,5.0,79351.0,0.26810034552677375,76178.0,49193.0,0.6457638688335214,0.5155215223961677,1.2526419184828237,16355.0,3.0078263527973097,2.8229757272558826,340.1858758789361,75.0,337.0,1044.0,1693.8999999999978,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.58,750.0,0.5,0.05516825616359711,2.0,5.0,35326.0,0.11743961870211976,32049.0,295.0,0.009204655371462448,0.006112711873759286,1.5058218940395816,285.0,1.0350877192982457,1.00929016816779,32.80701754385965,13.0,34.0,81.6,136.0,1.0,0.0,0.0,0.0,0.0,0.0
