model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
contiguous_empirical_path,1.0,-1.0,0.58,10.0,10.0,1.0,245775.0,0.1036537183159931,0.10750766441484316,0.03584810552649276,0.531175288215862,0.5215776650020589,0.009597623213803086,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9343734711133852,0.932042696508698,0.0023307746046872246,0.7720322088525422,0.7649719650823928,0.007060243770149355,0.4672739871541091,0.4560534322972421,0.011220554856867015
contiguous_empirical_path,1.0,-1.0,0.58,20.0,10.0,2.0,242498.0,0.15957982676649834,0.16660841604263024,0.04218627991957791,0.5690341924766542,0.5385549106326213,0.030479281844032924,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9018918104957172,0.8977103424506039,0.0041814680451133235,0.6826177593990782,0.6706091522002315,0.012008607198846666,0.3466880183174466,0.3302563514537057,0.016431666863740924
contiguous_empirical_path,1.0,-1.0,0.58,50.0,10.0,5.0,232667.0,0.3224046504129284,0.33915786238642154,0.049396501840211826,0.44947396375915183,0.4228744500577841,0.026599513701367705,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8146358440559194,0.8059051064886428,0.008730737567276603,0.4845796781719951,0.46632311008109595,0.01825656809089915,0.15892429643644693,0.14432782920476006,0.014596467231686866
contiguous_empirical_path,1.0,-1.0,0.58,100.0,10.0,10.0,216282.0,0.5963124027828535,0.6244853324897498,0.04511383733317509,0.28831570344638235,0.2825033492140283,0.0058123542323540445,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6869490277395794,0.6748742076596806,0.012074820079898796,0.27577305299064947,0.25770578929215066,0.018067263698498814,0.04846595115877313,0.03757140173250425,0.010894549426268878
contiguous_empirical_path,1.0,-1.0,0.58,200.0,10.0,20.0,183512.0,1.141980343632263,1.1970958003749623,0.046040974102018906,0.16530948175977955,0.17003137790337108,0.004721896143591531,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4896946553551788,0.4733264732392782,0.01636818211590063,0.09157897894239987,0.07641999280253814,0.015158986139861733,0.004285808021715652,0.0035374896626027496,0.0007483183591129026
contiguous_empirical_path,1.0,-1.0,0.58,400.0,10.0,40.0,117972.0,2.2135481485214314,2.302522122507715,0.03864196270539211,0.0916514447197534,0.08241548506967367,0.009235959650079728,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24967020105744797,0.2367746362454057,0.012895564812042265,0.011126655527354302,0.005007075510426834,0.006119580016927468,0.0060772075728686495,-0.0015893870932790705,0.00766659466614772
contiguous_empirical_path,1.0,-1.0,0.58,600.0,10.0,60.0,52432.0,3.2938735155787833,3.5092386999443375,0.061370913403231975,0.059147194098061906,0.04880248109629837,0.01034471300176354,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12173982629113823,0.10971466137823888,0.012025164912899358,-0.0010712387436984264,0.003664696471714173,0.004735935215412599,0.0020889141608437974,-0.002099056579231919,0.004187970740075717
phase_randomized_cross_spectrum,1.0,0.0,0.58,10.0,10.0,1.0,245775.0,0.10365371831599311,0.10750766441484316,0.035848105526492646,0.03384709848869227,0.5215776650020589,0.48773056651336666,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9333054473154322,0.932042696508698,0.0012627508067342141,0.7594581096554586,0.7649719650823928,0.005513855426934278,0.4086829601328458,0.4560534322972421,0.04737047216439633
phase_randomized_cross_spectrum,1.0,0.0,0.58,20.0,10.0,2.0,242498.0,0.16044688361581938,0.16660841604263024,0.03698211995025691,0.05670141911198501,0.5385549106326213,0.4818534915206363,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8988580401036664,0.8977103424506039,0.0011476976530625516,0.6553244470236025,0.6706091522002315,0.015284705176629054,0.2587316758676489,0.3302563514537057,0.0715246755860568
phase_randomized_cross_spectrum,1.0,0.0,0.58,50.0,10.0,5.0,232667.0,0.3256069229786999,0.33915786238642154,0.039954666869206346,0.08756862079060301,0.4228744500577841,0.3353058292671811,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8065386148672201,0.8059051064886428,0.000633508378577341,0.4331482416803335,0.46632311008109595,0.03317486840076245,0.0778011669072504,0.14432782920476006,0.06652666229750966
