block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k2,fs_k4,fs_k7p25,replicate,temperature,representation,calibration_debye_waller_factor,analysis_window,window_dw_event_count,window_phop_event_count,oracle_uses_heldout_events,prediction_claim_allowed,thermodynamic_claim_allowed
0.0,20.0,312.0,3277.0,0.03947911464774425,0.6756992746897912,0.9155389544846366,0.6523494561792518,0.9742430236839429,0.9029893073989769,0.7269914476761401,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,50.0,310.0,3277.0,0.046740404950100164,1.1449787442407242,0.8883912311614677,1.2541204630894796,0.9698278936644913,0.8891576848490441,0.7007954515331541,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,100.0,307.0,3277.0,0.056769382318739736,1.5840639707525819,0.855580151465301,2.2241380589266373,0.9638710966931753,0.8714938950859339,0.6699459287275783,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,200.0,301.0,3277.0,0.07448854746335726,1.9592846571072067,0.8065100869140298,3.8544762003740414,0.9536589339383016,0.8431564085412696,0.6248384335077412,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,500.0,282.0,3277.0,0.12229586334266093,2.1210834173827444,0.7048091469234316,5.355710788007688,0.9275676054133354,0.7780665070466294,0.5350998046113176,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,1000.0,251.0,3277.0,0.20395977737411258,1.9308009216115618,0.5799031521153712,2.235747317552544,0.8866071054484336,0.6891332935645924,0.43021948425940587,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,2000.0,188.0,3277.0,0.36276848451368504,1.5326070064337212,0.4376115933748434,1.459156773003828,0.8160611517429514,0.565687360435783,0.31308419070470495,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,3000.0,126.0,3277.0,0.5196142732111305,1.315020736139025,0.34227007861429587,0.6039246946871514,0.7550087095665193,0.475522175516467,0.23674788232110086,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,4096.0,57.0,3277.0,0.673140792961732,1.0669612790936265,0.26370396543693686,0.2023008793203476,0.6964200531223924,0.3891397046380084,0.17285011433071704,1.0,0.45,observed_trajectory,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,20.0,312.0,3277.0,0.005284818906563643,33.92590374836523,0.9839890299914712,0.1148913557263713,0.9966798679765352,0.9886563351252464,0.9737329230650207,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,50.0,310.0,3277.0,0.010921481830266217,19.785599524699506,0.9694813312727021,0.34851602170331014,0.9932298555793581,0.9775875859797288,0.9504340688090726,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,100.0,307.0,3277.0,0.019179876531158508,13.299378125094371,0.9502375156430317,0.8078259624654398,0.9882835930228309,0.9624993821088831,0.9207519743757421,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,200.0,301.0,3277.0,0.03473698599645584,8.734499845122313,0.9167732013216042,1.7106387694984049,0.9792004242766534,0.9362465361262363,0.8726313747163758,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,500.0,282.0,3277.0,0.07940607905792317,4.993201106808151,0.834324553031336,3.2531582944457886,0.9544181522680754,0.8711061067539189,0.7655095542547495,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,1000.0,251.0,3277.0,0.15758688898223536,3.2096594274202968,0.7186876540222996,1.902070229332183,0.9143660021839828,0.778473662632674,0.6318328060970394,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
0.0,2000.0,188.0,3277.0,0.31355181214282013,2.0388560509673006,0.5579717437459015,0.7496037291199081,0.8430641776007208,0.6424192101687867,0.4656358326975298,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,calibration,82267.0,4859.0,0.0,0.0,0.0
