record,member_index,epsilon,stride,frame_time_tau,interval_count,maximum_jacobian_gram_condition_number,trace_variance_ratio,mean_squared_mahalanobis,summed_mean_squared_mahalanobis,observed_predicted_energy_correlation,whitened_max_abs_component_excess_kurtosis,whitened_lag1_correlation,minimum_covariance_eigenvalue,valid_sample_count,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,cross_epsilon_covariance_relative_l2,cross_epsilon_covariance_correlation
member,1,0.001,1,0.001,200,1.9308966734497837,0.517433808836061,1.575633433942378,7.906518813691862,0.572107478253533,0.43062544436417927,0.5235609113550194,3.948717406128593e-05,200.0,False,False,,
member,1,0.002,1,0.001,200,1.931869151074467,0.5169439256347014,1.5725757070915491,7.898066090286863,0.5722883791831763,0.42673257083962257,0.5251251985032256,3.945738592357343e-05,200.0,False,False,,
member,2,0.001,1,0.001,200,1.9212424898828429,0.4955260820742019,1.5453673118299833,6.524847573878869,0.6653739477544725,0.5026795158677047,0.521686630788677,3.2392016136428705e-05,200.0,False,False,,
member,2,0.002,1,0.001,200,1.9216030414535161,0.4958805434655939,1.5485374428344858,6.519704782168537,0.665425515547426,0.5090636650895295,0.520970707589633,3.2399394511907855e-05,200.0,False,False,,
member,3,0.001,1,0.001,200,1.8658596603276272,0.5106568812434547,1.5110386056047034,0.7703056232806025,0.7128646319094217,0.37145194302498563,0.4612177333607293,2.4430635582412304e-05,200.0,False,False,,
member,3,0.002,1,0.001,200,1.866049127036118,0.5107613966205459,1.5082610248770738,0.7703893429270452,0.7125287280276766,0.374948996685013,0.46200406325273446,2.442662192819685e-05,200.0,False,False,,
member,4,0.001,1,0.001,200,1.735606303890324,0.5213627608683883,1.644909077194872,3.049435581605641,0.6856048211371245,0.6964609427369752,0.5275619282712218,3.201264332143435e-05,200.0,False,False,,
member,4,0.002,1,0.001,200,1.7365686273694871,0.5210769270717936,1.643778127262116,3.0535768805304406,0.6853912002143357,0.7147453672157327,0.5272113428814995,3.1973169145319604e-05,200.0,False,False,,
member,5,0.001,1,0.001,200,1.9482142125858077,0.52122288360279,1.5360580901047058,5.96731462792286,0.6654124841575609,0.7836245743221073,0.4612242992629057,2.4451312539722967e-05,200.0,False,False,,
member,5,0.002,1,0.001,200,1.9487840028861347,0.5213609066754783,1.5412974853638144,5.968082702629354,0.6643712490244408,0.7862871699819811,0.45954282204431723,2.4451850733076257e-05,200.0,False,False,,
member,6,0.001,1,0.001,200,1.9124173345941986,0.4872641444413177,1.5272355271092557,0.8675299787498731,0.5525907578916478,0.5041802864135936,0.447683341976466,1.644139414684526e-05,200.0,False,False,,
member,6,0.002,1,0.001,200,1.9129032829937505,0.48697430139267744,1.527629075966172,0.8665526959463931,0.553813154287636,0.5072669288169767,0.44839906377345073,1.6453950569036946e-05,200.0,False,False,,
member,7,0.001,1,0.001,200,1.697414790710284,0.4788715911255415,1.5920069059558468,3.180619551331179,0.6148357199642782,0.4316475811367657,0.5034400041002046,9.038958756631797e-06,200.0,False,False,,
member,7,0.002,1,0.001,200,1.6976738850283017,0.4792903949187583,1.592159912804138,3.1738073514818272,0.615800026706469,0.4237026387879017,0.5027430962440615,9.038576456671332e-06,200.0,False,False,,
member,8,0.001,1,0.001,200,2.028386521373365,0.4646273108335383,1.4066008591158745,3.0504013911446144,0.5899054399054577,0.049279708539464284,0.5206542892043602,5.914552431668183e-05,200.0,False,False,,
member,8,0.002,1,0.001,200,2.028639046388585,0.46478735941895216,1.4084287408138658,3.0404783749915265,0.5898309167802589,0.05739908286481832,0.5193005166535343,5.916035802922021e-05,200.0,False,False,,
aggregate,all,0.001,1,0.001,1600,,0.4996501769549608,1.5423562263572024,7.05258087757797,0.6332706293107567,0.33189403382134985,0.4973042089940772,9.038958756631797e-06,1600.0,False,False,,
aggregate,all,0.002,1,0.001,1600,,0.49965697839303497,1.5428334396266519,7.0419197975776555,0.6334393649861892,0.3338891705255298,0.49709284386631636,9.038576456671332e-06,1600.0,False,False,,
cross_epsilon,1,both,1,0.001,200,,,,,,,,,,False,False,0.00012512750498194666,0.9999999908795327
cross_epsilon,2,both,1,0.001,200,,,,,,,,,,False,False,0.00013304779719841114,0.9999999897774479
cross_epsilon,3,both,1,0.001,200,,,,,,,,,,False,False,0.00012283682083750815,0.99999999200718
cross_epsilon,4,both,1,0.001,200,,,,,,,,,,False,False,0.00012724715456364596,0.9999999910719333
cross_epsilon,5,both,1,0.001,200,,,,,,,,,,False,False,0.0001013316683685319,0.9999999943524761
cross_epsilon,6,both,1,0.001,200,,,,,,,,,,False,False,0.00012022949030409877,0.9999999919486963
cross_epsilon,7,both,1,0.001,200,,,,,,,,,,False,False,0.00010697165924718865,0.9999999937003704
cross_epsilon,8,both,1,0.001,200,,,,,,,,,,False,False,0.00011624217561595974,0.9999999923942765
