parent_group,clone_index,target_slot,a_particle_index,first_passage_tau,escaped_within_horizon,geometry_0,geometry_1,geometry_2,geometry_3,radial_A_0.8,radial_A_1.05,radial_A_1.3,radial_A_1.55,radial_A_1.8,radial_A_2.05,radial_A_2.3,radial_B_0.8,radial_B_1.05,radial_B_1.3,radial_B_1.55,radial_B_1.8,radial_B_2.05,radial_B_2.3,geometry_heldout_rate,radial_heldout_rate,geometry_radial_heldout_rate,geometry_heldout_event_probability,radial_heldout_event_probability,geometry_radial_heldout_event_probability,thermodynamic_claim_allowed
1,1,0,128,10.4,True,-6.814717229324512,-1.352528888043364,-0.8416566251065429,-0.7057264199431342,0.42890627555906197,4.046471546054998,3.6853693136900016,1.3650019071157191,2.1199581146482376,1.6652631329864978,0.3664389161107932,1.3533503447798165,1.111872167002467,0.03675409156976931,0.3634915934079617,0.3411163765087295,0.15595679204987117,0.012234643267384817,0.049724170459156156,0.05463595075726733,0.05379297982032416,0.6300855103778876,0.664696442325873,0.6589954969656494,False
1,1,1,134,7.45,True,-7.549088297651775,-1.3013017551949846,-1.0651517253474145,-0.8290852305350112,0.6552652109938503,5.339468302857033,2.440834294856445,1.1775510090855146,2.5701314237821307,1.522637644755094,0.3122512250241581,0.12183692373369251,0.6234088126633649,0.2984280660971309,0.9223116727907197,0.7809793652689179,0.2374863137553026,0.0594804662843156,0.04841890910949049,0.051744973480696455,0.04991646904488409,0.6203016594545032,0.6447379062347488,0.631505458750877,False
1,1,2,236,20.0,False,-6.613689371599182,-1.5415608193473194,-1.3181906254260565,-0.6711150074334359,0.568730849494139,4.756993518633082,3.140666960617775,1.817661625381787,1.9166975690025796,1.4483542139658576,0.40076817076626237,1.3949964400071238,0.3310932660483175,0.026682246793659593,0.8069342133938054,1.2182808287005387,0.35035267224137684,0.07963668952307404,0.04044863957065212,0.04663531277294096,0.04390973589974581,0.5546847369734171,0.6065126092434556,0.5844676118873344,False
1,1,3,294,20.0,False,-6.914569397237415,-1.321264241246077,-1.153206104148116,-0.7441078634642778,0.47066295463832575,4.836813810723655,3.2066054768270322,1.4276023496485861,2.470895662795739,1.174453039190053,0.4513737841924547,0.9861444338717101,0.6622421784735617,0.0429779520497086,0.7771648564209223,0.5489398694070131,0.38125387574016456,0.12324898762551266,0.04836847579523458,0.0491797442488119,0.045614981932156615,0.6199184773209178,0.6260356791728443,0.5984003727000946,False
1,1,4,364,20.0,False,-6.382219815416956,-1.3078317618237427,-1.1162039661317418,-0.6253627140801201,0.4143152099792858,5.116666534605862,2.5155673597774486,1.8342100225339593,2.2151046856086163,1.5520326417707972,0.3337031600343051,0.6243607394140908,0.22989329458420582,0.001307987092020266,0.07571449810089416,0.5477697369804598,0.3441283895310325,0.05569658557106409,0.05008996615006332,0.06191233597786277,0.05841227815179298,0.6327818976092835,0.7101079653287107,0.6890880615585101,False
1,1,5,419,13.350000000000001,True,-5.027474400316381,-1.2813248101898218,-1.0754016723704765,-0.579924085000332,0.3297635817909428,4.2017685569062815,3.4584836941613903,1.5442354450879912,2.2761255887283474,1.4165458594120632,0.3515992041320436,1.382939648328749,0.5858708502959444,0.5134489219790773,0.7668266139326809,0.715923793705618,0.21758652707289566,0.07342829434010097,0.05512072988560572,0.051713991830266294,0.04902015633401542,0.667931696473428,0.6445177059000938,0.6248401685739473,False
1,1,6,422,18.0,True,-5.490904908957275,-0.9652158428740762,-0.6991612496647961,-0.541227800702953,0.25824080375202857,4.87001711135347,2.5023952729453027,1.102690648240169,2.3350213247384186,1.7440348503270902,0.3679664414011319,0.021074473099230048,1.1382844749672814,0.8920385065253212,1.1067183526971487,0.6009625153453715,0.21882527102998126,0.052001048115546504,0.07184829490645273,0.04858758224736168,0.05301880473687197,0.7623522867064767,0.6215803995616268,0.6536744653774235,False
1,1,7,451,20.0,False,-6.849259400968147,-1.4259837523441097,-1.0320380634455353,-0.6443450316236726,0.5507742661073807,5.144260631223973,2.3359872957348156,2.1502801070865023,2.3935255708315193,1.370777791134964,0.28807029671705164,0.5429764355984892,0.29496997453355067,0.02654167733407786,0.32277783148918476,0.4332864925608884,0.4019345971216778,0.1033937297972461,0.04539884987092205,0.06487605689727716,0.060014476926383356,0.5966606441931598,0.7267918002324726,0.6988929827927344,False
1,1,8,580,20.0,False,-7.6779506875384795,-1.39421123858192,-1.0463762299708905,-0.5918310557992127,0.36107814776390235,4.916213356212553,2.478887285324753,1.590794867642674,2.4578759704476925,1.3558051104542845,0.35327689034920384,1.25270660017295,1.1108100928731348,0.34970677279188433,0.581558644358333,0.5575355307172583,0.3022490522579747,0.08403802175833577,0.044156301204418116,0.042866119484744836,0.039608550768352235,0.5865116851670734,0.5757033362242805,0.5471394399609528,False
1,1,9,682,14.15,True,-6.4508907417618975,-1.1325161339923364,-0.8072510376302735,-0.5820126484258407,0.32793303391872997,4.399819853798681,3.330836426815599,1.0397621979363594,2.159766951301,1.6760299160002545,0.3556775936117718,0.44794614557149826,0.3732727087773354,0.261204902310083,0.6288439306760221,0.5217664371381626,0.42954802964748395,0.06823966729451969,0.05943382367162204,0.06334125357370551,0.06493440354836832,0.6953758244346666,0.7182753409801217,0.7271104299566834,False
