metric,effect,high_temperature_mean,high_temperature_ci95_low,high_temperature_ci95_high,low_temperature_mean,low_temperature_ci95_low,low_temperature_ci95_high,effect_ratio,directional_ci95_separated,trend_pass,thermodynamic_claim_allowed,high_temperature,low_temperature,independent_replicates_per_temperature,independence_class
diffusion,cooling_slowdown,0.003057076747017197,0.003019134925121103,0.0030950185689132908,0.0009511336796820766,0.0009311658652320503,0.000971101494132103,3.214139938813908,True,True,False,0.7,0.58,5,decorrelated_parent_frames_plus_velocity_seeds
alpha_relaxation_time,cooling_growth,4.395516617624764,4.371045111783212,4.419988123466317,16.820378786626502,16.42801465788153,17.212742915371475,3.8267125914577584,True,True,False,0.7,0.58,5,decorrelated_parent_frames_plus_velocity_seeds
diffusion_alpha_product,cooling_growth,0.013436747278300123,0.01331105488321519,0.013562439673385057,0.015994735713949312,0.015623872082351936,0.016365599345546687,1.1903725941009735,True,True,False,0.7,0.58,5,decorrelated_parent_frames_plus_velocity_seeds
ngp_peak,cooling_growth,0.3159589183308948,0.3118466560132733,0.32007118064851625,0.546223208873025,0.5344411326609287,0.5580052850851213,1.7287792088874698,True,True,False,0.7,0.58,5,decorrelated_parent_frames_plus_velocity_seeds
overlap_chi4_peak,cooling_growth,2.673000107192105,2.437964105752588,2.908036108631622,5.259746374637116,4.412096092727456,6.107396656546776,1.9677314492000897,True,True,False,0.7,0.58,5,decorrelated_parent_frames_plus_velocity_seeds
