replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_clock_prediction,two_clock_prediction,hmm_prediction,static_prediction,poisson_prediction
1.0,0.58,20.0,1.0,20.0,0.0756774944316646,0.05020072475170388,0.050301653941609424,0.057483379385137735,0.011868548442357433,0.0
1.0,0.58,20.0,2.0,40.0,0.025609693312519347,0.03521514042459235,0.035386534227679074,0.03688291729270856,0.011868548442357433,0.0
1.0,0.58,20.0,3.0,60.0,0.01389888637305966,0.024702952422647393,0.024923441461420257,0.023665094198906764,0.011868548442357433,0.0
1.0,0.58,20.0,4.0,80.0,0.011521112709024183,0.017328792418201608,0.017583387472681487,0.015184175345962808,0.011868548442357433,0.0
1.0,0.58,20.0,5.0,100.0,0.011904897359716725,0.012155917298283003,0.012434104740384455,0.009742584542409964,0.011868548442357433,0.0
1.0,0.58,20.0,6.0,120.0,0.008726240128833216,0.00852721423377932,0.00882161999988172,0.006251110212003875,0.011868548442357433,0.0
1.0,0.58,20.0,7.0,140.0,0.0032881239164633887,0.005981727318845718,0.0062871797043418795,0.004010884248683465,0.011868548442357433,0.0
1.0,0.58,20.0,8.0,160.0,0.0034132788077485083,0.004196102119175533,0.004508974341330614,0.0025734936532466226,0.011868548442357433,0.0
1.0,0.58,20.0,9.0,180.0,0.006864340915985123,0.002943509801771946,0.003261258816329268,0.0016512243118146685,0.011868548442357433,0.0
1.0,0.58,20.0,10.0,200.0,0.0016935407564998403,0.0020648329585529514,0.0023856759457318265,0.0010594709353520743,0.011868548442357433,0.0
1.0,0.58,20.0,11.0,220.0,-0.0006182191224599863,0.0014484528450219372,0.0017711402687620734,0.0006797856928488495,0.011868548442357433,0.0
1.0,0.58,20.0,12.0,240.0,-0.002639505090371292,0.001016070397153311,0.0013397268092066072,0.0004361691980237535,0.011868548442357433,0.0
1.0,0.58,20.0,13.0,260.0,0.0033966548614260197,0.0007127598634083605,0.0010367722295396677,0.00027985815427713785,0.011868548442357433,0.0
1.0,0.58,20.0,14.0,280.0,0.0027422856996110437,0.0004999915599442969,0.0008239309222592382,0.00017956468927716662,0.011868548442357433,0.0
1.0,0.58,20.0,15.0,300.0,0.001334802572877367,0.00035073742623510185,0.0006743039503573993,0.00011521364356342946,0.011868548442357433,0.0
1.0,0.58,20.0,16.0,320.0,-0.0041902361736263615,0.0002460376374667779,0.0005690220638762981,7.392424265926602e-05,0.011868548442357433,0.0
1.0,0.58,20.0,17.0,340.0,0.00411286114827008,0.00017259212881848778,0.0004948487314897185,4.74318273750059e-05,0.011868548442357433,0.0
1.0,0.58,20.0,18.0,360.0,0.002215613397180509,0.0001210710817938159,0.00044249869905243014,3.0433565055270283e-05,0.011868548442357433,0.0
1.0,0.58,20.0,19.0,380.0,0.005670054573806334,8.49297528634151e-05,0.00040545848079637513,1.952701241406163e-05,0.011868548442357433,0.0
1.0,0.58,20.0,20.0,400.0,0.003962245499921081,5.957709152813723e-05,0.0003791589495997189,1.2529068254949164e-05,0.011868548442357433,0.0
1.0,0.58,20.0,21.0,420.0,-0.0011064549120219512,4.179253695298361e-05,0.000360394920070358,8.038994804147995e-06,0.011868548442357433,0.0
1.0,0.58,20.0,22.0,440.0,0.016221973839098378,2.9316908566132426e-05,0.00034691799380219714,5.158040178733201e-06,0.011868548442357433,0.0
1.0,0.58,20.0,23.0,460.0,0.0033124543175359123,2.0565421257912133e-05,0.00033715094574013343,3.3095404504675235e-06,0.011868548442357433,0.0
1.0,0.58,20.0,24.0,480.0,-0.00037212033585611547,1.4426369361603529e-05,0.00032998737001553195,2.1234921818640846e-06,0.011868548442357433,0.0
