count_window,window_count,complete_waiting_time_count,particles_with_complete_wait,complete_wait_particle_fraction,waiting_mean,waiting_cv2,waiting_lag1_correlation,log_waiting_lag1_correlation,shuffle_lag1_correlation_mean,shuffle_lag1_correlation_standard_deviation,actual_count_fano,sequence_shuffle_count_fano,particle_iid_count_fano,pooled_empirical_iid_count_fano,gamma_iid_count_fano,temporal_memory_excess_fraction,persistent_environment_excess_fraction,empirical_iid_relative_error,gamma_iid_relative_error,collective_covariance_ratio,replicate,temperature,event_definition,debye_waller_factor,thermodynamic_claim_allowed
20.0,37.0,31339.0,3275.0,0.9993896856881294,58.74376974376975,1.2740406486635112,-0.0022072327976965156,0.023127818025788588,-0.013744208819232181,0.004301593193765137,1.077117604568671,1.0752373408403895,1.1762681031998774,1.0575955615108548,1.1298468631905525,0.001748696456925547,0.11220975768798613,0.01812433756073817,0.04895404029998818,22.296431372549023,1.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055629000067710876,0.0
50.0,15.0,31339.0,3275.0,0.9993896856881294,58.74376974376975,1.2740406486635112,-0.0022072327976965156,0.023127818025788588,-0.014670997086691093,0.004685689260655187,1.205415821348904,1.194987117859188,1.505316193748936,1.1634843262433643,1.1819025534011238,0.008727042604776303,0.2938001482231152,0.034785917326534466,0.019506354181968444,39.53955900075364,1.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055629000067710876,0.0
100.0,7.0,31339.0,3275.0,0.9993896856881294,58.74376974376975,1.2740406486635112,-0.0022072327976965156,0.023127818025788588,-0.015003050723643632,0.004026330798596958,1.2892866400697125,1.2717756640167992,1.9426589619370644,1.2210689920400108,1.2181347354797636,0.013768918959815801,0.5909493850069114,0.05291115715432615,0.05518703318456919,59.995086271266736,1.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055629000067710876,0.0
200.0,3.0,31339.0,3275.0,0.9993896856881294,58.74376974376975,1.2740406486635112,-0.0022072327976965156,0.023127818025788588,-0.015261596955921958,0.0037469925386560896,1.3460944654123637,1.3226318559887096,2.775793892009023,1.247608465535067,1.2455909133041658,0.017739334885530145,1.2248918380163096,0.07316425585861563,0.07466307505945324,47.89714488869441,1.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055629000067710876,0.0
300.0,2.0,31339.0,3275.0,0.9993896856881294,58.74376974376975,1.2740406486635112,-0.0022072327976965156,0.023127818025788588,-0.015455404682026152,0.0047611356183316356,1.4162434082895625,1.3683590656452513,3.5820573054252627,1.255430086361079,1.258844465107979,0.03499398940418552,1.8532511243282515,0.11354921123530759,0.11113834123449062,162.3664640145304,1.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055629000067710876,0.0
20.0,37.0,31721.0,3274.0,0.9990845285321941,60.638819709340815,1.3374554010029354,-0.008075353333563413,0.026790543382659772,-0.02451245614965706,0.0041219309323686166,1.0696964739907933,1.064853999803987,1.076448279404386,1.0597233362769471,1.1578075871730134,0.004547547539566654,0.015782367486779414,0.009323334194641819,0.08237020063597811,21.37113278229469,2.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055856186896562576,0.0
50.0,15.0,31721.0,3274.0,0.9990845285321941,60.638819709340815,1.3374554010029354,-0.008075353333563413,0.026790543382659772,-0.023456471487447818,0.004954667586726859,1.1859220541402766,1.1677610500255207,1.2283821327876474,1.172816733734971,1.2207627836699189,0.01555198652529044,0.04737773383887678,0.011050743478083103,0.02937859989027669,26.355346634632127,2.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055856186896562576,0.0
100.0,7.0,31721.0,3274.0,0.9990845285321941,60.638819709340815,1.3374554010029354,-0.008075353333563413,0.026790543382659772,-0.02439337038868295,0.004048554691820662,1.2625026547790397,1.2529457876177772,1.3830025321713615,1.246336110452982,1.2651097993144917,0.007627518489393692,0.10965454709380751,0.012805156697977105,0.0020650606361760637,36.75370074591231,2.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055856186896562576,0.0
200.0,3.0,31721.0,3274.0,0.9990845285321941,60.638819709340815,1.3374554010029354,-0.008075353333563413,0.026790543382659772,-0.024682141172754857,0.0035499643814335914,1.3520769262080525,1.3352095434699986,1.6053790534450694,1.2970339615268816,1.299258967639624,0.01263276076818487,0.23773093154415226,0.04070993566582115,0.03906431471806737,26.555325435617046,2.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055856186896562576,0.0
300.0,2.0,31721.0,3274.0,0.9990845285321941,60.638819709340815,1.3374554010029354,-0.008075353333563413,0.026790543382659772,-0.023615250767104183,0.003785479653905288,1.3733799675550316,1.3738977436625235,1.8057811501885712,1.31586030357651,1.3128428573516806,-0.00037686655348279086,0.3723198011828883,0.041881828290332046,0.04407892326485763,16.109121279334044,2.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055856186896562576,0.0
20.0,37.0,32310.0,3276.0,0.9996948428440647,59.67096874032807,1.2814536146117057,-0.009176471025970013,0.031204382145604854,-0.02113927578574193,0.004578775237000904,1.0794187157856532,1.0652893915059078,1.0760003425730433,1.057231313195612,1.1313035100044195,0.01326336711170284,0.017753001772809585,0.020554954500573208,0.048067347230497104,20.670189685685816,3.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.05592551454901695,0.0
50.0,15.0,32310.0,3276.0,0.9996948428440647,59.67096874032807,1.2814536146117057,-0.009176471025970013,0.031204382145604854,-0.02040925610647827,0.003858842838635434,1.1749485837446336,1.1627443378121303,1.2202586280804253,1.1619512153740645,1.1845238251771493,0.010496069974821332,0.05018060305362293,0.011062074162552449,0.00814949825463751,22.90185672741039,3.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.05592551454901695,0.0
100.0,7.0,32310.0,3276.0,0.9996948428440647,59.67096874032807,1.2814536146117057,-0.009176471025970013,0.031204382145604854,-0.02053430649226775,0.004473672419982487,1.2555608220896364,1.236384565563551,1.3477617146696435,1.2205533410463145,1.220720675702689,0.015509944931530795,0.10422188801210441,0.02788194759458862,0.0277486727635885,25.736087810957198,3.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.05592551454901695,0.0
200.0,3.0,32310.0,3276.0,0.9996948428440647,59.67096874032807,1.2814536146117057,-0.009176471025970013,0.031204382145604854,-0.020028949133837667,0.004870128057452598,1.2541319311055408,1.2931747483677802,1.5427812861852503,1.255331461224817,1.2531848775815224,-0.03019144729783696,0.22898320789313353,0.0009564624658100485,0.0007551466480751889,41.72284784424412,3.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.05592551454901695,0.0
300.0,2.0,32310.0,3276.0,0.9996948428440647,59.67096874032807,1.2814536146117057,-0.009176471025970013,0.031204382145604854,-0.020273765155475618,0.004662821451534495,1.3253504209784135,1.3024749893999576,1.748204115161622,1.270210059761266,1.2627507694464004,0.01756304863020386,0.3763110296026111,0.041604363905842545,0.047232528500500415,87.062260687123,3.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.05592551454901695,0.0
20.0,37.0,31408.0,3276.0,0.9996948428440647,59.948102394294445,1.262625393782669,-0.005998185563041842,0.02458979016137312,-0.014222279121735746,0.004852191866123017,1.079093136190995,1.0716545860669529,1.078976354308761,1.061372312812643,1.1236138951904784,0.006941182560830761,0.0165861133587204,0.0164219591284801,0.04125756851408924,13.104052076272968,4.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055333156138658524,0.0
50.0,15.0,31408.0,3276.0,0.9996948428440647,59.948102394294445,1.262625393782669,-0.005998185563041842,0.02458979016137312,-0.013939181925369745,0.004083828009482601,1.18968991408164,1.180062193164817,1.2258171080919695,1.1608279525068068,1.1733476239578031,0.008158655512047419,0.05598517458579355,0.0242600708245162,0.013736596343637997,12.935199882524877,4.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055333156138658524,0.0
100.0,7.0,31408.0,3276.0,0.9996948428440647,59.948102394294445,1.262625393782669,-0.005998185563041842,0.02458979016137312,-0.01450430568679521,0.0049301661768030285,1.2645537894304848,1.2544875387881924,1.3606497207804709,1.2166033818364896,1.2098986189116379,0.008024193410494984,0.11840040977573163,0.03791883587300027,0.0432209139505737,12.412707862694406,4.0,0.58,rolling_position_variance_above_calibration_debye_waller_factor,0.055333156138658524,0.0
