record,model,feature_count,mean_heldout_brier_skill,mean_heldout_log_likelihood_gain_per_observation,minimum_group_log_likelihood_gain,maximum_heldout_survival_calibration_error,l2_regularization,thermodynamic_claim_allowed,parent_group,held_observation_count,held_event_count,held_brier_skill,held_log_likelihood_gain,held_log_likelihood_gain_per_observation,held_survival_calibration_error
censored_model,geometry,4,0.008357453921058,0.0064617896947432914,1.2946834014508113,0.06742767815935347,1.0,False,,,,,,,
held_parent,geometry,,,,,,,False,1,512,341,0.00942945411139684,2.511325489116871,0.004904932595931388,0.025328213168569702
held_parent,geometry,,,,,,,False,2,512,346,0.0039070256717465,1.2946834014508113,0.002528678518458616,0.04600572285107418
held_parent,geometry,,,,,,,False,3,512,364,-0.0005135370044990761,1.346880676287583,0.0026306263208741854,0.06555455507786934
held_parent,geometry,,,,,,,False,4,512,328,0.012170747177779218,5.233287017101475,0.010221263705276318,0.06742767815935347
held_parent,geometry,,,,,,,False,5,512,352,0.01679357964886652,6.156005034586087,0.012023447333175952,0.04987887581409711
censored_model,radial,14,0.008245690851927922,0.006551603080514656,0.6379093170062333,0.06436539978856415,1.0,False,,,,,,,
held_parent,radial,,,,,,,False,1,512,341,0.0002595635221809278,0.6379093170062333,0.0012459166347777995,0.023536233978687315
held_parent,radial,,,,,,,False,2,512,346,0.022569824562083785,4.838385475262612,0.00944997163137229,0.052000010930306484
held_parent,radial,,,,,,,False,3,512,364,0.013479234688840713,3.4777924116647227,0.006792563304032662,0.06436539978856415
held_parent,radial,,,,,,,False,4,512,328,0.002900643822583482,5.405058256618304,0.010556754407457625,0.05425835640506227
held_parent,radial,,,,,,,False,5,512,352,0.0020191876639507056,2.412958425565648,0.004712809424932907,0.060922817167780474
censored_model,geometry_radial,18,0.007976460582519707,0.00658926542632825,1.197559860265983,0.060997073186634054,1.0,False,,,,,,,
held_parent,geometry_radial,,,,,,,False,1,512,341,0.008321985627020911,2.4565621948827356,0.004797973036880343,0.023688758639782592
held_parent,geometry_radial,,,,,,,False,2,512,346,0.01591492287176599,3.2283604581668897,0.006305391519857206,0.04740723584979045
held_parent,geometry_radial,,,,,,,False,3,512,364,0.005023644397045501,1.197559860265983,0.002338984102081998,0.06016773580738227
held_parent,geometry_radial,,,,,,,False,4,512,328,0.0012001202353153495,5.843844709989526,0.011413759199198292,0.05316452672944094
held_parent,geometry_radial,,,,,,,False,5,512,352,0.00942162978145078,4.142192268095187,0.008090219273623411,0.060997073186634054
