temperature,inverse_temperature_shift,plateau,critical_exponent,von_schweidler_exponent,lambda_from_a,lambda_from_b,lambda_relative_mismatch,beta_time,critical_entry_time,von_schweidler_exit_time,alpha_time,alpha_beta_separation
1.0,0.0,0.68,0.32,0.6,0.716312910468668,0.7246032624007417,0.011507056535515868,4.0,4.0,97.62810191412552,30.0,7.5
0.82,0.2195121951219512,0.7107317073170732,0.32,0.6,0.716312910468668,0.7246032624007417,0.011507056535515868,6.774215924806399,6.774215924806399,177.9789006942364,89.90543154398473,13.271710341378606
0.68,0.47058823529411753,0.7458823529411766,0.32,0.6,0.716312910468668,0.7246032624007417,0.011507056535515868,12.375344244754327,12.375344244754327,352.3772339364384,315.49365098967394,25.493727265276334
0.58,0.7241379310344829,0.7813793103448277,0.32,0.6,0.716312910468668,0.7246032624007417,0.011507056535515868,22.742272005046132,22.742272005046132,699.740528868173,1120.8998025058668,49.2870634146473
0.52,0.9230769230769229,0.8092307692307693,0.32,0.6,0.716312910468668,0.7246032624007417,0.011507056535515868,36.659733632815126,36.659733632815126,1195.7579701158993,3030.8003242639516,82.673822854812
