replicate,temperature,lag,observed_msd,event_msd,residual_msd,factorized_msd,msd_relative_error,observed_ngp,event_ngp,residual_ngp,factorized_ngp,ngp_absolute_error,oracle_uses_heldout_events_and_residual,prediction_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,event_fs_k2,residual_fs_k2,factorized_fs_k2,absolute_error_fs_k2,observed_fs_k4,event_fs_k4,residual_fs_k4,factorized_fs_k4,absolute_error_fs_k4,observed_fs_k7p25,event_fs_k7p25,residual_fs_k7p25,factorized_fs_k7p25,absolute_error_fs_k7p25
1.0,0.45,20.0,0.03947911464774425,0.005284818906563643,0.03695465925390457,0.04223947816046821,0.06991959007575366,0.6756992746897912,33.92590374836523,0.34156340486072856,0.7925137802527487,0.11681450556295747,1.0,0.0,0.0,0.9742430236839429,0.9966798679765352,0.975764052866889,0.9725243873876199,0.0017186362963229618,0.9029893073989769,0.9886563351252464,0.9075548048505367,0.8972598072888399,0.005729500110136954,0.7269914476761401,0.9737329230650207,0.7340031429197741,0.7147230258941838,0.012268421781956307
1.0,0.45,50.0,0.046740404950100164,0.010921481830266217,0.03969867276891548,0.05062015459918169,0.08300633366834398,1.1449787442407242,19.785599524699506,0.3328769778750955,1.1257457159708553,0.019233028269868946,1.0,0.0,0.0,0.9698278936644913,0.9932298555793581,0.9739929303002899,0.9673988574974727,0.0024290361670186167,0.8891576848490441,0.9775875859797288,0.9011245235622019,0.8809281476563062,0.00822953719273789,0.7007954515331541,0.9504340688090726,0.7181743052479564,0.6825773270509441,0.018218124482210052
1.0,0.45,100.0,0.056769382318739736,0.019179876531158508,0.042379153245849864,0.061559029777008376,0.08437025844981871,1.5840639707525819,13.299378125094371,0.31742843120901676,1.4414803774684222,0.1425835932841597,1.0,0.0,0.0,0.9638710966931753,0.9882835930228309,0.9722639373820399,0.960872497402447,0.002998599290728321,0.8714938950859339,0.9624993821088831,0.8948526448116227,0.8612951177096867,0.010198777376247192,0.6699459287275783,0.9207519743757421,0.7027162997579913,0.6470274204281863,0.022918508299392015
1.0,0.45,200.0,0.07448854746335726,0.03473698599645584,0.045052884686478264,0.07978987068293411,0.07116964151012217,1.9592846571072067,8.734499845122313,0.2890296944965578,1.7476401785812699,0.21164447852593682,1.0,0.0,0.0,0.9536589339383016,0.9792004242766534,0.9705362696199824,0.9503495269877673,0.003309406950534277,0.8431564085412696,0.9362465361262363,0.8885532496487213,0.8319049021473263,0.011251506393943345,0.6248384335077412,0.8726313747163758,0.6869946391799707,0.5994930764103984,0.025345357097342758
1.0,0.45,500.0,0.12229586334266093,0.07940607905792317,0.04820852601612072,0.12761460507404387,0.043490773816939,2.1210834173827444,4.993201106808151,0.25960510412850835,1.970287731137029,0.15079568624571538,1.0,0.0,0.0,0.9275676054133354,0.9544181522680754,0.9684989797410573,0.924353006717976,0.0032145986953593386,0.7780665070466294,0.8711061067539189,0.8811432030778651,0.7675692251258368,0.010497281920792578,0.5350998046113176,0.7655095542547495,0.6685463317338018,0.5117786044041905,0.023321200207127024
1.0,0.45,1000.0,0.20395977737411258,0.15758688898223536,0.04982056638449514,0.2074074553667305,0.016903715217800208,1.9308009216115618,3.2096594274202968,0.23759139864691847,1.8666020056743293,0.06419891593723248,1.0,0.0,0.0,0.8866071054484336,0.9143660021839828,0.9674561888598501,0.8846090476959333,0.001998057752500282,0.6891332935645924,0.778473662632674,0.8773252187857129,0.682974576388126,0.006158717176466433,0.43021948425940587,0.6318328060970394,0.6588463044274262,0.41628070931304495,0.013938774946360921
1.0,0.45,2000.0,0.36276848451368504,0.31355181214282013,0.04996548733290996,0.3635172994757301,0.0020641676275954257,1.5326070064337212,2.0388560509673006,0.23045068638332666,1.5212470777811617,0.011359928652559415,1.0,0.0,0.0,0.8160611517429514,0.8430641776007208,0.9673603585468328,0.8155468651218241,0.0005142866211272912,0.565687360435783,0.6424192101687867,0.8769484279453369,0.5633685164394024,0.002318843996380604,0.31308419070470495,0.4656358326975298,0.6576724322531989,0.30623585063442804,0.006848340070276904
1.0,0.45,3000.0,0.5196142732111305,0.4690647236647811,0.049276072815403,0.518340796480184,0.0024508116820514125,1.315020736139025,1.60984064226728,0.21712691144545038,1.3202725661976222,0.0052518300585973066,1.0,0.0,0.0,0.7550087095665193,0.78072729490416,0.9677942260154488,0.7555833681009066,0.0005746585343873178,0.475522175516467,0.5416575680429142,0.8784160627213392,0.4758007082634726,0.0002785327470055665,0.23674788232110086,0.35844470494334324,0.6606565771896545,0.23680885187962478,6.096955852391561e-05
1.0,0.45,4096.0,0.673140792961732,0.6205206652524773,0.04789926123702119,0.6684199264894984,0.007013193260004935,1.0669612790936265,1.2507157101843775,0.21741770469227206,1.0790012365318327,0.012039957438206184,1.0,0.0,0.0,0.6964200531223924,0.7211333827328111,0.9686762502176575,0.6985447810923943,0.0021247279700018495,0.3891397046380084,0.44585326045234397,0.8815550036537159,0.39304417264708724,0.003904468009078843,0.17285011433071704,0.26413103504931384,0.6680210042679013,0.17644507929196288,0.003594964961245839
2.0,0.45,20.0,0.03919965227799068,0.005269036678073346,0.03683654901958961,0.042105585697662956,0.07413161216493402,0.6465862721275977,33.33325210981071,0.3357411349600148,0.7789585653330442,0.13237229320544652,1.0,0.0,0.0,0.9744130402075166,0.9966849721768654,0.975838577536158,0.9726036455007375,0.0018093947067790994,0.9035150246568135,0.9886292101854272,0.9078164851934696,0.8974938947501303,0.0060211299066832424,0.7280006539739433,0.9735652547911418,0.7346914087808126,0.7152700285825547,0.012730625391388584
2.0,0.45,50.0,0.04658286180787154,0.010979266180827726,0.039728684375672084,0.050707950556499806,0.08855378541666181,1.133626862789165,19.585488098015936,0.3358334747908309,1.1243308149224007,0.009296047866764301,1.0,0.0,0.0,0.9699228928655721,0.9931922340892332,0.9739746633633294,0.9673440718521339,0.002578821013438204,0.8894226902294129,0.9774073453787115,0.9010684768331253,0.880710947945904,0.008711742283508905,0.7012340454454327,0.9498526197685621,0.7181190297318407,0.6821072416964468,0.0191268037489859
2.0,0.45,100.0,0.05695983612076191,0.019622098489126175,0.04244043650330691,0.06206253499243308,0.08958415647216444,1.583560080712553,13.113594877936594,0.31887359311400565,1.4599662219671292,0.12359385874542372,1.0,0.0,0.0,0.9637635169807306,0.9880203813691885,0.9722241362254533,0.9605772618498022,0.003186255130928406,0.8710864013877113,0.9615800917384376,0.8947057237565307,0.86033121192871,0.010755189459001335,0.6690934478798144,0.9187849560292776,0.7023399434853312,0.6452993740927754,0.023794073787039016
2.0,0.45,200.0,0.07589916912451583,0.036145545658235655,0.045371233213393765,0.08151677887162942,0.07401411388176937,2.0002300543790277,8.692263228953335,0.3001108706066806,1.8019963096183869,0.19823374476064082,1.0,0.0,0.0,0.9528638130621485,0.9784031441044149,0.9703360775796399,0.9493798691418651,0.0034839439202833944,0.8408156615714694,0.9337783070503745,0.887869459919627,0.8290732411654795,0.011742420405989829,0.6213080629432084,0.8681934201730378,0.685482323143427,0.5951312425980514,0.026176820345157004
2.0,0.45,500.0,0.1278353381237614,0.0847177197841406,0.048262207836722075,0.13297992762086266,0.04024387600962598,2.176281632243041,4.9398318227089,0.2640392926723929,2.0396590074154433,0.13662262482759768,1.0,0.0,0.0,0.9246376849764733,0.9515150967501782,0.9684664381051531,0.9215104365529252,0.003127248423548057,0.7714406578937799,0.863790978334513,0.8810413003944702,0.761035526820851,0.010405131072928953,0.5282859518751536,0.7555632349930697,0.6683229506476959,0.5049602506114867,0.023325701263666843
2.0,0.45,1000.0,0.21026021438748743,0.16455746616480496,0.04951297458650354,0.2140704407513085,0.018121480447076843,1.8521898621792126,3.0040244532852673,0.24802014190553745,1.7883780625880412,0.06381179959117134,1.0,0.0,0.0,0.8826726839691712,0.9098714093792984,0.9676591451517191,0.8804453901979619,0.0022272937712093377,0.6817708971165836,0.7683920038003479,0.878089286245442,0.6747167861737524,0.007054110942831149,0.4296021829467438,0.627124989932997,0.6607219925193357,0.41435527290719815,0.015246910039545647
