model,lag_count,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_ensemble_msd_mc_relative_se,maximum_ensemble_ngp_mc_se,maximum_ensemble_fs_mc_se,msd_relative_error_tolerance,ngp_absolute_error_tolerance,fs_absolute_error_tolerance,shuffle_msd_mc_relative_se_tolerance,shuffle_ngp_mc_se_tolerance,shuffle_fs_mc_se_tolerance,raw_curve_tolerance_pass,shuffle_precision_pass,curve_transfer_pass,paired_contiguous_better_replicate_count,paired_replicate_count,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,temperature,independent_replicate_count,shuffle_realizations,shuffle_base_seed
contiguous_empirical_path,5.0,0.0871780313891174,0.025608198821978845,0.029346815879894572,0.0,0.0,0.0,0.1,0.3,0.03,0.01,0.03,0.003,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,5.0,64.0,45101.0
direction_randomized_path,5.0,0.3465590669520666,0.10488241517268052,0.10513571502758473,0.0,0.0,0.0,0.1,0.3,0.03,0.01,0.03,0.003,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,5.0,64.0,45101.0
within_particle_time_shuffle,5.0,0.22963818379317602,0.14552850776832246,0.09454108991527502,0.0005017545903433115,0.0004534595657737882,0.00021318077477686546,0.1,0.3,0.03,0.01,0.03,0.003,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,5.0,64.0,45101.0
