replicate,temperature,calibration_time,heldout_time,heldout_diffusion_lag,threshold,half_window,calibration_event_count,calibration_exchange_interval_count,observed_diffusion,uncorrelated_event_diffusion,correlated_event_diffusion,uncorrelated_coverage,correlated_coverage,macro_fit_parameter_count,independence_class,thermodynamic_claim_allowed
1.0,0.45,5000.0,5000.0,4096.0,0.25,5.0,1886.0,639.0,2.946573173782478e-05,6.229277942005596e-06,8.684511939284449e-06,0.21140754274936782,0.2947326072386742,0.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,0.45,5000.0,5000.0,4096.0,0.25,5.0,1841.0,562.0,2.2619579491826396e-05,6.185438132846422e-06,7.89666149012892e-06,0.2734550452222834,0.3491073515748772,0.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
3.0,0.45,5000.0,5000.0,4096.0,0.25,5.0,1724.0,519.0,3.361234848853201e-05,5.7915860342798975e-06,6.579390191310499e-06,0.17230530726693774,0.1957432457763337,0.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
