record,member_index,epsilon,stride,frame_time_tau,interval_count,maximum_jacobian_gram_condition_number,trace_variance_ratio,mean_squared_mahalanobis,summed_mean_squared_mahalanobis,observed_predicted_energy_correlation,whitened_max_abs_component_excess_kurtosis,whitened_lag1_correlation,minimum_covariance_eigenvalue,valid_sample_count,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,cross_epsilon_covariance_relative_l2,cross_epsilon_covariance_correlation
member,1,0.001,5,0.005,40,1.9308966734497837,1.0123058984569584,2.7563699646638455,7.906518813691856,0.5269988259718965,1.1244264292873853,0.08606569019914362,0.00020254067707321192,40.0,False,False,,
member,1,0.002,5,0.005,40,1.931869151074467,1.012277232044176,2.7567620366727716,7.898066090286867,0.5276094622766967,1.1237910573165306,0.08586934395436056,0.00020246775404604214,40.0,False,False,,
member,2,0.001,5,0.005,40,1.9212424898828429,1.0945320178955709,3.305787663947058,6.524847573878869,0.7351768033892834,1.3480038668865655,0.12295391006352528,0.00016784645646880384,40.0,False,False,,
member,2,0.002,5,0.005,40,1.9216030414535161,1.0946238125282066,3.304331225670353,6.5197047821685326,0.7358352614860486,1.353819621148576,0.12346473673100955,0.00016786145202033332,40.0,False,False,,
member,3,0.001,5,0.005,40,1.8658596603276272,0.702477383249055,2.7645889334251788,0.7703056232806037,0.8056587676229612,1.6501383931631022,0.10621016636950714,0.00012458906519410837,40.0,False,False,,
member,3,0.002,5,0.005,40,1.866049127036118,0.7027515084204342,2.7610868644546205,0.770389342927045,0.806164755962713,1.585054867478723,0.1071791449809281,0.00012459559249932418,40.0,False,False,,
member,4,0.001,5,0.005,40,1.735606303890324,0.8733624898846509,2.950188664445825,3.049435581605637,0.7505201214674927,0.7788160496643113,0.05926868111742478,0.00016054427655981591,40.0,False,False,,
member,4,0.002,5,0.005,40,1.7365686273694871,0.8726132238522618,2.942056220851987,3.0535768805304433,0.7512870070921589,0.7838417145988932,0.06039173716624524,0.00016042820035716757,40.0,False,False,,
member,5,0.001,5,0.005,40,1.9482142125858077,0.6599582783618629,2.2707031913809175,5.967314627922861,0.5806380479426405,0.7075682372424157,0.0850211297453308,0.00012319563343783462,40.0,False,False,,
member,5,0.002,5,0.005,40,1.9487840028861347,0.6607151981664484,2.27162611732584,5.9680827026293475,0.5803004033562794,0.7154327570904022,0.08668573774693836,0.0001231811546852232,40.0,False,False,,
member,6,0.001,5,0.005,40,1.9124173345941986,0.7320504879235133,2.3715334191642636,0.8675299787498731,0.5977305929184645,0.8007870082104738,-0.030535482050127183,8.395100180001373e-05,40.0,False,False,,
member,6,0.002,5,0.005,40,1.9129032829937505,0.7328479813432953,2.3788374052349943,0.8665526959463924,0.5980277510261555,0.7977469174068013,-0.03184885470603086,8.397797463660149e-05,40.0,False,False,,
member,7,0.001,5,0.005,40,1.697414790710284,0.7617079438039824,2.8551170689446552,3.1806195513311826,0.5955597942748814,0.8965989051597423,-0.09932807648639559,4.606907060939914e-05,40.0,False,False,,
member,7,0.002,5,0.005,40,1.6976738850283017,0.7617028596195207,2.8524685171802298,3.173807351481829,0.5941784959267898,0.9059643024423591,-0.10020725876325508,4.6059401146129125e-05,40.0,False,False,,
member,8,0.001,5,0.005,40,2.028386521373365,0.8864786627885051,2.769551875238436,3.0504013911446193,0.7940481964785266,0.9908696639234078,-0.05729206064721104,0.00029788257339644563,40.0,False,False,,
member,8,0.002,5,0.005,40,2.028639046388585,0.8856291195954101,2.768152221128441,3.0404783749915274,0.7941822966257378,0.9807895679120788,-0.05799066679979385,0.0002978998951463104,40.0,False,False,,
aggregate,all,0.001,5,0.005,320,,0.8456987595199043,2.7554800976512723,7.0525808775779675,0.6197493429888667,0.40568196958781266,0.040406566586747614,4.606907060939914e-05,320.0,False,False,,
aggregate,all,0.002,5,0.005,320,,0.8457440309561813,2.7544150760649044,7.041919797577635,0.6200415524533766,0.40693121269563504,0.040502623310850104,4.6059401146129125e-05,320.0,False,False,,
cross_epsilon,1,both,5,0.005,40,,,,,,,,,,False,False,7.984480918995292e-05,0.9999999963004509
cross_epsilon,2,both,5,0.005,40,,,,,,,,,,False,False,7.535596729387164e-05,0.9999999967339929
cross_epsilon,3,both,5,0.005,40,,,,,,,,,,False,False,7.266541237723747e-05,0.9999999975168236
cross_epsilon,4,both,5,0.005,40,,,,,,,,,,False,False,7.711017054432099e-05,0.9999999968974949
cross_epsilon,5,both,5,0.005,40,,,,,,,,,,False,False,5.9811576426761514e-05,0.9999999981030787
cross_epsilon,6,both,5,0.005,40,,,,,,,,,,False,False,6.789814514948775e-05,0.9999999975016887
cross_epsilon,7,both,5,0.005,40,,,,,,,,,,False,False,6.896058040810042e-05,0.9999999974913535
cross_epsilon,8,both,5,0.005,40,,,,,,,,,,False,False,6.415960064496295e-05,0.9999999977489694
