replicate,temperature,lag,calibration_msd,log_msd_slope,selected_debye_waller_lag,selected_debye_waller_factor,thermodynamic_claim_allowed
1.0,0.58,1.0,0.04602324590086937,0.2734744366432627,2.0,0.055629000067710876,0.0
1.0,0.58,2.0,0.055629000067710876,0.2788405979359343,2.0,0.055629000067710876,0.0
1.0,0.58,3.0,0.06236707791686058,0.29990935419156095,2.0,0.055629000067710876,0.0
1.0,0.58,4.0,0.06823623925447464,0.3733418618631674,2.0,0.055629000067710876,0.0
1.0,0.58,5.0,0.07494786381721497,0.4213638600969647,2.0,0.055629000067710876,0.0
1.0,0.58,6.0,0.08094380050897598,0.47573480480510355,2.0,0.055629000067710876,0.0
1.0,0.58,7.0,0.08771361410617828,0.5008404159920072,2.0,0.055629000067710876,0.0
1.0,0.58,8.0,0.09356122463941574,0.485379554591983,2.0,0.055629000067710876,0.0
1.0,0.58,9.0,0.09908708184957504,0.5117299965912228,2.0,0.055629000067710876,0.0
1.0,0.58,10.0,0.10481823980808258,0.5414171994193531,2.0,0.055629000067710876,0.0
1.0,0.58,12.0,0.1159757524728775,0.5607129785838225,2.0,0.055629000067710876,0.0
1.0,0.58,13.0,0.12132460623979568,0.5896479933861016,2.0,0.055629000067710876,0.0
1.0,0.58,15.0,0.13289882242679596,0.6440954179800844,2.0,0.055629000067710876,0.0
1.0,0.58,17.0,0.14417243003845215,0.6457577067227209,2.0,0.055629000067710876,0.0
1.0,0.58,19.0,0.1548355370759964,0.6567113666219973,2.0,0.055629000067710876,0.0
1.0,0.58,22.0,0.1709848791360855,0.7102267125250039,2.0,0.055629000067710876,0.0
1.0,0.58,25.0,0.18793554604053497,0.7280016311661974,2.0,0.055629000067710876,0.0
1.0,0.58,28.0,0.2038642317056656,0.7440596532623163,2.0,0.055629000067710876,0.0
1.0,0.58,32.0,0.22608934342861176,0.7611250751676524,2.0,0.055629000067710876,0.0
1.0,0.58,36.0,0.24693985283374786,0.775388213330074,2.0,0.055629000067710876,0.0
1.0,0.58,41.0,0.2741791903972626,0.8151921643604085,2.0,0.055629000067710876,0.0
1.0,0.58,47.0,0.3069363534450531,0.8262421845069996,2.0,0.055629000067710876,0.0
1.0,0.58,53.0,0.3389653265476227,0.8449696537363853,2.0,0.055629000067710876,0.0
1.0,0.58,60.0,0.37733331322669983,0.8659102035673731,2.0,0.055629000067710876,0.0
1.0,0.58,68.0,0.420607328414917,0.8750843112146218,2.0,0.055629000067710876,0.0
1.0,0.58,77.0,0.46938109397888184,0.8991473105540422,2.0,0.055629000067710876,0.0
1.0,0.58,88.0,0.5305113792419434,0.9169995026929967,2.0,0.055629000067710876,0.0
1.0,0.58,99.0,0.591029167175293,0.9295690380339321,2.0,0.055629000067710876,0.0
1.0,0.58,113.0,0.6695883870124817,0.9346372048802127,2.0,0.055629000067710876,0.0
1.0,0.58,128.0,0.7515329122543335,0.9262641438351624,2.0,0.055629000067710876,0.0
2.0,0.58,1.0,0.04585327208042145,0.2846924013880979,2.0,0.055856186896562576,0.0
2.0,0.58,2.0,0.055856186896562576,0.28396461353603897,2.0,0.055856186896562576,0.0
2.0,0.58,3.0,0.06266138702630997,0.3090382432630978,2.0,0.055856186896562576,0.0
2.0,0.58,4.0,0.06884481757879257,0.3629542753176844,2.0,0.055856186896562576,0.0
2.0,0.58,5.0,0.07511696219444275,0.4464195838487788,2.0,0.055856186896562576,0.0
2.0,0.58,6.0,0.08216525614261627,0.4581780366726971,2.0,0.055856186896562576,0.0
2.0,0.58,7.0,0.08779147267341614,0.45194279176734753,2.0,0.055856186896562576,0.0
2.0,0.58,8.0,0.09349339455366135,0.4789065342255583,2.0,0.055856186896562576,0.0
2.0,0.58,9.0,0.09899739176034927,0.513134234616512,2.0,0.055856186896562576,0.0
2.0,0.58,10.0,0.10476783663034439,0.5421891098422327,2.0,0.055856186896562576,0.0
2.0,0.58,12.0,0.11581718921661377,0.6011382351184587,2.0,0.055856186896562576,0.0
2.0,0.58,13.0,0.12174501270055771,0.6134076659864194,2.0,0.055856186896562576,0.0
2.0,0.58,15.0,0.1325681209564209,0.6224163290755076,2.0,0.055856186896562576,0.0
2.0,0.58,17.0,0.1437368392944336,0.6601177204430417,2.0,0.055856186896562576,0.0
2.0,0.58,19.0,0.1548994481563568,0.6835330291349591,2.0,0.055856186896562576,0.0
2.0,0.58,22.0,0.17159360647201538,0.6818451164333261,2.0,0.055856186896562576,0.0
2.0,0.58,25.0,0.1868811547756195,0.6992429596594869,2.0,0.055856186896562576,0.0
2.0,0.58,28.0,0.20293676853179932,0.7409406903953899,2.0,0.055856186896562576,0.0
2.0,0.58,32.0,0.22452403604984283,0.7544087867374021,2.0,0.055856186896562576,0.0
2.0,0.58,36.0,0.245320662856102,0.7648398710279052,2.0,0.055856186896562576,0.0
2.0,0.58,41.0,0.271474152803421,0.7990170589807999,2.0,0.055856186896562576,0.0
2.0,0.58,47.0,0.30365002155303955,0.8166512317724761,2.0,0.055856186896562576,0.0
2.0,0.58,53.0,0.3348306119441986,0.8259418096052569,2.0,0.055856186896562576,0.0
2.0,0.58,60.0,0.37154364585876465,0.8424500674881497,2.0,0.055856186896562576,0.0
2.0,0.58,68.0,0.41305676102638245,0.8487439407149897,2.0,0.055856186896562576,0.0
2.0,0.58,77.0,0.45915618538856506,0.8674569083977435,2.0,0.055856186896562576,0.0
2.0,0.58,88.0,0.5167460441589355,0.888687492695841,2.0,0.055856186896562576,0.0
2.0,0.58,99.0,0.573993444442749,0.886971301813209,2.0,0.055856186896562576,0.0
2.0,0.58,113.0,0.6449571847915649,0.9029578854735536,2.0,0.055856186896562576,0.0
2.0,0.58,128.0,0.7236271500587463,0.9233799851433702,2.0,0.055856186896562576,0.0
3.0,0.58,1.0,0.04565953463315964,0.2925904694882027,2.0,0.05592551454901695,0.0
3.0,0.58,2.0,0.05592551454901695,0.29312259403220686,2.0,0.05592551454901695,0.0
3.0,0.58,3.0,0.06299138069152832,0.3221322292494193,2.0,0.05592551454901695,0.0
3.0,0.58,4.0,0.06951393932104111,0.36501782090530366,2.0,0.05592551454901695,0.0
3.0,0.58,5.0,0.07570749521255493,0.4346335710982281,2.0,0.05592551454901695,0.0
3.0,0.58,6.0,0.08258996158838272,0.4861750121079229,2.0,0.05592551454901695,0.0
3.0,0.58,7.0,0.08912117779254913,0.4827608709113562,2.0,0.05592551454901695,0.0
3.0,0.58,8.0,0.09493494778871536,0.5015624235660407,2.0,0.05592551454901695,0.0
3.0,0.58,9.0,0.1010088324546814,0.5152560251232803,2.0,0.05592551454901695,0.0
3.0,0.58,10.0,0.10653070360422134,0.5253975244650784,2.0,0.05592551454901695,0.0
3.0,0.58,12.0,0.1179906502366066,0.5613174142177897,2.0,0.05592551454901695,0.0
3.0,0.58,13.0,0.12341678887605667,0.603604683214729,2.0,0.05592551454901695,0.0
3.0,0.58,15.0,0.13600049912929535,0.6608130062695068,2.0,0.05592551454901695,0.0
3.0,0.58,17.0,0.1474418193101883,0.6324541955988199,2.0,0.05592551454901695,0.0
3.0,0.58,19.0,0.15798550844192505,0.6564385489909759,2.0,0.05592551454901695,0.0
3.0,0.58,22.0,0.17514075338840485,0.7211355004680007,2.0,0.05592551454901695,0.0
3.0,0.58,25.0,0.1924387812614441,0.7169692445792091,2.0,0.05592551454901695,0.0
3.0,0.58,28.0,0.20831231772899628,0.736159306239828,2.0,0.05592551454901695,0.0
3.0,0.58,32.0,0.2311633825302124,0.7646088908198108,2.0,0.05592551454901695,0.0
3.0,0.58,36.0,0.2525569498538971,0.7841687837380027,2.0,0.05592551454901695,0.0
3.0,0.58,41.0,0.28098857402801514,0.8102428997306879,2.0,0.05592551454901695,0.0
3.0,0.58,47.0,0.3134177029132843,0.8031409047143132,2.0,0.05592551454901695,0.0
