record,protocol,basis,memory_order,held_clone_index,training_clone_count,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,resolved_variables,generator_definition,thermodynamic_claim_allowed,held_bias_correlation,maximum_noise_initial_state_correlation,gfd_operator_normalized_rmse,gfd_operator_shape_correlation,gfd_operator_maximum_absolute_error,held_target_correlation_extrapolation_rmse,held_target_correlation_extrapolation_maximum_error,lag_minus_correlation_condition_number
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,40.0,4.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.06785449364241206,0.1909278244063635,0.9927519504127169,0.0033673169170668196,0.05808347933621544,0.19609488648564927,1.149749172992636
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,1.0,1.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.018790309411107715,0.07234481489459582,0.9995395435553007,0.003972019278992871,0.06868626253459151,0.24936789419254876,4.014362092671644
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,1.0,2.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.027781070381492134,0.07833999686384192,0.9991497076163921,0.0045825270055954645,0.06857461680431619,0.2488408766892411,3.9318952561827785
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,1.0,3.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.01537282011851797,0.021979274160779386,0.9998463844462616,0.0014572086276215604,0.056254734837088614,0.25241383703442316,4.124605650444728
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,1.0,4.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.0311402441516283,0.07933144269015696,0.9986923353407451,0.004968673613545242,0.0649100869881175,0.27428392760703857,3.9137276227358337
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,4.0,1.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.036916174038372516,0.07126584060231198,0.9995520630299164,0.003975492432278585,0.06850513456993747,0.24367625001272025,4.014362092671644
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,4.0,2.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.04845147561909753,0.07860431684599127,0.9992059077787872,0.004582339079688469,0.06864199798559516,0.25451544385810554,3.9318952561827785
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,4.0,3.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.015599221016929852,0.021989714933565767,0.9998400328213863,0.001511909702271004,0.053963698953887335,0.1967291426701444,4.124605650444728
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,4.0,4.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.04993092293041687,0.07634749782085912,0.9986873731237925,0.004975303979206307,0.06369187329911177,0.2580246388752138,3.9137276227358337
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,16.0,1.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.039334716869258664,0.07370946302779757,0.9994910119554035,0.003976514988723326,0.06457690337969908,0.1997524917121754,4.014362092671644
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,16.0,2.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.047086230031213185,0.0804109399867614,0.9991944656118806,0.004550008595211215,0.0645407052227833,0.2272166377938092,3.9318952561827785
