replicate,temperature,lag,predicted_msd,observed_msd,msd_relative_error,msd_log_error,predicted_ngp,observed_ngp,ngp_absolute_error,ngp_signed_error,calibration_only_microchannel_input,heldout_events_used_in_prediction,macro_fit_parameter_count,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,signed_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,signed_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,signed_error_fs_k7p25
1.0,0.45,20.0,0.04223947816046821,0.039439034265083064,0.07100690844918822,0.068599241910903,0.7925137802527487,0.6894572448102572,0.10305653544249149,0.10305653544249149,1.0,0.0,0.0,0.0,0.9725243873876199,0.9742726065504118,0.0017482191627918864,-0.0017482191627918864,0.8972598072888399,0.9031194881740169,0.0058596808851769655,-0.0058596808851769655,0.7147230258941838,0.7273620752980499,0.012639049403866065,-0.012639049403866065
1.0,0.45,50.0,0.05062015459918169,0.047091920203606114,0.07492228773685472,0.07224836848919919,1.1257457159708553,1.1419796763703234,0.016233960399468117,-0.016233960399468117,1.0,0.0,0.0,0.0,0.9673988574974727,0.9696073952007812,0.002208537703308533,-0.002208537703308533,0.8809281476563062,0.8884326746989446,0.007504527042638376,-0.007504527042638376,0.6825773270509441,0.6994078256700247,0.01683049861908059,-0.01683049861908059
1.0,0.45,100.0,0.061559029777008376,0.0570676716703697,0.07870231910951864,0.07575876230842005,1.4414803774684222,1.6297339342658397,0.1882535567974175,-0.1882535567974175,1.0,0.0,0.0,0.0,0.960872497402447,0.9637263303218477,0.0028538329194007783,-0.0028538329194007783,0.8612951177096867,0.8712844740845151,0.00998935637482845,-0.00998935637482845,0.6470274204281863,0.6701586799370863,0.02313125950890005,-0.02313125950890005
1.0,0.45,200.0,0.07978987068293411,0.07543971565197483,0.05766399029163627,0.0560626934774651,1.7476401785812699,2.0528096750212144,0.3051694964399445,-0.3051694964399445,1.0,0.0,0.0,0.0,0.9503495269877673,0.9531991465279716,0.00284961954020424,-0.00284961954020424,0.8319049021473263,0.8424536039827798,0.010548701835453533,-0.010548701835453533,0.5994930764103984,0.6251232912663965,0.025630214855998146,-0.025630214855998146
1.0,0.45,500.0,0.12761460507404387,0.12726889615088294,0.0027163661634268532,0.0027126835083123497,1.970287731137029,2.240207131422164,0.26991940028513506,-0.26991940028513506,1.0,0.0,0.0,0.0,0.924353006717976,0.9252086699236458,0.0008556632056697655,-0.0008556632056697655,0.7675692251258368,0.7741688168233672,0.006599591697530438,-0.006599591697530438,0.5117786044041905,0.533395281820343,0.021616677416152474,-0.021616677416152474
1.0,0.45,1000.0,0.2074074553667305,0.21371648432894896,0.02952055374684015,-0.029965055110312826,1.8666020056743293,2.035011317785304,0.16840931211097487,-0.16840931211097487,1.0,0.0,0.0,0.0,0.8846090476959333,0.8825336715723144,0.002075376123618855,0.002075376123618855,0.682974576388126,0.6840225543370759,0.0010479779489499519,-0.0010479779489499519,0.41628070931304495,0.43196745142274323,0.015686742109698282,-0.015686742109698282
1.0,0.45,2000.0,0.3635172994757301,0.38494087781746295,0.055654204518886696,-0.0572628711389494,1.5212470777811617,1.5320813966552245,0.01083431887406272,-0.01083431887406272,1.0,0.0,0.0,0.0,0.8155468651218241,0.8061233874084176,0.009423477713406458,0.009423477713406458,0.5633685164394024,0.5436221107653332,0.019746405674069267,0.019746405674069267,0.30623585063442804,0.29754222992878293,0.008693620705645111,0.008693620705645111
1.0,0.45,3000.0,0.518340796480184,0.5507382500974113,0.0588255012458222,-0.0606267168923156,1.3202725661976222,1.3301724324025965,0.009899866204974295,-0.009899866204974295,1.0,0.0,0.0,0.0,0.7555833681009066,0.7425593344166428,0.013024033684263858,0.013024033684263858,0.4758007082634726,0.44897180267658227,0.026828905586890328,0.026828905586890328,0.23680885187962478,0.22221602781950803,0.01459282406011675,0.01459282406011675
1.0,0.45,4096.0,0.6684199264894984,0.7241497850640457,0.07695902108100239,-0.08008164793611787,1.0790012365318327,1.1558463559449477,0.076845119413115,-0.076845119413115,1.0,0.0,0.0,0.0,0.6985447810923943,0.6826407927767129,0.015903988315681405,0.015903988315681405,0.39304417264708724,0.37539457978844765,0.017649592858639596,0.017649592858639596,0.17644507929196288,0.17428881389704792,0.0021562653949149524,0.0021562653949149524
2.0,0.45,20.0,0.042105585697662956,0.038152024480352674,0.1036265118603672,0.09860158614273025,0.7789585653330442,0.6641054641430317,0.11485310119001246,0.11485310119001246,1.0,0.0,0.0,0.0,0.9726036455007375,0.975085284203826,0.0024816387030884846,-0.0024816387030884846,0.8974938947501303,0.9059230562568693,0.008429161506739002,-0.008429161506739002,0.7152700285825547,0.7335770580014349,0.018307029418880183,-0.018307029418880183
2.0,0.45,50.0,0.050707950556499806,0.04435482364366832,0.14323418268710442,0.13386124806745026,1.1243308149224007,1.1460308591928556,0.02170004427045491,-0.02170004427045491,1.0,0.0,0.0,0.0,0.9673440718521339,0.9713162482924576,0.00397217644032366,-0.00397217644032366,0.880710947945904,0.8941124176091022,0.013401469663198218,-0.013401469663198218,0.6821072416964468,0.7109883279666049,0.028881086270158174,-0.028881086270158174
