replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_mode_prediction,two_mode_prediction,hmm_prediction,static_prediction,poisson_prediction
1.0,0.45,20.0,1.0,20.0,0.2534134938807104,0.21708182413993157,0.25284322317864494,0.2263808223926345,0.05173194582231816,0.0
1.0,0.45,20.0,2.0,40.0,0.1933360021003892,0.19794940939117545,0.19610453081472728,0.1973006405390069,0.05173194582231816,0.0
1.0,0.45,20.0,3.0,60.0,0.16905313881997194,0.18050322192362395,0.1648045772861982,0.17195600910746114,0.05173194582231816,0.0
1.0,0.45,20.0,4.0,80.0,0.15308557770565187,0.1645946468090928,0.14600442190683344,0.14986707081835052,0.05173194582231816,0.0
1.0,0.45,20.0,5.0,100.0,0.14391250194777575,0.15008816723323168,0.133438906838322,0.13061560937737504,0.05173194582231816,0.0
1.0,0.45,20.0,6.0,120.0,0.1302432394091692,0.1368602100988018,0.12406945094836669,0.11383713126482252,0.05173194582231816,0.0
1.0,0.45,20.0,7.0,140.0,0.11775927148655142,0.12479809337122026,0.11641768653113792,0.0992139646737287,0.05173194582231816,0.0
1.0,0.45,20.0,8.0,160.0,0.11062568070651438,0.11379906619935963,0.10975993353547175,0.08646924493714518,0.05173194582231816,0.0
1.0,0.45,20.0,9.0,180.0,0.10535943492169879,0.10376943363489473,0.10373779275454532,0.07536167256886021,0.05173194582231816,0.0
1.0,0.45,20.0,10.0,200.0,0.09878322424972436,0.09462375849413968,0.09816988681546451,0.06568094467003226,0.05173194582231816,0.0
1.0,0.45,20.0,11.0,220.0,0.09400760358975249,0.08628413356345438,0.09296083466966848,0.057243773203228994,0.05173194582231816,0.0
1.0,0.45,20.0,12.0,240.0,0.0931195010122386,0.07867951794851945,0.08805722871280389,0.049890414746696254,0.05173194582231816,0.0
1.0,0.45,20.0,13.0,260.0,0.0872381321567216,0.07174513191418737,0.08342633352791685,0.0434816460256845,0.05173194582231816,0.0
1.0,0.45,20.0,14.0,280.0,0.08380598553174116,0.06542190505986706,0.07904576907211253,0.037896127957687986,0.05173194582231816,0.0
1.0,0.45,20.0,15.0,300.0,0.08111670934376587,0.05965597312973786,0.07489850465040107,0.03302810830429811,0.05173194582231816,0.0
1.0,0.45,20.0,16.0,320.0,0.07949951435129841,0.054398219171382184,0.07097042105089638,0.0287854194333103,0.05173194582231816,0.0
1.0,0.45,20.0,17.0,340.0,0.07453286923064963,0.04960385513420817,0.0672491150399222,0.02508773328213195,0.05173194582231816,0.0
1.0,0.45,20.0,18.0,360.0,0.0730470357482245,0.04523204034351831,0.06372330529256018,0.021865040483205887,0.05173194582231816,0.0
1.0,0.45,20.0,19.0,380.0,0.06892231777312278,0.04124553360020467,0.06038252989727765,0.0190563248562887,0.05173194582231816,0.0
1.0,0.45,20.0,20.0,400.0,0.06813682531875395,0.03761037594249032,0.057216985607275006,0.016608408171360577,0.05173194582231816,0.0
1.0,0.45,20.0,21.0,420.0,0.06686692244886233,0.03429560136733049,0.05421743637185063,0.01447494330972681,0.05173194582231816,0.0
1.0,0.45,20.0,22.0,440.0,0.06526776265298374,0.03127297304726066,0.051375156078413135,0.012615536760537149,0.05173194582231816,0.0
