replicate,contiguous_higher_order_score,radial_higher_order_score,radial_higher_order_failure,paired_contiguous_better,ngp_absolute_error_tolerance,fs_absolute_error_tolerance,heldout_path_used_in_prediction,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,temperature,calibration_time,block_size,independent_replicate_count,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed
1.0,0.8995207283011046,4.753205278281202,1.0,1.0,0.3,0.03,0.0,0.0,0.0,0.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0
2.0,2.0953229773555275,5.288985275849225,1.0,1.0,0.3,0.03,0.0,0.0,0.0,0.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0
3.0,3.3235853105268442,4.167146033063524,1.0,1.0,0.3,0.03,0.0,0.0,0.0,0.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0
