replicate,threshold,event_definition,train_event_count,D_relerr,ngp_rmse,fs5_rmse,fs7p25_rmse,fs9_rmse,fit_parameters_from_macro_observables,thermodynamic_claim_allowed
replicate_01,0.08,candelier_phop_contiguous_peak_recursive_ABA_removal,51559.0,0.42579449648849865,2.080824575552618,3.3849155217695692,3.759592449959707,5.280235597136636,0.0,0.0
replicate_01,0.12,candelier_phop_contiguous_peak_recursive_ABA_removal,29676.0,0.537328401312521,2.164203704473132,6.87240250857561,11.346618112476683,14.808748251320681,0.0,0.0
replicate_01,0.16,candelier_phop_contiguous_peak_recursive_ABA_removal,18563.0,0.6321132795932058,2.5404930283692115,12.110076034702063,27.107414949107266,34.92561779613885,0.0,0.0
replicate_01,0.2,candelier_phop_contiguous_peak_recursive_ABA_removal,12504.0,0.7086576866310001,2.983080910920973,18.723567242748107,53.78482072409231,64.41953621430166,0.0,0.0
replicate_01,0.24,candelier_phop_contiguous_peak_recursive_ABA_removal,8577.0,0.7707029609959347,3.744074784266301,27.329556645890364,98.08979212854008,101.71924991517946,0.0,0.0
replicate_02,0.08,candelier_phop_contiguous_peak_recursive_ABA_removal,51256.0,0.44521583124543607,2.4702419192279645,4.573063688109788,4.101242776648691,5.8567033427665045,0.0,0.0
replicate_02,0.12,candelier_phop_contiguous_peak_recursive_ABA_removal,29551.0,0.5527858666545062,2.639093943795958,12.2383925311672,12.114560403484443,13.467056422799622,0.0,0.0
replicate_02,0.16,candelier_phop_contiguous_peak_recursive_ABA_removal,18825.0,0.6469390492338395,2.979508180729979,26.40232624354201,26.3302349374083,24.370949655080654,0.0,0.0
replicate_02,0.2,candelier_phop_contiguous_peak_recursive_ABA_removal,12529.0,0.7220554109430215,3.653096021345796,49.27932602266369,48.592893134618045,39.59393039028934,0.0,0.0
replicate_02,0.24,candelier_phop_contiguous_peak_recursive_ABA_removal,8742.0,0.7762282110337109,4.641801412078876,78.02483064984389,77.48953200542451,59.088473053274605,0.0,0.0
replicate_03,0.08,candelier_phop_contiguous_peak_recursive_ABA_removal,53671.0,0.4073569676302523,1.6272028465799375,3.4659454262456193,11.994997114462505,7.00407118649674,0.0,0.0
replicate_03,0.12,candelier_phop_contiguous_peak_recursive_ABA_removal,30786.0,0.5323141306737783,2.0725525782355723,9.743851914225719,39.33809450973064,33.903833532710124,0.0,0.0
replicate_03,0.16,candelier_phop_contiguous_peak_recursive_ABA_removal,19256.0,0.637923741797304,2.556207001901239,22.72470524188547,91.2455626496437,102.05244775770588,0.0,0.0
replicate_03,0.2,candelier_phop_contiguous_peak_recursive_ABA_removal,12842.0,0.7148690906609774,3.124060174703012,42.786721510035214,162.06346029621915,208.99915979920718,0.0,0.0
replicate_03,0.24,candelier_phop_contiguous_peak_recursive_ABA_removal,8897.0,0.7755807858827392,3.9751520675548107,69.19094916670191,243.89841813803406,338.1438679129856,0.0,0.0
replicate_04,0.08,candelier_phop_contiguous_peak_recursive_ABA_removal,50951.0,0.4432120075681584,1.353606728304008,20.52322771903394,4.399236606893072,10.9585360239298,0.0,0.0
replicate_04,0.12,candelier_phop_contiguous_peak_recursive_ABA_removal,28794.0,0.5687592806365753,1.697224320917868,73.51483599146587,37.84486069618247,55.154636134231296,0.0,0.0
replicate_04,0.16,candelier_phop_contiguous_peak_recursive_ABA_removal,17930.0,0.6666220780279699,2.0292094456083074,179.04290625472953,182.91096333679337,157.31107170234003,0.0,0.0
replicate_04,0.2,candelier_phop_contiguous_peak_recursive_ABA_removal,11867.0,0.7332516419571586,2.45040265321187,338.10433079548693,542.904498472544,311.0866250444699,0.0,0.0
replicate_04,0.24,candelier_phop_contiguous_peak_recursive_ABA_removal,8461.0,0.7837704987801812,3.0927862470099226,517.3042415302227,1088.7918070446035,470.92362385859315,0.0,0.0
replicate_05,0.08,candelier_phop_contiguous_peak_recursive_ABA_removal,51382.0,0.42652089818001604,1.2140410711272962,5.606386435938018,2.5875484177178,5.732057761263494,0.0,0.0
replicate_05,0.12,candelier_phop_contiguous_peak_recursive_ABA_removal,29435.0,0.5398582749480239,1.6992528615633873,17.83964602313473,6.682692577235573,15.379865540508916,0.0,0.0
replicate_05,0.16,candelier_phop_contiguous_peak_recursive_ABA_removal,18261.0,0.6478722514712121,2.0363832577459453,43.466875474785226,14.15743523651439,35.524389252164596,0.0,0.0
replicate_05,0.2,candelier_phop_contiguous_peak_recursive_ABA_removal,12171.0,0.7193723905248797,2.578878044478328,81.56300160460252,24.181128467695434,69.62037978453436,0.0,0.0
replicate_05,0.24,candelier_phop_contiguous_peak_recursive_ABA_removal,8428.0,0.7840997073402471,3.1959332849714936,129.9217407997743,35.94422365532382,121.58697494517168,0.0,0.0
