distance_midpoint,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,within_replicate_block_count_min,within_replicate_block_count_max,uncertainty_scope,spatial_measurement_claim_allowed,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.55,0.00145384023331658,8.53523846109052e-05,4.927822223108259e-05,0.001241813155908838,0.0016658673107243218,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
1.25,0.0010729675077812732,0.00012049255407021168,6.956640852778226e-05,0.0007736474102190878,0.0013722876053434585,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
1.6,0.0005508069204009461,8.724228181102691e-05,5.036935488831358e-05,0.0003340850780868739,0.0007675287627150184,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
2.15,0.00030514802977610003,3.6098781935372136e-05,2.0841641467804705e-05,0.0002154736842188181,0.00039482237533338196,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
3.0,0.0001041819351689257,1.769057393430666e-05,1.0213657623090928e-05,6.023611331455441e-05,0.00014812775702329698,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
4.25,1.4196918705049551e-05,8.484050736160536e-06,4.898268976340729e-06,-6.87863167784259e-06,3.527246908794169e-05,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
6.25,-1.3744026242818637e-05,2.1929143957436933e-06,1.266079716692427e-06,-1.91915275921306e-05,-8.296524893506674e-06,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
10.3,-1.961922015878116e-05,5.8553171423614055e-06,3.380568928332988e-06,-3.416463428692632e-05,-5.073806030635996e-06,4.302652729911275,student_t_independent_replicates,3.0,10.0,10.0,independent_replicates,1.0,0.0,0.0
