time,log10_time,renewal_mean,poisson_alpha_decay,gamma_exchange_alpha_decay,static_gamma_alpha_decay,poisson_ngp,gamma_exchange_ngp,static_gamma_ngp,gamma_exchange_alpha_slope_per_renewal,static_gamma_alpha_slope_per_renewal,static_gamma_late_ngp_plateau,static_gamma_late_alpha_decay_per_renewal,gamma_exchange_late_ngp_renewal_amplitude,gamma_exchange_late_alpha_decay_per_renewal
0.02,-1.6989700043360187,5.3067494355726885e-08,0.9999999796387032,0.9999999796387037,0.9999999796387037,4.280773071818622e-05,4.280773639744941e-05,4.2807736397449447e-05,0.38368678925118377,0.38368678925118377,2.5,0.0,26.0,0.09440460177605386
0.02020433881373341,-1.6945553572602106,5.470794031917081e-08,0.9999999790092857,0.9999999790092864,0.9999999790092864,4.3255450174362053e-05,4.325545609045621e-05,4.325545609045625e-05,0.3836867867729471,0.3836867867729471,2.5,0.0,26.0,0.09440460177605386
0.02041076534500672,-1.6901407101844024,5.63990672320519e-08,0.9999999783604228,0.9999999783604233,0.9999999783604233,4.370795864150345e-05,4.370796480432941e-05,4.3707964804329446e-05,0.38368678742869794,0.38368678742869794,2.5,0.0,26.0,0.09440460177605386
0.020619300923906198,-1.6857260631085942,5.814243940617525e-08,0.9999999776915138,0.9999999776915145,0.9999999776915144,4.416530933259999e-05,4.416531575219146e-05,4.41653157521915e-05,0.3836867867947685,0.38368678870425676,2.5,0.0,26.0,0.09440460177605386
0.020829967098446357,-1.681311416032786,5.99396699355742e-08,0.9999999770019402,0.9999999770019409,0.9999999770019409,4.462755651113426e-05,4.462756319834985e-05,4.4627563198349886e-05,0.3836867872801508,0.3836867872801508,2.5,0.0,26.0,0.09440460177605386
0.021042785636796478,-1.6768967689569778,6.179242099377258e-08,0.9999999762910641,0.9999999762910649,0.9999999762910649,4.509475459291146e-05,4.509476155929244e-05,4.509476155929248e-05,0.38368678631180386,0.38368678631180386,2.5,0.0,26.0,0.09440460177605386
0.021257778529529956,-1.6724821218811694,6.370240661530968e-08,0.9999999755582278,0.9999999755582286,0.9999999755582286,4.55669590979646e-05,4.556696635472899e-05,4.5566966354729036e-05,0.3836867864492107,0.3836867864492107,2.5,0.0,26.0,0.09440460177605386
0.02147496799189654,-1.6680674748053612,6.567139330712623e-08,0.9999999748027537,0.9999999748027545,0.9999999748027545,4.604422593557089e-05,4.604423349499514e-05,4.60442334949952e-05,0.38368678599401457,0.38368678599401457,2.5,0.0,26.0,0.09440460177605386
0.021694376466117892,-1.663652827729553,6.770120230613352e-08,0.9999999740239428,0.9999999740239436,0.9999999740239436,4.65266118749863e-05,4.652661974976941e-05,4.652661974976946e-05,0.3836867864899015,0.3836867864899015,2.5,0.0,26.0,0.09440460177605386
0.021916026623706515,-1.6592381806537448,6.979371083196128e-08,0.9999999732210749,0.9999999732210758,0.9999999732210758,4.701417425012622e-05,4.701418245329276e-05,4.701418245329282e-05,0.38368678536465634,0.38368678536465634,2.5,0.0,26.0,0.09440460177605386
0.022139941367808415,-1.6548235335779367,7.195085391924205e-08,0.9999999723934077,0.9999999723934085,0.9999999723934085,4.750697104793922e-05,4.750697959339932e-05,4.750697959339938e-05,0.38368678527892247,0.38368678527892247,2.5,0.0,26.0,0.09440460177605386
0.022366143835569674,-1.6504088865021285,7.41746263011045e-08,0.9999999715401755,0.9999999715401766,0.9999999715401765,4.800506098878721e-05,4.800506989064666e-05,4.800506989064673e-05,0.3836867836218056,0.3836867851185749,2.5,0.0,26.0,0.09440460177605386
0.022594657400527227,-1.6459942394263203,7.64670845718185e-08,0.9999999706605895,0.9999999706605907,0.9999999706605907,4.850850373849802e-05,4.850851301187939e-05,4.850851301187946e-05,0.3836867842046129,0.3836867842046129,2.5,0.0,26.0,0.09440460177605386
0.022825505675024053,-1.641579592350512,7.883034801800525e-08,0.9999999697538366,0.9999999697538378,0.9999999697538378,4.9017359236458447e-05,4.90173688965469e-05,4.901736889654698e-05,0.3836867838254481,0.3836867838254481,2.5,0.0,26.0,0.09440460177605386
0.023058712512649033,-1.637164945274704,8.126660191100365e-08,0.9999999688190782,0.9999999688190794,0.9999999688190794,4.953168856447476e-05,4.953169862759597e-05,4.953169862759605e-05,0.38368678369910764,0.38368678369910764,2.5,0.0,26.0,0.09440460177605386
0.02329430201070175,-1.6327502981988957,8.377809857663954e-08,0.9999999678554501,0.9999999678554514,0.9999999678554514,5.005155335613409e-05,5.005156383917098e-05,5.005156383917107e-05,0.38368678259870737,0.38368678259870737,2.5,0.0,26.0,0.09440460177605386
