count_window,window_count,complete_waiting_time_count,particles_with_complete_wait,complete_wait_particle_fraction,waiting_mean,waiting_cv2,waiting_lag1_correlation,log_waiting_lag1_correlation,shuffle_lag1_correlation_mean,shuffle_lag1_correlation_standard_deviation,actual_count_fano,sequence_shuffle_count_fano,particle_iid_count_fano,pooled_empirical_iid_count_fano,gamma_iid_count_fano,temporal_memory_excess_fraction,persistent_environment_excess_fraction,empirical_iid_relative_error,gamma_iid_relative_error,collective_covariance_ratio,temperature,threshold,half_window,event_definition,source_doi,thermodynamic_claim_allowed,median_empirical_iid_relative_error,median_gamma_iid_relative_error,median_temporal_memory_excess_fraction,median_persistent_environment_excess_fraction,waiting_correlation_z_vs_shuffle,waiting_failure_verdict
1024.0,78.0,66172.0,3277.0,1.0,3471.827102097564,2.137498955559162,0.04957892783809054,0.0625019925179152,0.01810259023358343,0.0033330040657774487,1.5431454179883848,1.52278434463501,1.5855634716891391,1.544623814047898,1.512248458711497,0.013370950013447347,0.026504613789394504,0.0009580406631024552,0.020022065915968223,27.340385904836133,0.45,0.16,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.03561116699118194,0.0478445410660322,0.040835099683642406,0.06786055831135607,9.443834145808346,empirical_iid_waiting_law_sufficient
4096.0,19.0,66172.0,3277.0,1.0,3471.827102097564,2.137498955559162,0.04957892783809054,0.0625019925179152,0.016523614659300807,0.0030097465025178036,1.8730643587347053,1.7995783955633469,1.9289431087268354,1.8063623510705726,1.7834484541039015,0.040835099683642406,0.06786055831135607,0.03561116699118194,0.0478445410660322,36.92448847356142,0.45,0.16,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.03561116699118194,0.0478445410660322,0.040835099683642406,0.06786055831135607,9.443834145808346,empirical_iid_waiting_law_sufficient
8192.0,9.0,66172.0,3277.0,1.0,3471.827102097564,2.137498955559162,0.04957892783809054,0.0625019925179152,0.017460663732431967,0.0035391024514564973,2.0590699651038147,1.9741681255792796,2.1499231698112684,1.9321398265137661,1.9159891969478176,0.04300638756368458,0.1127161400582779,0.061644402930062125,0.06948805556919635,37.242572678578725,0.45,0.16,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.03561116699118194,0.0478445410660322,0.040835099683642406,0.06786055831135607,9.443834145808346,empirical_iid_waiting_law_sufficient
512.0,156.0,43372.0,3273.0,0.9987793713762587,4979.495573180854,1.7777276192236722,0.028837256375034252,0.04786253841841522,0.013445947750571962,0.004551422230624751,1.2831212159342145,1.2779857969928545,1.3241787681769221,1.294555809295185,1.2230797519810963,0.0040183693382538355,0.02288272059731833,0.008911545705091672,0.04679329061627524,14.51514478166674,0.45,0.2,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.009612033039005707,0.050144311613765535,0.012186583868187384,0.05519542715949277,3.3816481628314237,empirical_iid_waiting_law_sufficient
1024.0,78.0,43372.0,3273.0,0.9987793713762587,4979.495573180854,1.7777276192236722,0.028837256375034252,0.04786253841841522,0.014822217500899097,0.004708241812987904,1.3646394063188663,1.3592230762711606,1.4257048399956416,1.3777563653787324,1.3003009361505722,0.0039848720509989555,0.03480185308650596,0.009612033039005707,0.047146865223427814,20.323154637627912,0.45,0.2,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.009612033039005707,0.050144311613765535,0.012186583868187384,0.05519542715949277,3.3816481628314237,empirical_iid_waiting_law_sufficient
2048.0,39.0,43372.0,3273.0,0.9987793713762587,4979.495573180854,1.7777276192236722,0.028837256375034252,0.04786253841841522,0.013727796457011625,0.0034629398025921377,1.4669928896087445,1.449330501894683,1.5478160933594052,1.4668525407904869,1.3934315410170253,0.012186583868187384,0.05519542715949277,9.567109646668737e-05,0.050144311613765535,28.483510561834116,0.45,0.2,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.009612033039005707,0.050144311613765535,0.012186583868187384,0.05519542715949277,3.3816481628314237,empirical_iid_waiting_law_sufficient
4096.0,19.0,43372.0,3273.0,0.9987793713762587,4979.495573180854,1.7777276192236722,0.028837256375034252,0.04786253841841522,0.013830290353149003,0.004852320008578783,1.5844566100162372,1.5522855726926084,1.694910477444543,1.555152409863124,1.4948001499161214,0.020724947709089836,0.08986776260322915,0.018494794977574558,0.05658498915864729,30.69854908169525,0.45,0.2,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.009612033039005707,0.050144311613765535,0.012186583868187384,0.05519542715949277,3.3816481628314237,empirical_iid_waiting_law_sufficient
8192.0,9.0,43372.0,3273.0,0.9987793713762587,4979.495573180854,1.7777276192236722,0.028837256375034252,0.04786253841841522,0.012456123435119124,0.0037328458978740852,1.717108042201839,1.6752485466854694,1.8890359925062767,1.6413451650848698,1.5949216943495446,0.02498703586353801,0.15090721482010738,0.044122370436177616,0.07115821768303843,30.83430529995987,0.45,0.2,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.009612033039005707,0.050144311613765535,0.012186583868187384,0.05519542715949277,3.3816481628314237,empirical_iid_waiting_law_sufficient
1024.0,78.0,29543.0,3255.0,0.9932865425694233,6718.139119249907,1.5773368377088373,0.008249799175480861,0.02526331846508412,-0.0035749753126141214,0.004952754264325879,1.258835870307185,1.2594256574515996,1.3458657854527087,1.2840104318280865,1.1940540352375653,-0.0004682984985459049,0.04817356003607909,0.019998287397672065,0.05146170092357738,15.047815280456842,0.45,0.24,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.014527771573626058,0.05146170092357738,0.0036963154338840454,0.12292179475588094,2.3875148769781447,empirical_iid_waiting_law_sufficient
4096.0,19.0,29543.0,3255.0,0.9932865425694233,6718.139119249907,1.5773368377088373,0.008249799175480861,0.02526331846508412,-0.003137243089694449,0.004568977988362214,1.3999330711090172,1.3947775333855295,1.5817593348714998,1.408610414597366,1.3381246561811726,0.0036963154338840454,0.12292179475588094,0.006198398814505124,0.04415097850276539,21.05416884810035,0.45,0.24,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.014527771573626058,0.05146170092357738,0.0036963154338840454,0.12292179475588094,2.3875148769781447,empirical_iid_waiting_law_sufficient
8192.0,9.0,29543.0,3255.0,0.9932865425694233,6718.139119249907,1.5773368377088373,0.008249799175480861,0.02526331846508412,-0.00678335242198941,0.0042958237483108385,1.4978613758249937,1.4870708216210353,1.7828517323514448,1.476100787908051,1.4138756476321375,0.007256247683076644,0.20781165280598834,0.014527771573626058,0.05607042784356364,21.927569794369898,0.45,0.24,5.0,candelier_phop_contiguous_peak_recursive_ABA_removal,10.5281/zenodo.7469766,0.0,0.014527771573626058,0.05146170092357738,0.0036963154338840454,0.12292179475588094,2.3875148769781447,empirical_iid_waiting_law_sufficient
