parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,radial_heldout_committor,geometry_radial_heldout_committor,geometry_heldout_baseline_committor,radial_heldout_baseline_committor,geometry_radial_heldout_baseline_committor,thermodynamic_claim_allowed
1,0,128,6,8,0.75,0.6505172731254402,0.6983403632308881,0.6918265602573587,0.6787109375,0.6787109375,0.6787109375,False
1,1,134,5,8,0.625,0.6499146954103401,0.6925216546855207,0.6831580384284133,0.6787109375,0.6787109375,0.6787109375,False
1,2,236,4,8,0.5,0.5847848114719334,0.6483563306347825,0.616647659927734,0.6787109375,0.6787109375,0.6787109375,False
1,3,294,4,8,0.5,0.6500686063376159,0.6627252856323823,0.6426971181443685,0.6787109375,0.6787109375,0.6787109375,False
1,4,364,4,8,0.5,0.6587885001007245,0.7381234140631199,0.7148428372989738,0.6787109375,0.6787109375,0.6787109375,False
1,5,419,5,8,0.625,0.6916310190288886,0.6824480453729278,0.6720482855339461,0.6787109375,0.6787109375,0.6787109375,False
1,6,422,8,8,1.0,0.7653674521689592,0.6318352645493093,0.6580647410689254,0.6787109375,0.6787109375,0.6787109375,False
1,7,451,4,8,0.5,0.6199252559249211,0.7559115356179772,0.7272213897655778,0.6787109375,0.6787109375,0.6787109375,False
1,8,580,5,8,0.625,0.6071185473662736,0.6055616030118006,0.5644511908336031,0.6787109375,0.6787109375,0.6787109375,False
1,9,682,7,8,0.875,0.7089334523856887,0.7542320318651594,0.7566672313168958,0.6787109375,0.6787109375,0.6787109375,False
1,10,719,5,8,0.625,0.7468823962257027,0.731632960324547,0.7587767199180444,0.6787109375,0.6787109375,0.6787109375,False
1,11,770,7,8,0.875,0.7199550547160749,0.6629290844334422,0.6882903889263379,0.6787109375,0.6787109375,0.6787109375,False
1,12,804,4,8,0.5,0.6846362061758114,0.6906719273000861,0.6841308041529195,0.6787109375,0.6787109375,0.6787109375,False
1,13,896,8,8,1.0,0.7179962951665272,0.7767710876470589,0.7830821626888668,0.6787109375,0.6787109375,0.6787109375,False
1,14,1032,4,8,0.5,0.6104673600153845,0.6026163518900561,0.5869943789870232,0.6787109375,0.6787109375,0.6787109375,False
1,15,1081,6,8,0.75,0.7325631069508286,0.6926719759104488,0.6958296428330871,0.6787109375,0.6787109375,0.6787109375,False
1,16,1093,8,8,1.0,0.6662858191509013,0.6614439934910944,0.6425977270138901,0.6787109375,0.6787109375,0.6787109375,False
1,17,1120,7,8,0.875,0.6806144474366674,0.6189182954942785,0.6534381375653592,0.6787109375,0.6787109375,0.6787109375,False
1,18,1211,5,8,0.625,0.6034842144945195,0.7199805443991161,0.6960850454936978,0.6787109375,0.6787109375,0.6787109375,False
1,19,1285,7,8,0.875,0.6803181316924048,0.7149651490589137,0.7119792812176812,0.6787109375,0.6787109375,0.6787109375,False
1,20,1387,8,8,1.0,0.734544907301983,0.7571054145320134,0.7492269409152796,0.6787109375,0.6787109375,0.6787109375,False
1,21,1394,4,8,0.5,0.7334562257417179,0.7623570200500833,0.7778933143672535,0.6787109375,0.6787109375,0.6787109375,False
1,22,1438,5,8,0.625,0.6822187740553516,0.745544719789725,0.7387352352276934,0.6787109375,0.6787109375,0.6787109375,False
1,23,1470,6,8,0.75,0.6807884058950885,0.6371317207714059,0.6467488437254338,0.6787109375,0.6787109375,0.6787109375,False
1,24,1480,6,8,0.75,0.6240189503581933,0.6466392179537358,0.6344728868145625,0.6787109375,0.6787109375,0.6787109375,False
1,25,1576,4,8,0.5,0.680344587138889,0.7069132995343922,0.6930541865436054,0.6787109375,0.6787109375,0.6787109375,False
1,26,1583,6,8,0.75,0.5983029535830368,0.5010475228690462,0.48779141544102234,0.6787109375,0.6787109375,0.6787109375,False
1,27,1663,4,8,0.5,0.6665962510811233,0.5566959790086836,0.5885112566886135,0.6787109375,0.6787109375,0.6787109375,False
1,28,1725,6,8,0.75,0.6608562637478591,0.5619902433472975,0.5906090936414099,0.6787109375,0.6787109375,0.6787109375,False
1,29,1737,5,8,0.625,0.6735197082746467,0.6060674970704208,0.590647693068112,0.6787109375,0.6787109375,0.6787109375,False
1,30,1809,7,8,0.875,0.7214199549835334,0.5981078150191623,0.6229081589105397,0.6787109375,0.6787109375,0.6787109375,False
1,31,1831,5,8,0.625,0.685655825715556,0.6482195475998049,0.6655199545156274,0.6787109375,0.6787109375,0.6787109375,False
