metric,effect,high_temperature_mean,high_temperature_ci95_low,high_temperature_ci95_high,low_temperature_mean,low_temperature_ci95_low,low_temperature_ci95_high,effect_ratio,directional_ci95_separated,trend_pass,thermodynamic_claim_allowed,high_temperature,low_temperature,high_temperature_replicate_count,low_temperature_replicate_count,independence_class
diffusion,cooling_slowdown,0.0009511336796820766,0.0009228481997375493,0.000979419159626604,2.7296702914512262e-05,1.992824074462625e-05,3.4665165084398274e-05,34.844269751582615,True,True,False,0.58,0.45,5.0,3.0,decorrelated_parent_frames_plus_velocity_seeds
alpha_relaxation_time,cooling_growth,16.820378786626502,16.264573957693248,17.376183615559757,1382.5047837581885,788.7025801699638,1976.3069873464133,82.19225032300618,True,True,False,0.58,0.45,5.0,3.0,decorrelated_parent_frames_plus_velocity_seeds
diffusion_alpha_product,cooling_growth,0.015994735713949312,0.015469387492191958,0.016520083935706666,0.037273675924802,0.030887085933752993,0.043660265915851,2.3303714791795476,True,True,False,0.58,0.45,5.0,3.0,decorrelated_parent_frames_plus_velocity_seeds
ngp_peak,cooling_growth,0.546223208873025,0.5295332661035648,0.5629131516424852,2.150850788462476,1.8416216871210636,2.4600798898038883,3.937677406458323,True,True,False,0.58,0.45,5.0,3.0,decorrelated_parent_frames_plus_velocity_seeds
overlap_chi4_peak,cooling_growth,5.259746374637116,4.059004294980172,6.46048845429406,10.352436943546195,-2.3995465319034643,23.104420418995854,1.9682388096632202,False,False,False,0.58,0.45,5.0,3.0,decorrelated_parent_frames_plus_velocity_seeds
