case,wave_number,gamma_k,late_renewal_count,late_ngp,late_ngp_renewal_amplitude,observed_alpha_decay_per_renewal,poisson_alpha_decay_per_renewal,alpha_rate_renormalization,ratio_from_late_ngp,ratio_from_alpha_rate,log_ratio_residual,passes_consistency,residual_tolerance
consistent,1.1,0.38368679808771045,5399.19,0.004804752025534357,25.941769088744845,0.09440460177605386,0.38368679808771045,0.24604599961886897,24.941769088744845,25.0,0.0023319533411007526,1.0,0.15
inconsistent_alpha_slope,1.1,0.38368679808771045,5399.19,0.004804752025534357,25.941769088744845,0.28474730031516743,0.38368679808771045,0.7421347352432868,24.941769088744845,1.9999999999999987,-2.5233966909671555,0.0,0.15
