case,wave_number,observed_alpha_decay_per_renewal,ratio_from_late_ngp,ratio_from_alpha_rate,ratio_from_alpha_rate_std,weighted_mean_ratio_from_alpha,weighted_mean_ratio_from_alpha_std,collapse_z_score,alpha_ratio_reduced_chi_square,passes_multik_collapse
consistent_multik,0.6,0.058832830527709205,24.941769088744845,24.999999999999993,1.7842929398087188,25.0,0.4855918017819983,0.09568003746361115,7.928994157307115e-30,1.0
consistent_multik,1.1,0.09440460177605386,24.941769088744845,25.0,0.8593874362628109,25.0,0.4855918017819983,0.09568003746361115,7.928994157307115e-30,1.0
consistent_multik,1.8,0.11811173287720739,24.941769088744845,25.0,0.6234454293970763,25.0,0.4855918017819983,0.09568003746361115,7.928994157307115e-30,1.0
mismatch_k_1.1,0.6,0.058832830527709205,24.941769088744845,24.999999999999993,1.7842929398087188,2.22979594583783,0.05882916805304297,61.126186923694256,755.9514001912305,0.0
mismatch_k_1.1,1.1,0.28474730031516743,24.941769088744845,1.9999999999999987,0.0591252736075232,2.22979594583783,0.05882916805304297,61.126186923694256,755.9514001912305,0.0
mismatch_k_1.1,1.8,0.11811173287720739,24.941769088744845,25.0,0.6234454293970763,2.22979594583783,0.05882916805304297,61.126186923694256,755.9514001912305,0.0
