record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,paired_improvement_fraction,position_error_threshold,linearity_mismatch,linearity_identified,model_identified,transition_stable,spectral_radius,design_rank,maximum_held_residual_state_correlation,gate_pass,fit_failure,fit_parameters_from_macro_observables,second_generator_response_allowed,one_tau_generator_response_allowed,autonomous_stochastic_single_particle_gle_allowed,event_clock_claim_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,identified_fold_count,evaluable_fold_count,all_identified_folds_pass,integrity_gate_pass,primary_fit_time,minimum_one_tau_identified_folds
leave_one_member_out,second_generator_constrained,2,0.05,0.001,0.5,87087.48498021171,-18.49508969556716,0.35,0.00018699715111461886,1.0,1.0,0.0,1.2022310100928453,15.0,0.956121775301143,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,2,0.05,0.001,1.0,13956368185999.38,-573.939574036638,0.5,0.00022904929312657658,1.0,1.0,0.0,1.2022310100928453,15.0,0.9838604358092621,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.001,0.2,2.2006212012976936,nan,0.2,0.00017284734293566197,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.001,0.5,25849.550217691925,nan,0.35,0.00018699715111461886,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.001,1.0,616670130321.9276,nan,0.5,0.00022904929312657658,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,2,0.05,0.002,0.2,0.7781003059792365,nan,0.2,0.00017284734293566197,1.0,1.0,0.0,1.1705130411973061,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,2,0.05,0.002,0.5,4469.479850082753,nan,0.35,0.00018699715111461886,1.0,1.0,0.0,1.1705130411973061,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,2,0.05,0.002,1.0,24287322107.679897,nan,0.5,0.00022904929312657658,1.0,1.0,0.0,1.1705130411973061,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,2,0.05,0.002,0.2,4.855556457036527,-5.240270592010404,0.2,0.00017284734293566197,1.0,1.0,0.0,1.2022310100928453,15.0,0.9453930559263,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,2,0.05,0.002,0.5,87073.69407650348,-18.48184061617177,0.35,0.00018699715111461886,1.0,1.0,0.0,1.2022310100928453,15.0,0.9561190920536756,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,2,0.05,0.002,1.0,13954669928936.91,-573.5660170795159,0.5,0.00022904929312657658,1.0,1.0,0.0,1.2022310100928453,15.0,0.9838613131371309,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.002,0.2,2.200404302302076,nan,0.2,0.00017284734293566197,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.002,0.5,25847.031783305076,nan,0.35,0.00018699715111461886,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,2,0.05,0.002,1.0,616616309608.6387,nan,0.5,0.00022904929312657658,1.0,1.0,0.0,1.1854621458666443,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,3,0.05,0.001,0.2,0.6483842517841498,nan,0.2,0.00019807928860044252,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
