temperature,inverse_temperature_shift,point_index,persistence_time,dynamic_correlation_length,correlation_size,inferred_facilitation_diffusivity,front_dynamic_exponent,length_growth,correlation_size_growth,chi4_peak_growth,facilitation_diffusivity_mean,facilitation_diffusivity_relative_std,max_diffusivity_relative_std,growth_law_overall_consistent
1.0,0.0,0.0,3.0,1.3114877048604001,8.031565497356498,0.04,2.0,1.0,1.0,1.0,0.04,1.7822589477650746e-16,0.05,1.0
0.9776470588235294,0.022864019253910906,1.0,3.3633327926447723,1.3443213418802609,8.650014094409839,0.039999999999999994,2.0,1.0250354135217423,1.0770022478502972,1.0838941947044411,0.04,1.7822589477650746e-16,0.05,1.0
0.9552941176470588,0.046798029556650134,2.0,3.7908961277090243,1.381960589398325,9.397114296268109,0.03999999999999999,2.0,1.0537350706962412,1.1700227433071508,1.1852505205484158,0.04,1.7822589477650746e-16,0.05,1.0
0.9329411764705883,0.07187894073139978,3.0,4.297386264085984,1.4252623279174386,10.30841640674668,0.04,2.0,1.0867523367816467,1.2834878094612545,1.3092561617328364,0.04,1.7822589477650746e-16,0.05,1.0
0.9105882352941177,0.09819121447028412,4.0,4.90163273588715,1.4752599284915577,11.43176197787391,0.04,2.0,1.1248751498197158,1.4233541370778278,1.4629250850627729,0.04,1.7822589477650746e-16,0.05,1.0
0.888235294117647,0.1258278145695364,5.0,5.627984366921529,1.5332045682364657,12.83239882308881,0.04,2.0,1.1690575234173972,1.5977456483810606,1.6550758610470442,0.04,1.7822589477650746e-16,0.05,1.0
0.8658823529411764,0.15489130434782616,6.0,6.508238334160321,1.6006177558050758,14.600590675557594,0.040000000000000015,2.0,1.220459597046281,1.8179009659279028,1.8985378458293278,0.04,1.7822589477650746e-16,0.05,1.0
0.8435294117647059,0.18549511854951195,7.0,7.584357339673227,1.6793587352086434,16.86312144874229,0.04,2.0,1.2804990309744466,2.099605793452423,2.211442094020154,0.04,1.7822589477650746e-16,0.05,1.0
0.8211764705882353,0.2177650429799427,8.0,8.912345973967739,1.7717118935516174,19.800986918517733,0.04000000000000001,2.0,1.3509176540394676,2.465395684693727,2.6198280837524974,0.04,1.7822589477650746e-16,0.05,1.0
0.7988235294117647,0.25184094256259204,9.0,10.567856638243137,1.8805014206796955,23.677101319444642,0.04,2.0,1.4338688908104278,2.9480057564415936,3.1617305849824584,0.04,1.7822589477650746e-16,0.05,1.0
0.7764705882352941,0.28787878787878785,10.0,12.654415783577642,2.0092435860439206,28.88053984310021,0.039999999999999994,2.0,1.5320338716082682,3.595879265705537,3.893692231763158,0.04,1.7822589477650746e-16,0.05,1.0
0.7541176470588236,0.32605304212168473,11.0,15.31568549930035,2.162351617991876,35.998672160309276,0.04,2.0,1.648777651500778,4.482148862778725,4.901307369411713,0.04,1.7822589477650746e-16,0.05,1.0
0.7317647058823529,0.36655948553054674,12.0,18.754049760493245,2.3454150895989345,45.93742842949536,0.039999999999999994,2.0,1.788362240001777,5.719610758900636,6.3165441080292295,0.04,1.7822589477650746e-16,0.05,1.0
0.7094117647058824,0.4096185737976781,13.0,23.259302456224255,2.565586207768864,60.126700421128724,0.039999999999999994,2.0,1.956241143749003,7.486298958891487,8.362501021482876,0.04,1.7822589477650746e-16,0.05,1.0
0.6870588235294117,0.4554794520547947,14.0,29.253802023557526,2.832121552061953,80.88038350150694,0.03999999999999999,2.0,2.159472438488026,10.070313630403419,11.398260624963976,0.04,1.7822589477650746e-16,0.05,1.0
0.6647058823529411,0.5044247787610621,15.0,37.36506520538833,3.15715309247005,112.04551056269057,0.039999999999999994,2.0,2.407306664614221,13.95064394352124,16.00954823001262,0.04,1.7822589477650746e-16,0.05,1.0
0.6423529411764706,0.5567765567765568,16.0,48.545187856347354,3.556802649223508,160.20897487197394,0.04,2.0,2.7120365948090286,19.947415597208913,23.206472750482384,0.04,1.7822589477650746e-16,0.05,1.0
0.62,0.6129032258064517,17.0,64.27227894644832,4.052819629239327,237.01692680331433,0.039999999999999994,2.0,3.090245996374571,29.510675954933802,34.74690683919331,0.04,1.7822589477650746e-16,0.05,1.0
