model,replicate,lag,realization_count,predicted_msd,observed_msd,predicted_msd_mc_se,predicted_ngp,observed_ngp,predicted_ngp_mc_se,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,msd_relative_error,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,calibration_residual_source,heldout_target_source,debye_waller_source
anchor_aware_semi_markov,1.0,20.0,16.0,0.04480120904860957,0.039439034265083064,1.9204500674006738e-05,0.8320671050951765,0.6894572448102572,0.003725991705043043,0.0,0.0,0.0,0.13596110765505864,0.1426098602849193,0.970917805072371,0.9742726065504118,0.003354801478040792,1.1533031871303747e-05,0.8918334486414614,0.9031194881740169,0.01128603953255547,3.5644983306672583e-05,0.7035985419633164,0.7273620752980499,0.023763533334733467,6.0425384676351636e-05,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,100.0,16.0,0.07558456608319829,0.0570676716703697,7.632053449633753e-05,1.5953762637041535,1.6297339342658397,0.016677214649235182,0.0,0.0,0.0,0.32447257564290655,0.03435767056168615,0.9525534511703406,0.9637263303218477,0.011172879151507109,4.071731812226067e-05,0.8357286063808969,0.8712844740845151,0.035555867703618294,0.00011012095646491965,0.6022004657906752,0.6701586799370863,0.06795821414641112,0.00015666329963299357,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,200.0,16.0,0.10890691077689785,0.07543971565197483,0.00016584223204666915,1.9757730317890911,2.0528096750212144,0.03645553724453542,0.0,0.0,0.0,0.44362833072326047,0.07703664323212323,0.9338811893542353,0.9531991465279716,0.0193179571737363,7.278928172043531e-05,0.7844921264856309,0.8424536039827798,0.05796147749714886,0.00017561675908968745,0.524668860877448,0.6251232912663965,0.10045443038894852,0.00021936744743932308,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,500.0,16.0,0.2038340505220817,0.12726889615088294,0.0004452147380095525,2.382729211372901,2.240207131422164,0.07442105484014898,0.0,0.0,0.0,0.601601464983458,0.14252207995073674,0.8853880119483029,0.9252086699236458,0.039820657975342955,0.00017160048391635615,0.669009854964904,0.7741688168233672,0.1051589618584633,0.00032197610398779425,0.38425116256912123,0.533395281820343,0.14914411925122179,0.00027965246805494823,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,1000.0,16.0,0.3582889130536754,0.21371648432894896,0.0010132488554348235,2.4807106984605114,2.035011317785304,0.10311857411118311,0.0,0.0,0.0,0.6764683088376229,0.4456993806752072,0.8164766151282866,0.8825336715723144,0.06605705644402782,0.0002898037979845095,0.536956271227123,0.6840225543370759,0.14706628310995296,0.0004290677916210782,0.2641060964326695,0.43196745142274323,0.1678613549900737,0.00037440779001079473,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,2000.0,16.0,0.6636619280724003,0.38494087781746295,0.0026867484160750217,2.3921908208713347,1.5320813966552245,0.15584497789086862,0.0,0.0,0.0,0.7240619698152855,0.8601094242161103,0.7059274539444333,0.8061233874084176,0.10019593346398425,0.0006315577524738175,0.38168580548917946,0.5436221107653332,0.1619363052761537,0.0007890113801290303,0.16574957849120087,0.29754222992878293,0.13179265143758206,0.0005262506571305953,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,1.0,3000.0,16.0,0.9690860490871043,0.5507382500974113,0.005144059329545483,2.297919966229527,1.3301724324025965,0.15613835222924408,0.0,0.0,0.0,0.7596127541816791,0.9677475338269304,0.6198786363500499,0.7425593344166428,0.12268069806659287,0.0009489460913902418,0.2954143841198287,0.44897180267658227,0.1535574185567536,0.0009013966280052641,0.12644025988226895,0.22221602781950803,0.09577576793723908,0.0004949450313181459,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,20.0,16.0,0.04490922514174216,0.038152024480352674,1.461809711691426e-05,0.9183071306875876,0.6641054641430317,0.008379614460910683,0.0,0.0,0.0,0.17711250591352679,0.2542016665445559,0.970875071020581,0.975085284203826,0.004210213183244993,8.975490095418036e-06,0.8918006280714966,0.9059230562568693,0.014122428185372682,2.834664512642424e-05,0.7037488142451835,0.7335770580014349,0.02982824375625137,5.0811568639873814e-05,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,100.0,16.0,0.07690485811841685,0.052775278088095054,5.5694559902087834e-05,1.9367775661101019,1.6163795842344126,0.030620433150610797,0.0,0.0,0.0,0.45721369748243745,0.32039798187568924,0.951980709734658,0.9663158180281514,0.014335108293493382,3.140883261337023e-05,0.8342803617941941,0.8792594732386941,0.044979111444500064,9.183178996540408e-05,0.599672805873017,0.6847219017867405,0.08504909591372356,0.00014550380701770443,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,200.0,16.0,0.111832020524771,0.06724485325845257,0.00011618940047647343,2.502476739574639,2.1053026915279753,0.07376893380933176,0.0,0.0,0.0,0.6630569494285257,0.3971740480466637,0.9326938683429816,0.9579937366175421,0.025299868274560433,5.0405809008378554e-05,0.7814525406520791,0.8562828584879376,0.07483031783585847,0.0001478254280018458,0.5199590940673396,0.6480499865399985,0.1280908924726588,0.00023112204716243905,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,500.0,16.0,0.21012254976897643,0.1073797564638258,0.0004910056875245857,3.12113935373191,2.3654625478366693,0.15165738978795051,0.0,0.0,0.0,0.9568171570566257,0.7556768058952406,0.8832446161503418,0.9359506294503632,0.05270601330002145,0.00012348822886705413,0.6643248970481057,0.8005729633027215,0.13624806625461583,0.00028477953119434077,0.37907521774480935,0.5679871984961697,0.1889119807513604,0.0003593490494837734,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,1000.0,16.0,0.3704051050459388,0.171315127140714,0.0013271011017043316,3.2466301415542826,2.1878435702506227,0.18730601561749485,0.0,0.0,0.0,1.1621272518549821,1.05878657130366,0.8128477462895115,0.9031995585846249,0.09035181229511335,0.0002793377820614781,0.5312082183421479,0.7283672041708552,0.19715898582870728,0.00044084486651797393,0.2600213824112606,0.4797847508304132,0.21976336841915262,0.000465338636343413,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
