temperature,replicate,lag,kernel_model,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,1.0,20.0,lag_conditioned,1.1102230246251565e-16,0.042232784113929896,0.039439034265083064,0.07083717694680591,0.7863463877990609,0.6894572448102572,0.09688914298880369,0.9725270904261348,0.9742726065504118,0.00174551612427698,0.897260937196451,0.9031194881740169,0.005858550977565935,0.7147164550260644,0.7273620752980499,0.012645620271985458
0.45,1.0,20.0,lag_pooled,1.1102230246251565e-16,0.04150882784883067,0.039439034265083064,0.052480838395682516,0.8378966429951873,0.6894572448102572,0.14843939818493013,0.9730043633306377,0.9742726065504118,0.0012682432197741456,0.8989976573037529,0.9031194881740169,0.004121830870263965,0.7182281689045804,0.7273620752980499,0.009133906393469449
0.45,1.0,50.0,lag_conditioned,0.0,0.050610991797979614,0.047091920203606114,0.07472771505511955,1.1241265337374733,1.1419796763703234,0.017853142632850094,0.9674038100309464,0.9696073952007812,0.0022035851698347653,0.8809404338437241,0.8884326746989446,0.007492240855220489,0.6825976449560588,0.6994078256700247,0.016810180713965894
0.45,1.0,50.0,lag_pooled,0.0,0.049996712077723666,0.047091920203606114,0.06168344509118384,1.1899942192011488,1.1419796763703234,0.0480145428308254,0.9678214044775433,0.9696073952007812,0.001785990723237929,0.8824774619727892,0.8884326746989446,0.005955212726155401,0.6853739738038961,0.6994078256700247,0.0140338518661286
0.45,1.0,100.0,lag_conditioned,0.0,0.06156173996120043,0.0570676716703697,0.07874980981857926,1.4411125052099827,1.6297339342658397,0.188621429055857,0.9608705631055525,0.9637263303218477,0.002855767216295213,0.8612873022323625,0.8712844740845151,0.009997171852152653,0.6470150282381891,0.6701586799370863,0.023143651698897205
0.45,1.0,100.0,lag_pooled,0.0,0.061508094932051435,0.0570676716703697,0.07780978497476121,1.5264979254912387,1.6297339342658397,0.10323600877460093,0.9609769621513117,0.9637263303218477,0.0027493681705360595,0.8618696031116102,0.8712844740845151,0.009414870972904943,0.6477189927752443,0.6701586799370863,0.02243968716184208
0.45,1.0,200.0,lag_conditioned,0.0,0.07978577391891745,0.07543971565197483,0.057609685155657786,1.7467152172735685,2.0528096750212144,0.3060944577476459,0.9503509667999303,0.9531991465279716,0.0028481797280413,0.8319101810627938,0.8424536039827798,0.010543422919986,0.5995165502244271,0.6251232912663965,0.025606741041969472
0.45,1.0,200.0,lag_pooled,0.0,0.0810065984629601,0.07543971565197483,0.0737924681034976,1.8794235201749436,2.0528096750212144,0.17338615484627073,0.9498264223052337,0.9531991465279716,0.003372724222737822,0.8309138197697523,0.8424536039827798,0.011539784213027482,0.597356835335973,0.6251232912663965,0.027766455930423595
0.45,1.0,500.0,lag_conditioned,0.0,0.12759046784441733,0.12726889615088294,0.0025267107931317145,1.9686040955161506,2.240207131422164,0.27160303590601353,0.924361684234323,0.9252086699236458,0.0008469856893228433,0.7675690015164114,0.7741688168233672,0.0065998153069558585,0.5117415779103422,0.533395281820343,0.021653703910000766
0.45,1.0,500.0,lag_pooled,0.0,0.13262269713123961,0.12726889615088294,0.04206684541374117,2.127674859856219,2.240207131422164,0.11253227156594514,0.9222167132042066,0.9252086699236458,0.0029919567194391927,0.763741429846844,0.7741688168233672,0.010427386976523234,0.5060594694981155,0.533395281820343,0.027335812322227482
0.45,1.0,1000.0,lag_conditioned,2.220446049250313e-16,0.2074229167429902,0.21371648432894896,0.029448208479191496,1.8658059938509322,2.035011317785304,0.16920532393437204,0.8845959738779797,0.8825336715723144,0.0020623023056652867,0.6829278643646275,0.6840225543370759,0.0010946899724484371,0.41624263471503536,0.43196745142274323,0.015724816707707867
0.45,1.0,1000.0,lag_pooled,2.220446049250313e-16,0.2135792384245097,0.21371648432894896,0.0006421867965411554,1.9541363486695444,2.035011317785304,0.08087496911575975,0.8824014502880123,0.8825336715723144,0.00013222128430212532,0.6806672227232825,0.6840225543370759,0.003355331613793422,0.4133636686532378,0.43196745142274323,0.018603782769505417
0.45,1.0,2000.0,lag_conditioned,1.1102230246251565e-16,0.36354297548532044,0.38494087781746295,0.05558750334197893,1.5219540261224371,1.5320813966552245,0.010127370532787339,0.8155479963381995,0.8061233874084176,0.009424608929781919,0.5634119987253455,0.5436221107653332,0.019789887960012353,0.3062667520823388,0.29754222992878293,0.008724522153555847
0.45,1.0,2000.0,lag_pooled,1.1102230246251565e-16,0.3638982398522863,0.38494087781746295,0.05466459702716986,1.5532506397417056,1.5320813966552245,0.02116924308648116,0.8156145168599479,0.8061233874084176,0.0094911294515303,0.5626108514275179,0.5436221107653332,0.0189887406621847,0.3058472705627064,0.29754222992878293,0.008305040633923455
0.45,1.0,3000.0,lag_conditioned,1.1102230246251565e-16,0.5182918817174714,0.5507382500974113,0.058914317961755724,1.319677743634196,1.3301724324025965,0.01049468876840054,0.7555886596468417,0.7425593344166428,0.013029325230198952,0.47578580211245014,0.44897180267658227,0.026813999435867875,0.23683214825760995,0.22221602781950803,0.014616120438101926
0.45,1.0,3000.0,lag_pooled,0.0,0.5043374089310637,0.5507382500974113,0.08425207647760158,1.3129593506429988,1.3301724324025965,0.01721308175959768,0.7595393804929602,0.7425593344166428,0.016980046076317423,0.47726252323173624,0.44897180267658227,0.02829072055515397,0.23931666329238843,0.22221602781950803,0.017100635472880404
0.45,1.0,4096.0,lag_conditioned,1.1102230246251565e-16,0.6683400038978786,0.7241497850640457,0.07706938856749246,1.079440948044755,1.1558463559449477,0.07640540790019257,0.6985867811089185,0.6826407927767129,0.01594598833220562,0.3930584068440361,0.37539457978844765,0.017663827055588444,0.17648834455003648,0.17428881389704792,0.002199530652988557
0.45,1.0,4096.0,lag_pooled,1.1102230246251565e-16,0.6471291597608689,0.7241497850640457,0.10636007479635567,1.1426525328356356,1.1558463559449477,0.013193823109312053,0.7072578876617713,0.6826407927767129,0.024617094885058477,0.40608925133760965,0.37539457978844765,0.030694671549162,0.18921515502059322,0.17428881389704792,0.014926341123545295
0.45,2.0,20.0,lag_conditioned,1.1102230246251565e-16,0.042132955509540715,0.038152024480352674,0.10434390005275129,0.7820289728028589,0.6641054641430317,0.11792350865982715,0.9725882036210144,0.975085284203826,0.002497080582811617,0.8974532266096513,0.9059230562568693,0.008469829647217986,0.7151999025050686,0.7335770580014349,0.018377155496366315
0.45,2.0,20.0,lag_pooled,1.1102230246251565e-16,0.0415926373087996,0.038152024480352674,0.0901816581245578,0.9101644317171296,0.6641054641430317,0.24605896757409784,0.972974469164064,0.975085284203826,0.0021108150397619596,0.8990268740016547,0.9059230562568693,0.0068961822552146,0.7184992918480698,0.7335770580014349,0.01507776615336509
0.45,2.0,50.0,lag_conditioned,0.0,0.05075206012554345,0.04435482364366832,0.1442286533087893,1.130028224204541,1.1460308591928556,0.016002634988314668,0.9673187845678948,0.9713162482924576,0.0039974637245627775,0.8806356419716478,0.8941124176091022,0.013476775637454419,0.681993330263363,0.7109883279666049,0.028994997703241987
0.45,2.0,50.0,lag_pooled,0.0,0.050464535963756316,0.04435482364366832,0.13774628818663248,1.3339198152040268,1.1460308591928556,0.18788895601117117,0.9675913691520676,0.9713162482924576,0.0037248791403899917,0.8820394151897216,0.8941124176091022,0.012073002419380585,0.684799925042497,0.7109883279666049,0.026188402924107956
0.45,2.0,100.0,lag_conditioned,0.0,0.06209631807493192,0.052775278088095054,0.1766175437536821,1.463559311074306,1.6163795842344126,0.1528202731601067,0.960558620579657,0.9663158180281514,0.0057571974484943444,0.8602731118048733,0.8792594732386941,0.01898636143382082,0.6451984130041548,0.6847219017867405,0.039523488782585714
0.45,2.0,100.0,lag_pooled,0.0,0.062467939830610185,0.052775278088095054,0.18365913157929126,1.7102300979920653,1.6163795842344126,0.09385051375765263,0.9604983305234418,0.9663158180281514,0.005817487504709562,0.8609480190607083,0.8792594732386941,0.018311454177985853,0.646616933255353,0.6847219017867405,0.03810496853138756
0.45,2.0,200.0,lag_conditioned,0.0,0.08152000568798276,0.06724485325845257,0.21228617117601978,1.7992845866232008,2.1053026915279753,0.30601810490477455,0.9493772362293335,0.9579937366175421,0.008616500388208603,0.8290723615588302,0.8562828584879376,0.027210496929107375,0.5951212542335175,0.6480499865399985,0.052928732306480986
0.45,2.0,200.0,lag_pooled,0.0,0.08312241908510729,0.06724485325845257,0.23611570339264487,2.0403139597652467,2.1053026915279753,0.06498873176272868,0.9487126280293177,0.9579937366175421,0.009281108588224396,0.828537643394557,0.8562828584879376,0.02774521509338057,0.5947339563031263,0.6480499865399985,0.05331603023687215
0.45,2.0,500.0,lag_conditioned,0.0,0.13303827185600622,0.1073797564638258,0.23895114160390452,2.042035394099841,2.3654625478366693,0.3234271537368283,0.9214871551616309,0.9359506294503632,0.014463474288732292,0.7609950350468194,0.8005729633027215,0.03957792825590212,0.5048991127182069,0.5679871984961697,0.06308808577796288
0.45,2.0,500.0,lag_pooled,0.0,0.13682185655098666,0.1073797564638258,0.2741866908319852,2.195348917562209,2.3654625478366693,0.17011363027446036,0.9199119667458658,0.9359506294503632,0.016038662704497386,0.7589023151460943,0.8005729633027215,0.041670648156627244,0.5028586778743906,0.5679871984961697,0.0651285206217791
