record,coordinate,hard_value,c3_value,thermodynamic_claim_allowed
scaled_pair_distance_probability,0.81,0.0,0.0,0
scaled_pair_distance_probability,0.8300000000000001,0.0,0.0,0
scaled_pair_distance_probability,0.8500000000000001,0.0,0.0,0
scaled_pair_distance_probability,0.8700000000000001,0.0,0.0,0
scaled_pair_distance_probability,0.89,0.0,0.0,0
scaled_pair_distance_probability,0.91,0.0,0.0,0
scaled_pair_distance_probability,0.93,0.00011468679037548455,7.656674706175108e-05,0
scaled_pair_distance_probability,0.9500000000000001,0.00042816401740180897,0.0003751770606025803,0
scaled_pair_distance_probability,0.97,0.001766176571782462,0.001692125110064699,0
scaled_pair_distance_probability,0.99,0.004663929475269705,0.004624631522529766,0
scaled_pair_distance_probability,1.01,0.008976152793387924,0.00893533938210635,0
scaled_pair_distance_probability,1.03,0.01271494215962872,0.01241146969870985,0
scaled_pair_distance_probability,1.05,0.016553126744194936,0.01594885341296275,0
scaled_pair_distance_probability,1.07,0.017118914910047328,0.0175950384747904,0
scaled_pair_distance_probability,1.09,0.017019519691721906,0.016990161173002564,0
scaled_pair_distance_probability,1.11,0.016224357945118548,0.017189234715363117,0
scaled_pair_distance_probability,1.1300000000000001,0.014618742879861764,0.014800352207036484,0
scaled_pair_distance_probability,1.1500000000000001,0.012240903426076718,0.012005665939282569,0
scaled_pair_distance_probability,1.1700000000000002,0.010673517290945095,0.011155775046897132,0
scaled_pair_distance_probability,1.1900000000000002,0.009557232531290379,0.009371769840358332,0
scaled_pair_distance_probability,1.21,0.007622848666957206,0.00849890892385437,0
scaled_pair_distance_probability,1.23,0.007110581003280042,0.0071819608743922516,0
scaled_pair_distance_probability,1.25,0.006193086680276166,0.0058420428008116075,0
scaled_pair_distance_probability,1.27,0.005176197138946869,0.005030435281957046,0
scaled_pair_distance_probability,1.29,0.004472784824643898,0.0047701083419470925,0
scaled_pair_distance_probability,1.31,0.0044192643224686716,0.004157574365453083,0
scaled_pair_distance_probability,1.33,0.004205182313767767,0.004188201064277784,0
scaled_pair_distance_probability,1.35,0.003968162946991765,0.0038283373530875542,0
scaled_pair_distance_probability,1.37,0.003608811003815247,0.003261743424830596,0
scaled_pair_distance_probability,1.39,0.003448249497289569,0.0035297270395467247,0
scaled_pair_distance_probability,1.41,0.0036623315059904735,0.0034991003407220246,0
scaled_pair_distance_probability,1.43,0.0033106253488389874,0.0034991003407220246,0
scaled_pair_distance_probability,1.45,0.003807601440466087,0.0035373837142529,0
scaled_pair_distance_probability,1.47,0.003945225588916668,0.003751770606025803,0
scaled_pair_distance_probability,1.49,0.0037082062221406673,0.0038359940277937292,0
scaled_pair_distance_probability,1.51,0.004090495523392282,0.004103977642509858,0
scaled_pair_distance_probability,1.53,0.0044192643224686716,0.00421117108839631,0
scaled_pair_distance_probability,1.55,0.004847428339870481,0.0047241682937100415,0
scaled_pair_distance_probability,1.57,0.00574198530479926,0.005405612342559626,0
scaled_pair_distance_probability,1.59,0.006261898754501456,0.005964549596110409,0
scaled_pair_distance_probability,1.61,0.006942373710729331,0.006699590367903219,0
scaled_pair_distance_probability,1.6300000000000001,0.007974554824108693,0.007503541212051606,0
scaled_pair_distance_probability,1.6500000000000001,0.008356844125360308,0.008590789020328471,0
scaled_pair_distance_probability,1.6700000000000002,0.008907340719162634,0.009287546418590406,0
scaled_pair_distance_probability,1.6900000000000002,0.009840126614216575,0.009930707093909115,0
scaled_pair_distance_probability,1.7100000000000002,0.010612351002744836,0.010589181118640175,0
scaled_pair_distance_probability,1.7300000000000002,0.011445741679473358,0.01127062516748976,0
scaled_pair_distance_probability,1.75,0.012057404561475943,0.012824930132843306,0
scaled_pair_distance_probability,1.77,0.013173689321130659,0.012235366180467822,0
scaled_pair_distance_probability,1.79,0.01274552530372885,0.01341449408521879,0
scaled_pair_distance_probability,1.81,0.013364833971756467,0.013996401362888098,0
scaled_pair_distance_probability,1.83,0.015085135827388735,0.014769725508211784,0
scaled_pair_distance_probability,1.85,0.014450535587311053,0.015566019677653994,0
scaled_pair_distance_probability,1.87,0.015811485499766804,0.015382259484705792,0
scaled_pair_distance_probability,1.8900000000000001,0.015887943360017125,0.01672983423299261,0
scaled_pair_distance_probability,1.9100000000000001,0.016736625608795713,0.016913594425940814,0
scaled_pair_distance_probability,1.9300000000000002,0.016920124473396487,0.01659201408828146,0
scaled_pair_distance_probability,1.9500000000000002,0.01795230558677585,0.017931932161862105,0
scaled_pair_distance_probability,1.97,0.018472219036478044,0.0177481719689139,0
scaled_pair_distance_probability,1.99,0.018999778272205274,0.01837601929482026,0
scaled_pair_distance_probability,2.01,0.020452477616961413,0.019447953753684775,0
scaled_pair_distance_probability,2.0300000000000002,0.01990962680918412,0.020259561272539337,0
scaled_pair_distance_probability,2.05,0.020528935477211734,0.020994602044332147,0
scaled_pair_distance_probability,2.0700000000000003,0.021324097223815095,0.02156885264729528,0
scaled_pair_distance_probability,2.09,0.021301159865739997,0.021400405803759428,0
scaled_pair_distance_probability,2.1100000000000003,0.021958697463892774,0.021714329466712607,0
scaled_pair_distance_probability,2.13,0.020299561896460764,0.02149228590023353,0
scaled_pair_distance_probability,2.1500000000000004,0.020077834101734828,0.021591822671413807,0
scaled_pair_distance_probability,2.17,0.020681851197712382,0.021009915393744496,0
scaled_pair_distance_probability,2.1900000000000004,0.020070188315709798,0.02011408445312201,0
scaled_pair_distance_probability,2.21,0.020077834101734828,0.020045174380766435,0
scaled_pair_distance_probability,2.23,0.018640426329028757,0.019072776693082195,0
scaled_pair_distance_probability,2.25,0.01901506984425534,0.018307109222464684,0
scaled_pair_distance_probability,2.27,0.018395761176227723,0.018774166379541365,0
scaled_pair_distance_probability,2.29,0.01884686255170463,0.017610351824202748,0
scaled_pair_distance_probability,2.31,0.0180593465911263,0.01809272233069178,0
scaled_pair_distance_probability,2.33,0.01845692746442798,0.018245855824815284,0
scaled_pair_distance_probability,2.35,0.017982888730875977,0.018804793078366067,0
scaled_pair_distance_probability,2.37,0.019198568708856115,0.018337735921289382,0
scaled_pair_distance_probability,2.39,0.019405004931531987,0.018621032885417863,0
scaled_pair_distance_probability,2.41,0.02018487510608528,0.01927185023544275,0
scaled_pair_distance_probability,2.43,0.01964967008433302,0.020106427778415835,0
scaled_pair_distance_probability,2.45,0.020161937748010183,0.01984610083840588,0
scaled_pair_distance_probability,2.4699999999999998,0.02087299584833819,0.021484629225527352,0
scaled_pair_distance_probability,2.49,0.022019863752093034,0.021438689177290304,0
A_particle_msd,0.0,0.0,0.0,0
A_particle_msd,0.001,1.7402063023000969e-06,1.7384089917647222e-06,0
A_particle_msd,0.002,6.958451925881571e-06,6.951436689238815e-06,0
A_particle_msd,0.003,1.5647126488125103e-05,1.5623438902426758e-05,0
A_particle_msd,0.004,2.7793205650161837e-05,2.7735953342533993e-05,0
A_particle_msd,0.005,4.3390766598540265e-05,4.328302949901663e-05,0
A_particle_msd,0.006,6.242436905370345e-05,6.223867205318446e-05,0
A_particle_msd,0.007,8.487134557007643e-05,8.459992028344242e-05,0
A_particle_msd,0.008,0.0001107239892347416,0.00011037188397684301,0
A_particle_msd,0.009000000000000001,0.00013995859630593283,0.00013949717422920597,0
A_particle_msd,0.01,0.0001725236196442662,0.00017195161511387205,0
A_particle_msd,0.011,0.00020843311377103426,0.0002077444325165528,0
A_particle_msd,0.012,0.00024766212111930507,0.00024683256719421537,0
A_particle_msd,0.013000000000000001,0.0002902129906651046,0.00028918320927892556,0
A_particle_msd,0.014,0.00033602778536310536,0.0003348154871304377,0
A_particle_msd,0.015,0.0003850617337705993,0.000383660292866011,0
A_particle_msd,0.016,0.0004373344038489729,0.00043569096494793023,0
A_particle_msd,0.017,0.0004927890067458512,0.0004909221385328154,0
A_particle_msd,0.018000000000000002,0.0005513812651751336,0.0005492847371181649,0
A_particle_msd,0.019,0.0006131079313775298,0.0006107369497302913,0
A_particle_msd,0.02,0.0006779045674149139,0.0006752515277672769,0
A_particle_msd,0.021,0.000745762398988384,0.0007428233831545221,0
A_particle_msd,0.022,0.0008166962457839764,0.0008134297138563788,0
A_particle_msd,0.023,0.0008906742369385061,0.0008870352205241726,0
A_particle_msd,0.024,0.0009676808825165354,0.0009635615226011309,0
A_particle_msd,0.025,0.0010475891251514307,0.0010430068531898983,0
A_particle_msd,0.026000000000000002,0.001130478818613092,0.0011253143804706384,0
A_particle_msd,0.027,0.0012162596911200133,0.0012105312436833612,0
A_particle_msd,0.028,0.0013048373949425818,0.0012985373020362966,0
A_particle_msd,0.029,0.001396181829809021,0.0013893277674297028,0
A_particle_msd,0.03,0.001490212266982879,0.0014828587274002335,0
A_particle_msd,0.031,0.0015869457863549787,0.0015790370047859721,0
A_particle_msd,0.032,0.0016863091489534158,0.0016778054247448895,0
A_particle_msd,0.033,0.0017882157376269366,0.0017791466102172419,0
A_particle_msd,0.034,0.001892732762648951,0.0018831203130784632,0
A_particle_msd,0.035,0.001999703808171539,0.001989626427528922,0
A_particle_msd,0.036000000000000004,0.002109075636401775,0.0020985780357533922,0
A_particle_msd,0.037,0.0022208201444371485,0.002209874942880698,0
A_particle_msd,0.038,0.0023348752792243144,0.0023234812795047055,0
A_particle_msd,0.039,0.0024512118847881776,0.0024393270605467827,0
A_particle_msd,0.04,0.0025698046213344463,0.002557370900497622,0
A_particle_msd,0.041,0.002690521605046498,0.002677499201262064,0
A_particle_msd,0.042,0.0028134213456205504,0.0027997270588552264,0
A_particle_msd,0.043000000000000003,0.0029383811570840297,0.002923902145371521,0
A_particle_msd,0.044,0.0030654913261003104,0.0030500408207918667,0
A_particle_msd,0.045,0.0031945659585288864,0.0031781255375718676,0
A_particle_msd,0.046,0.0033255845149205003,0.0033081620343283396,0
A_particle_msd,0.047,0.003458360602976565,0.0034400031694393827,0
A_particle_msd,0.048,0.003593004538316287,0.0035736713856571014,0
A_particle_msd,0.049,0.003729280245839563,0.0037090524071245992,0
A_particle_msd,0.05,0.003867242082059216,0.0038461166991810634,0
A_particle_msd,0.051000000000000004,0.004006906689953626,0.003984654387811581,0
A_particle_msd,0.052000000000000005,0.004148288092559701,0.004124694081293737,0
A_particle_msd,0.053,0.004291195317876448,0.004266205886267508,0
A_particle_msd,0.054,0.0044355928911560955,0.00440918963882141,0
A_particle_msd,0.055,0.004581515708721837,0.004553399603401422,0
A_particle_msd,0.056,0.004728833690496534,0.004698700224890617,0
A_particle_msd,0.057,0.004877367314811967,0.00484520874209793,0
A_particle_msd,0.058,0.005027241331567048,0.004993002906248273,0
A_particle_msd,0.059000000000000004,0.00517835597775833,0.005141816441979879,0
A_particle_msd,0.06,0.005330754974053541,0.005291624056307719,0
A_particle_msd,0.061,0.00548426159983679,0.0054422884413461575,0
A_particle_msd,0.062,0.005638794557063218,0.005593775473299956,0
A_particle_msd,0.063,0.005794154815255408,0.005746019349239315,0
A_particle_msd,0.064,0.005950336269726484,0.005898843700758985,0
A_particle_msd,0.065,0.006107312256805778,0.00605226469380332,0
A_particle_msd,0.066,0.006265000466321021,0.006206296255280035,0
A_particle_msd,0.067,0.006423377547412393,0.006361045011371845,0
A_particle_msd,0.068,0.006582379662528459,0.00651626396648668,0
A_particle_msd,0.069,0.006741898341418402,0.006671983635400277,0
A_particle_msd,0.07,0.0069020337028995685,0.006828263413020538,0
A_particle_msd,0.07100000000000001,0.007062962848526676,0.006984917160143088,0
A_particle_msd,0.07200000000000001,0.007224486670279529,0.007141733529235317,0
A_particle_msd,0.073,0.007386652023305774,0.007298997454692479,0
A_particle_msd,0.074,0.007549339047775785,0.007456466194394651,0
A_particle_msd,0.075,0.007712245066452995,0.007614209433740636,0
A_particle_msd,0.076,0.007875342230494672,0.00777235935115775,0
A_particle_msd,0.077,0.008038648038342392,0.007930534862439612,0
A_particle_msd,0.078,0.00820216368984782,0.008088731623510526,0
A_particle_msd,0.079,0.008365716931025311,0.00824703741783748,0
A_particle_msd,0.08,0.008529448230180602,0.008405191004222635,0
A_particle_msd,0.081,0.00869329844999628,0.008563356172088983,0
A_particle_msd,0.082,0.008857080976996388,0.008721361273247071,0
A_particle_msd,0.083,0.009020515010947068,0.008879069006963603,0
A_particle_msd,0.084,0.009183903373284348,0.009036569924145673,0
A_particle_msd,0.085,0.009347152165785386,0.009193648572803205,0
A_particle_msd,0.08600000000000001,0.009510149343338206,0.009350328328701309,0
A_particle_msd,0.08700000000000001,0.0096729876553148,0.009506512389176455,0
A_particle_msd,0.088,0.009835789101917673,0.009662262593790173,0
A_particle_msd,0.089,0.009998344368830478,0.009817783885257702,0
A_particle_msd,0.09,0.010160406192403371,0.009972685799225691,0
A_particle_msd,0.091,0.01032223850582799,0.010127069262527284,0
A_particle_msd,0.092,0.010483411898994053,0.010280721761186455,0
A_particle_msd,0.093,0.010644102010562435,0.010433750898659404,0
A_particle_msd,0.094,0.010804361210879802,0.010586062717753905,0
A_particle_msd,0.095,0.010964351148477108,0.01073802139988049,0
A_particle_msd,0.096,0.011123855249078182,0.010889225765587214,0
A_particle_msd,0.097,0.011282805355993936,0.011039924497137553,0
A_particle_msd,0.098,0.01144118016976791,0.011190034120021916,0
A_particle_msd,0.099,0.011598974372105678,0.011339275591807052,0
A_particle_msd,0.1,0.011756181063673175,0.011487906841538513,0
A_particle_msd,0.101,0.01191273952297289,0.011635581044594055,0
A_particle_msd,0.10200000000000001,0.012068529730954939,0.011782687799752329,0
A_particle_msd,0.10300000000000001,0.012223509353115902,0.011929068457425859,0
A_particle_msd,0.10400000000000001,0.012377845915233015,0.012074733502834943,0
A_particle_msd,0.105,0.012531164717063215,0.012219576818293717,0
A_particle_msd,0.106,0.012683482464613585,0.012363403581597219,0
A_particle_msd,0.107,0.01283482899873338,0.012506346130915313,0
A_particle_msd,0.108,0.012985155868323491,0.01264837465368989,0
A_particle_msd,0.109,0.013134457034186362,0.012789404887934914,0
A_particle_msd,0.11,0.013282931137506036,0.01292979926217945,0
A_particle_msd,0.111,0.013430397617404288,0.013069222772025551,0
A_particle_msd,0.112,0.013576790627301985,0.013208135667592786,0
A_particle_msd,0.113,0.013722082900111609,0.013346096692054296,0
A_particle_msd,0.114,0.013866254297265228,0.013482961479254199,0
A_particle_msd,0.115,0.014009164340142849,0.013618767302763539,0
A_particle_msd,0.116,0.014151221960698252,0.013753432901762093,0
A_particle_msd,0.117,0.014292418029208241,0.013887029206176052,0
A_particle_msd,0.11800000000000001,0.014432671614599199,0.014019809999968078,0
A_particle_msd,0.11900000000000001,0.014571885563046854,0.014151609700979954,0
A_particle_msd,0.12,0.01471022272419389,0.014282456318151188,0
A_particle_msd,0.121,0.014847681320954266,0.014412438623765261,0
A_particle_msd,0.122,0.01498406717245426,0.014541184946637118,0
A_particle_msd,0.123,0.01511929626450361,0.0146688020859104,0
A_particle_msd,0.124,0.015253261448808949,0.014795421870259218,0
A_particle_msd,0.125,0.015386105133774053,0.01492103600565186,0
A_particle_msd,0.126,0.015517855652485169,0.015045592809451993,0
A_particle_msd,0.127,0.01564835767253096,0.015168911330414217,0
A_particle_msd,0.128,0.01577756623414381,0.015291222939609054,0
A_particle_msd,0.129,0.015905731832161905,0.015412534314482794,0
A_particle_msd,0.13,0.01603279359990646,0.015532805209096988,0
A_particle_msd,0.131,0.016158841310805347,0.015651877758856944,0
A_particle_msd,0.132,0.01628358286831893,0.01576979514271413,0
A_particle_msd,0.133,0.01640701556187104,0.015886551049562485,0
A_particle_msd,0.134,0.016529440528072342,0.016002316571625732,0
A_particle_msd,0.135,0.016650721560399675,0.016116800291359007,0
A_particle_msd,0.136,0.01677084415647642,0.01623000877692424,0
A_particle_msd,0.137,0.016890095495854966,0.016342159056759516,0
A_particle_msd,0.138,0.01700808842444675,0.016453384605849358,0
A_particle_msd,0.139,0.01712487528645764,0.01656372181958881,0
A_particle_msd,0.14,0.01724053593022757,0.016672729957063304,0
A_particle_msd,0.14100000000000001,0.017355363784890106,0.016780633287274648,0
A_particle_msd,0.14200000000000002,0.01746911958060099,0.016887562476626376,0
A_particle_msd,0.14300000000000002,0.017581852611455603,0.01699363492989192,0
A_particle_msd,0.14400000000000002,0.01769375483590101,0.017098511175707643,0
A_particle_msd,0.145,0.017804589476156173,0.01720219230069447,0
A_particle_msd,0.146,0.01791410313353596,0.017304469272524003,0
A_particle_msd,0.147,0.018022376668631608,0.017405682989009876,0
A_particle_msd,0.148,0.018129483829627542,0.01750583606074125,0
A_particle_msd,0.149,0.018235438156372265,0.017604706782839676,0
A_particle_msd,0.15,0.01834040088966933,0.017702658972522267,0
A_particle_msd,0.151,0.01844400340841662,0.017799524468808055,0
A_particle_msd,0.152,0.018546482245754038,0.01789547953897855,0
A_particle_msd,0.153,0.018647968802787424,0.017990748561316924,0
A_particle_msd,0.154,0.01874817757185276,0.018085089734109015,0
A_particle_msd,0.155,0.018847620071082472,0.018178611287748975,0
A_particle_msd,0.156,0.018946078901628634,0.018271018013490636,0
A_particle_msd,0.157,0.01904357846431012,0.018362657073421912,0
A_particle_msd,0.158,0.019140175884795045,0.018453719302062112,0
A_particle_msd,0.159,0.019235872229676293,0.018543868811495903,0
A_particle_msd,0.16,0.019330622836288506,0.018632855195797448,0
A_particle_msd,0.161,0.019424642161526763,0.01872087349889383,0
A_particle_msd,0.162,0.019517899284425787,0.01880809034011812,0
A_particle_msd,0.163,0.019610263107636753,0.018894594100796313,0
A_particle_msd,0.164,0.01970175184721319,0.01898014402342375,0
A_particle_msd,0.165,0.019792628315330657,0.019065157039543864,0
A_particle_msd,0.166,0.019882398057750102,0.019149409568639825,0
A_particle_msd,0.167,0.019971426605287636,0.019232922447152013,0
A_particle_msd,0.168,0.020059746042796874,0.019315560955770108,0
A_particle_msd,0.169,0.020147106649911165,0.019397746000516886,0
A_particle_msd,0.17,0.020233860646764468,0.019479239935028737,0
A_particle_msd,0.171,0.020319957700069426,0.019560268592772177,0
A_particle_msd,0.17200000000000001,0.02040513291562568,0.019640752774771512,0
A_particle_msd,0.17300000000000001,0.02048990677697285,0.019720310900155885,0
A_particle_msd,0.17400000000000002,0.02057419964905235,0.019799244758137845,0
A_particle_msd,0.17500000000000002,0.02065767144233433,0.019877625493312248,0
A_particle_msd,0.176,0.020740604704510567,0.019955643283125792,0
A_particle_msd,0.177,0.020822864820687625,0.02003309811848805,0
A_particle_msd,0.178,0.020904596441153365,0.02010992539363308,0
A_particle_msd,0.179,0.020985446695782187,0.020186038171608738,0
A_particle_msd,0.18,0.021065588506362722,0.0202619684535872,0
A_particle_msd,0.181,0.021145043363663622,0.020337290078736362,0
A_particle_msd,0.182,0.021224102079438666,0.02041177169245416,0
A_particle_msd,0.183,0.02130270880825947,0.020485699719218684,0
A_particle_msd,0.184,0.021380505564389234,0.020559213292335937,0
A_particle_msd,0.185,0.021457778012642953,0.020632291991263218,0
A_particle_msd,0.186,0.021534567408032782,0.02070486270484696,0
A_particle_msd,0.187,0.021611005748089326,0.02077698645168736,0
A_particle_msd,0.188,0.02168664070287398,0.020848748319308254,0
A_particle_msd,0.189,0.02176165469464584,0.020920246423564832,0
A_particle_msd,0.19,0.021835891887110728,0.020991316764916362,0
A_particle_msd,0.191,0.02190963064886624,0.02106230468152997,0
A_particle_msd,0.192,0.021982764289274398,0.021132935574250375,0
A_particle_msd,0.193,0.022055369837982546,0.021203029957606867,0
A_particle_msd,0.194,0.022127321859572217,0.021272572938493634,0
A_particle_msd,0.195,0.022198954565904126,0.021341740763565844,0
A_particle_msd,0.196,0.0222700592358829,0.02141070046466313,0
A_particle_msd,0.197,0.022340782166535136,0.02147947488897325,0
A_particle_msd,0.198,0.022411263583181882,0.02154795647803394,0
A_particle_msd,0.199,0.022481030037866095,0.021615973194226274,0
A_particle_msd,0.2,0.02255039820707511,0.02168358936239113,0
