initial_lag_time,initial_correlation,target_correlation,efold_crossing_time,crossing_lower_lag,crossing_upper_lag,temperature_group,replicate,block_size,thermodynamic_claim_allowed,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,trajectory_sha256,trajectory_size_bytes,trajectory_hash_scope
100.0,0.03435275752247563,0.012637673240066398,116.44133684604279,100.0,200.0,high,4.0,100.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,31f2f4b65668a328e39dce653bd16e631acabb20cb269b71c64466187e7abf1e,236718166,complete_file
100.0,0.029797476526763195,0.010961879012984815,159.04813516327712,100.0,200.0,high,5.0,100.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,d6f7a59a7b08a43f314a78aa1cd1200b9d03b303375772c86b6420050aa46aaf,236726521,complete_file
20.0,0.25351807728560766,0.09326408859868787,214.7195358237861,200.0,220.0,low,1.0,20.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
20.0,0.25420054701424827,0.09351515518107661,195.26644218880998,180.0,200.0,low,2.0,20.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,5890bce162183b3a622ee4bbd45b3fcd97dccc84ed9527142f8d3ea52da05f61,1574632394,complete_file
20.0,0.25411703670846586,0.09348443345645333,225.93765786108997,220.0,240.0,low,3.0,20.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,263abeaaf4a6366a8379b282ca22f269387aeed921544f5a8561ea406286aee8,1575052965,complete_file
50.0,0.34167835299038773,0.12569644155848267,372.43253739035055,350.0,400.0,low,1.0,50.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
50.0,0.3430258774027213,0.1261921680862568,324.3690351072381,300.0,350.0,low,2.0,50.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,5890bce162183b3a622ee4bbd45b3fcd97dccc84ed9527142f8d3ea52da05f61,1574632394,complete_file
50.0,0.34405469369281355,0.12657064844812402,369.3997956918439,350.0,400.0,low,3.0,50.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,263abeaaf4a6366a8379b282ca22f269387aeed921544f5a8561ea406286aee8,1575052965,complete_file
100.0,0.38807185486067164,0.14276365710050895,539.6513449681222,500.0,600.0,low,1.0,100.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
100.0,0.38603899442885625,0.14201580954087317,490.20015430809116,400.0,500.0,low,2.0,100.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,5890bce162183b3a622ee4bbd45b3fcd97dccc84ed9527142f8d3ea52da05f61,1574632394,complete_file
100.0,0.3985011155769697,0.14660036770465198,559.5707972561928,500.0,600.0,low,3.0,100.0,0.0,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,263abeaaf4a6366a8379b282ca22f269387aeed921544f5a8561ea406286aee8,1575052965,complete_file
