radius,t=2.0,t=11.3,t=80.0,gaussian_t=2.0,gaussian_t=11.3,gaussian_t=80.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017155110793423873,0.0002514742942443795,0.00011909686729030594,6.5463490715240645e-06,0.0002460513513911987,8.301726854144683e-05,5.740317328004996e-06
0.034310221586847746,0.001005429045440117,0.00047622383183524436,2.6184213411117434e-05,0.0009837572368433575,0.00033199578479381416,2.2960415539359616e-05
0.05146533238027162,0.0022604609512264103,0.0010708902941830836,5.8910044693249166e-05,0.0022117741704816094,0.0007467157615139436,5.165773347481131e-05
0.06862044317369549,0.004014234811997364,0.0019022796295428816,0.00010471793003994054,0.003927866407255731,0.001326811156094726,9.182800306466417e-05
0.08577555396711936,0.0062634889762906544,0.002969250746457625,0.0001635995935172324,0.006128911029945935,0.002071770074373843,0.0001434652501222381
0.10293066476054324,0.009004042942162723,0.004270340263416099,0.0002355443982294556,0.008810905050794396,0.0029809353351896877,0.00020656179545445452
0.12008577555396711,0.012230807092474842,0.005803765297894001,0.00032053934901052106,0.011968974507668529,0.004053505194909677,0.0002811082562892915
0.13724088634739098,0.015937794535839923,0.00756742686077053,0.000418569095711224,0.01559738552903872,0.005288534230937032,0.00036709354801977916
0.15439599714081487,0.02011813501890435,0.00955891384754492,0.0005296159370813313,0.01968955733651729,0.006684934382984532,0.0004645048862641303
0.17155110793423872,0.024764090869683415,0.01177550761628241,0.0006536598252450072,0.024238077148276162,0.008241476150688282,0.000573327789241531
0.1887062187276626,0.029867074925854255,0.014214187140756104,0.0007906783707678994,0.029234716941355994,0.009956789945921328,0.0006935460804630423
0.2058613295210865,0.035417670396255756,0.01687163472582456,0.0009406468483140019,0.03467045202571733,0.011829367597956506,0.000825141891736988
0.22301644031451034,0.04140565259837095,0.019744242270698736,0.0011035382028901784,0.0405354813778821,0.013857564009420537,0.0009680956664881373
0.24017155110793423,0.04782001250929256,0.022828118064411138,0.001279323056676034,0.046819249677188,0.016039598960777342,0.0011223861633899135
0.2573266619013581,0.05464898206261318,0.02611909409650783,0.0014679697164365684,0.05351047098304442,0.018373559060878213,0.0012879904603087875
0.27448177269478197,0.06188006111885759,0.02961273386474568,0.0016694441815148873,0.060597153987153214,0.020857399840920384,0.0014648839585599473
0.2916368834882058,0.06950004603249921,0.03330434066039441,0.0018837101524019756,0.06806662877045318,0.02348894798896347,0.0016530403874732609
0.30879199428162973,0.07749505973429233,0.03718896631062171,0.0021107290398803685,0.07590557499057836,0.02626590372196627,0.0018524318092684752
0.3259471050750536,0.08585058324362033,0.041261420356381195,0.002350459974738324,0.08410005142190001,0.029185843292123946,0.002063028624238523
0.34310221586847744,0.09455148852182038,0.04551627964323139,0.0026028598180509207,0.09263552676676022,0.03224622162410893,0.0022847995762397513
0.36025732666190136,0.10358207257400759,0.04994789830159111,0.002867883172024252,0.10149691165331477,0.03544437507964728,0.0025177117584877953
0.3774124374553252,0.11292609270379898,0.05455041809208726,0.0031454823913987413,0.11066859173248982,0.03877752434569664,0.0027617306196577574
0.39456754824874907,0.12256680282253725,0.05931777909087361,0.0034356075954073625,0.12013446178393555,0.042242777442332624,0.003016819970287298
0.411722659042173,0.13248699071214484,0.06424373068910026,0.0037382066802843935,0.12987796073852928,0.045837132846297056,0.003282941989481149
0.42887776983559683,0.1426690161386064,0.06932184288009074,0.004053225332320055,0.13988210752295538,0.04955748272601482,0.003560057231915505
0.4460328806290207,0.15309484971129014,0.07454551780724195,0.0043806070414563174,0.15012953763016865,0.05340061628374661,0.0038481246351406927
0.46318799142244454,0.16374611238187253,0.07990800154519917,0.004720293115418856,0.16060254031813792,0.05736322320041141,0.004147101527180416
0.48034310221586846,0.17460411547554222,0.0854023960864788,0.005072222694380006,0.17128309633816977,0.06144189717848744,0.004456943634425839
0.4974982130092923,0.18564990114641167,0.0910216715054123,0.00543633276614739,0.18215291609333026,0.0656331395782815,0.004777605089822689
0.5146533238027162,0.19686428314867727,0.0967586782710695,0.0058125581818726565,0.19319347812701662,0.06993336314274629,0.005109038441349499
0.53180843459614,0.20822788781502144,0.10260615968068457,0.006200831672274683,0.2043860678415749,0.07433889580592197,0.0054511946607850225
0.5489635453895639,0.21972119513405863,0.10855676438505797,0.006601083864371341,0.21571181634702308,0.07884598457998312,0.005804023152762843
0.5661186561829878,0.2313245798192675,0.11460305897743531,0.007013243298713723,0.2271517393404023,0.08345079951578445,0.006167471764111039
0.5832737669764116,0.2430183522628397,0.12073754061747757,0.007437236447116785,0.23868677591705809,0.08814943773172067,0.006541486793474825
0.6004288777698356,0.25478279926918657,0.1269526496621246,0.007872987730879811,0.25029782721621946,0.09293792750564343,0.00692601300121992
0.6175839885632595,0.2665982244644825,0.1332407822754236,0.008320419539490333,0.26196579480461507,0.09781223242451602,0.0073209936196143655
0.6347390993566833,0.27844498828057607,0.13959430298974,0.008779452249804792,0.2736716187035143,0.1027682555864328,0.0077263703632865005
0.6518942101501072,0.29030354741385184,0.14600555719118646,0.00925000424569899,0.2853963149665109,0.10780184384958276,0.008142083439956654
0.6690493209435311,0.3021544936621793,0.1524668835025986,0.00973199193818146,0.29712101271756297,0.11290879212270005,0.008568071561440108
0.6862044317369549,0.3139785920459094,0.1589706260379494,0.010225329785962627,0.3088269905612607,0.11808484769151464,0.009004271954918831
0.7033595425303788,0.32575681812198337,0.16550914650272405,0.010729930316472304,0.3204957122799905,0.12332571457569537,0.009450620374479399
0.7205146533238027,0.33747039440356336,0.17207483611547172,0.01124570414731839,0.33210886173560517,0.12862705791076498,0.00990705111291442
0.7376697641172265,0.34910082580119595,0.1786601273265088,0.011772560008178966,0.3436483768963661,0.13398450834946354,0.010373497013784852
0.7548248749106504,0.36062993400532883,0.1852575053105638,0.01231040476312024,0.3550964829132934,0.1393936664770396,0.010849889483740395
0.7719799857040743,0.3720398907340299,0.1918595192110257,0.012859143433332554,0.3664357241736206,0.1448501072349623,0.011336158505095131
0.7891350964974981,0.38331324977397785,0.1984587931143807,0.013418679220276461,0.37764899526279844,0.1503493843475676,0.011832232648655638
0.806290207290922,0.3944329777471809,0.20504803673439512,0.013988913529230871,0.38871957077040104,0.15588703474618174,0.012338039086798553
0.823445318084346,0.4053824835404329,0.21162005578661774,0.014569745993235121,0.3996311338793448,0.16145858298529994,0.01285350360679466
0.8406004288777698,0.4161456463392073,0.2181677620348343,0.015161074497416657,0.4103678036820333,0.16705954564544653,0.013378550624376467
0.8577555396711937,0.42670684221249444,0.2246841829921983,0.015762795203696077,0.42091416117135005,0.17268543571739245,0.013913103197546175
0.8749106504646175,0.43705096920000625,0.23116247126089515,0.01637480257586088,0.43125527385884005,0.17833176696246808,0.014457083040620914
0.8920657612580414,0.4471634708581654,0.23759591349534617,0.016996989404999642,0.4413767189769257,0.18399405824377693,0.015010410538512063
0.9092208720514653,0.4570303582263632,0.2439779389751474,0.017629246835287563,0.4512646052265738,0.18966783782319094,0.01557300476123539
0.9263759828448891,0.4666382301800765,0.25030212777513555,0.01827146439011507,0.4609055930364604,0.19534864761909068,0.016144783478648752
0.943531093638313,0.4759742921425765,0.25656221852119504,0.018923529998550383,0.47028691330434064,0.2010320474199034,0.016725663175414022
0.9606862044317369,0.48502637313210706,0.26275211572164925,0.019585330022127187,0.47939638459601747,0.20671361904858743,0.017315559066179823
0.9778413152251607,0.4937829411265566,0.2688658966653202,0.020256749281948476,0.4882224287819901,0.2123889704733156,0.01791438511098168
0.9949964260185846,0.5022331167327592,0.2748978178785883,0.0209376710860975,0.4967540850965455,0.21805373985971824,0.01852205403085611
1.0121515368120084,0.5103666851526372,0.280842321135019,0.02162797725734664,0.5049810226086967,0.22370359956016217,0.019138477323665044
1.0293066476054324,0.5181741064434066,0.286694039012377,0.02232754816115518,0.5128935510989938,0.22933426003566398,0.019763565280127206
1.0464617583988562,0.5256465240740095,0.29244779999307086,0.023036262733946544,0.5204826303407685,0.23494147370616167,0.020397227000052594
1.06361686919228,0.5327757717847809,0.29809863310530194,0.02375399851165575,0.5277398777888701,0.240521038725002,0.021039370408776643
1.080771979985704,0.5395543787620933,0.30364177210339477,0.02448063165853803,0.5346575746833261,0.2460688026736378,0.021689902273790224
1.0979270907791279,0.5459755731443425,0.3090726591869739,0.025216036996228597,0.5412286705796719,0.2515806661726718,0.022348728221561767
1.1150822015725517,0.5520332838801204,0.3143869482598278,0.025960088033044885,0.5474467863218674,0.25705258640553136,0.023015752754547862
1.1322373123659757,0.5577221409637535,0.31958050773043223,0.02671265699352115,0.5533062154777799,0.26248058055120843,0.023690879268388372
1.1493924231593995,0.56303747407755,0.3246494228572281,0.02747361484816633,0.5588019242611425,0.2678607291226544,0.024374010069282262
1.1665475339528233,0.5679753096741166,0.3295899976428294,0.02824283134343542,0.5639295499676662,0.2731891792075803,0.025065046391540335
1.1837026447462473,0.5725323665359033,0.33439875628238563,0.02902017503190497,0.5686853979566167,0.2784621476085725,0.025763888415310885
1.2008577555396711,0.576706049852778,0.33907244417233484,0.029805513302642903,0.573066437212617,0.28367592387960217,0.02647043528447427
1.218012866333095,0.5804944438618456,0.3436080284867632,0.03059871241176331,0.577070294525723,0.2888268732561724,0.0271845851247026
1.235167977126519,0.5838963030969464,0.3480026983295095,0.03139963751315642,0.580695247330925,0.2939114394765221,0.02790623506168033
1.2523230879199427,0.5869110422982711,0.35225386447105445,0.03220815268938415,0.5839402152511364,0.29892614749147245,0.028635281239481773
1.2694781987133665,0.5895387250353061,0.3563591586800661,0.03302412098273177,0.5868047503904571,0.3038676060606842,0.029371618839101596
1.2866333095067906,0.5917800510988745,0.3603164326602816,0.033847404426405776,0.5892890264270157,0.30873251023326437,0.030115142097133955
1.3037884203002144,0.5936363427203611,0.3641237566041443,0.03467786407586853,0.5913938265570153,0.3135176437108432,0.030865744324596284
1.3209435310936382,0.5951095296783039,0.36777941737532205,0.035515360040300134,0.5931205303437145,0.31821988109141913,0.03162331792589365
1.3380986418870622,0.5962021333543757,0.3712819163328785,0.03635975151417763,0.5944710995269787,0.3228361899924496,0.032387754417919315
1.355253752680486,0.5969172498024082,0.37462996681046096,0.03721089680896219,0.5954480628507236,0.32736363305184546,0.03315894444928736
