heterogeneity_ratio,log10_one_plus_ratio,gamma_k,late_ngp_renewal_amplitude,late_alpha_decay_per_renewal,late_alpha_rate,poisson_alpha_decay_per_renewal,poisson_alpha_rate,alpha_rate_renormalization,static_gamma_late_ngp_plateau,inferred_ratio_from_late_ngp_amplitude,inferred_ratio_from_alpha_rate,log_ratio_residual,passes_joint_criterion
0.0,0.0,0.38368679808771045,1.0,0.38368679808771045,0.06906362365578787,0.38368679808771045,0.06906362365578787,1.0,2.5,0.0,0.0,0.0,0.0
0.5,0.17609125905568124,0.38368679808771045,1.5,0.3510023667428603,0.06318042601371485,0.38368679808771045,0.06906362365578787,0.9148148137810608,2.5,0.5,0.49999999999999967,-6.661338147750941e-16,0.0
1.0,0.3010299956639812,0.38368679808771045,2.0,0.32475152962557874,0.05845527533260417,0.38368679808771045,0.06906362365578787,0.8463974555396113,2.5,1.0,0.9999999999999989,-1.1102230246251571e-15,0.0
2.0,0.47712125471966244,0.38368679808771045,3.0,0.28474730031516743,0.051254514056730135,0.38368679808771045,0.06906362365578787,0.7421347352432868,2.5,2.0,1.9999999999999987,-6.661338147750941e-16,1.0
4.0,0.6989700043360189,0.38368679808771045,5.0,0.23252347629669828,0.04185422573340569,0.38368679808771045,0.06906362365578787,0.6060241776771887,2.5,4.0,3.999999999999999,-2.2204460492503136e-16,1.0
8.0,0.9542425094393249,0.38368679808771045,9.0,0.17543984524178954,0.03157917214352211,0.38368679808771045,0.06906362365578787,0.4572475417871536,2.5,8.0,7.999999999999998,-2.2204460492503136e-16,1.0
16.0,1.2304489213782739,0.38368679808771045,17.0,0.1228481960866291,0.022112675295593236,0.38368679808771045,0.06906362365578787,0.3201783243491899,2.5,16.0,16.0,0.0,1.0
25.0,1.414973347970818,0.38368679808771045,26.0,0.09440460177605386,0.016992828319689696,0.38368679808771045,0.06906362365578787,0.24604599961886897,2.5,25.0,25.0,0.0,1.0
40.0,1.6127838567197355,0.38368679808771045,41.0,0.06985183157431493,0.012573329683376688,0.38368679808771045,0.06906362365578787,0.1820543003367733,2.5,40.0,39.999999999999986,-3.33066907387547e-16,1.0
