model,temperature,segment_length,tau_L,replicate,lag,block_size,block_count,realization_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_msd_mc_se,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_ngp_mc_se,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
cross_particle_segment_splice,0.45,2.0,40.0,1.0,500.0,20.0,25.0,64.0,740602.0,0.576661308609587,0.12726889615088294,3.531046674011609,0.0002944602362463068,0.08008969530668386,2.240207131422164,2.1601174361154802,0.0005060007551227182,0.0,0.0,0.0,0.0,0.0,0.6846258484564305,0.9252086699236458,0.24058282146721532,0.00012476010468085846,0.23197977366812644,0.7741688168233672,0.5421890431552407,0.00018769098466388115,0.011563263318568207,0.533395281820343,0.5218320185017749,0.00013715559954202206,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,1000.0,20.0,50.0,64.0,658677.0,1.1365631374857696,0.21371648432894896,4.318088312441028,0.0008680626476653472,0.04147332336799765,2.035011317785304,1.9935379944173066,0.0006114797532054618,0.0,0.0,0.0,0.0,0.0,0.4739924593390511,0.8825336715723144,0.40854121223326334,0.00025253017533446114,0.05630021438243593,0.6840225543370759,0.62772233995464,0.0002505822551936129,0.00026058996460994344,0.43196745142274323,0.4317068614581333,0.00014146015648672697,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,2000.0,20.0,100.0,64.0,494827.0,2.256746728396735,0.38494087781746295,4.862580095915075,0.0025702199730291493,0.021614693655934342,1.5320813966552245,1.5104667029992902,0.001014247017132941,0.0,0.0,0.0,0.0,0.0,0.22718163007485004,0.8061233874084176,0.5789417573335676,0.0004550908374655519,0.003020054893415937,0.5436221107653332,0.5406020558719172,0.00027845689958673535,0.00014871382399492058,0.29754222992878293,0.29739351610478804,0.00014899821242854935,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,3000.0,20.0,150.0,64.0,330977.0,3.3783562444727986,0.5507382500974113,5.134232085523849,0.004910612884392974,0.015018886122208672,1.3301724324025965,1.3151535462803878,0.001164520987175052,0.0,0.0,0.0,0.0,0.0,0.10836471568324604,0.7425593344166428,0.6341946187333968,0.0005654315273986294,-0.00021933409772436187,0.44897180267658227,0.4491911367743066,0.00034268493221268573,-0.0001704689229703591,0.22221602781950803,0.22238649674247837,0.0001857640471579764,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,20.0,20.0,1.0,64.0,819250.0,0.03929389062211697,0.039439034265083064,0.0036802027653755065,1.89273848535253e-19,0.6731497960577879,0.6894572448102572,0.016307448752469256,2.1837970111944305e-17,0.0,0.0,0.0,0.0,0.0,0.9743614743712827,0.9742726065504118,8.886782087091927e-05,1.5832769686195665e-17,0.9034047335541044,0.9031194881740169,0.00028524538008756206,1.3987495347505254e-17,0.7279313603012416,0.7273620752980499,0.0005692850031917551,8.915313965402197e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,100.0,20.0,5.0,64.0,806142.0,0.08607612867206288,0.0570676716703697,0.5083168132257052,1.3721052846910768e-05,0.7172039081916081,1.6297339342658397,0.9125300260742316,0.0006429442230222192,0.0,0.0,0.0,0.0,0.0,0.9452884071729633,0.9637263303218477,0.018437923148884483,8.056655791418592e-06,0.8070759521611206,0.8712844740845151,0.06420852192339455,2.386709397702409e-05,0.5272106907028227,0.6701586799370863,0.14294798923426366,4.532803590064819e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,200.0,20.0,10.0,64.0,789757.0,0.14387860088189453,0.07543971565197483,0.9071996711340751,4.397403975064014e-05,0.5078054107663609,2.0528096750212144,1.5450042642548536,0.0008548279106575129,0.0,0.0,0.0,0.0,0.0,0.9105440316916747,0.9531991465279716,0.042655114836296804,2.511221186343029e-05,0.701682694254342,0.8424536039827798,0.14077090972843775,6.793518338042012e-05,0.35059564745912486,0.6251232912663965,0.2745276438072717,0.00010187059170786847,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,500.0,20.0,25.0,64.0,740602.0,0.31728648835640655,0.12726889615088294,1.4930403103382721,0.00021529441629131662,0.2612379810411223,2.240207131422164,1.9789691503810418,0.0011118563332088364,0.0,0.0,0.0,0.0,0.0,0.8138182165766276,0.9252086699236458,0.11139045334701825,0.00010778994683926195,0.46125496527239407,0.7741688168233672,0.3129138515509732,0.00021656209980260436,0.10311743410534553,0.533395281820343,0.4302778477149975,0.00018750156131782796,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,1000.0,20.0,50.0,64.0,658677.0,0.6067526953279992,0.21371648432894896,1.839054260288576,0.0006613706553734588,0.1422926982287735,2.035011317785304,1.8927186195565306,0.0010510507495535139,0.0,0.0,0.0,0.0,0.0,0.6746826267014471,0.8825336715723144,0.20785104487086736,0.00026893006008834295,0.228837845307233,0.6840225543370759,0.4551847090298429,0.00036285628944806393,0.012985715484443099,0.43196745142274323,0.4189817359383001,0.00022244920994260938,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,5.0,100.0,1.0,2000.0,20.0,100.0,64.0,494827.0,1.1869426403494887,0.38494087781746295,2.083441402947938,0.001863389128335341,0.07411760749542651,1.5320813966552245,1.4579637891597979,0.0012130026903930868,0.0,0.0,0.0,0.0,0.0,0.46331797533149716,0.8061233874084176,0.34280541207692045,0.000519979348843976,0.05622275574716964,0.5436221107653332,0.48739935501816356,0.00042629673729042744,0.00021699966051071286,0.29754222992878293,0.29732523026827223,0.0002053908315760339,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
