time,log10_time,renewal_mean,effective_shape,poisson_alpha_decay,gamma_exchange_alpha_decay,poisson_ngp,gamma_exchange_ngp,gamma_exchange_local_beta,poisson_scattering_susceptibility,gamma_exchange_scattering_susceptibility
0.02,-1.6989700043360187,5.3067494355726885e-08,0.4000000021226998,0.9999999796387032,0.9999999796387037,4.280773071818622e-05,4.280773639744941e-05,2.994979906330175,7.550584268933846e-09,7.550584824045359e-09
0.02020433881373341,-1.6945553572602106,5.470794031917081e-08,0.40000000218831766,0.9999999790092857,0.9999999790092864,4.3255450174362053e-05,4.325545609045621e-05,2.9949548023305397,7.781320032762551e-09,7.781320365829458e-09
0.02041076534500672,-1.6901407101844024,5.63990672320519e-08,0.4000000022559627,0.9999999783604228,0.9999999783604233,4.370795864150345e-05,4.370796480432941e-05,2.9949035600723164,8.019075514731355e-09,8.019075625753658e-09
0.020619300923906198,-1.6857260631085942,5.814243940617525e-08,0.4000000023256976,0.9999999776915138,0.9999999776915145,4.416530933259999e-05,4.416531575219146e-05,2.9948515852045148,8.264062767437963e-09,8.264062767437963e-09
0.020829967098446357,-1.681311416032786,5.99396699355742e-08,0.4000000023975869,0.9999999770019402,0.9999999770019409,4.462755651113426e-05,4.462756319834985e-05,2.994799021266658,8.51650028277362e-09,8.516500837885133e-09
0.021042785636796478,-1.6768967689569778,6.179242099377258e-08,0.4000000024716968,0.9999999762910641,0.9999999762910649,4.509475459291146e-05,4.509476155929244e-05,2.994745825723612,8.776613436012326e-09,8.776613880101536e-09
0.021257778529529956,-1.6724821218811694,6.370240661530968e-08,0.40000000254809626,0.9999999755582278,0.9999999755582286,4.55669590979646e-05,4.556696635472899e-05,2.994692298455675,9.044634152743924e-09,9.044634596833134e-09
0.02147496799189654,-1.6680674748053612,6.567139330712623e-08,0.40000000262685576,0.9999999748027537,0.9999999748027545,4.604422593557089e-05,4.604423349499514e-05,2.9946382025200364,9.320801352963315e-09,9.320801908074827e-09
0.021694376466117892,-1.663652827729553,6.770120230613352e-08,0.40000000270804814,0.9999999740239428,0.9999999740239436,4.65266118749863e-05,4.652661974976941e-05,2.9945834924970995,9.605360951070452e-09,9.605361728226569e-09
0.021916026623706515,-1.6592381806537448,6.979371083196128e-08,0.40000000279174847,0.9999999732210749,0.9999999732210758,4.701417425012622e-05,4.701418245329276e-05,2.994528139197996,9.89856652200416e-09,9.89856696609337e-09
0.022139941367808415,-1.6548235335779367,7.195085391924205e-08,0.40000000287803417,0.9999999723934077,0.9999999723934085,4.750697104793922e-05,4.750697959339932e-05,2.9944721280048725,1.020067919021983e-08,1.0200679523286738e-08
0.022366143835569674,-1.6504088865021285,7.41746263011045e-08,0.40000000296698507,0.9999999715401755,0.9999999715401766,4.800506098878721e-05,4.800506989064666e-05,2.9944158755155286,1.0511967296622515e-08,1.0511967740711725e-08
0.022594657400527227,-1.6459942394263203,7.64670845718185e-08,0.4000000030586834,0.9999999706605895,0.9999999706605907,4.850850373849802e-05,4.850851301187939e-05,2.994359082124106,1.0832707952879161e-08,1.0832708619012976e-08
0.022825505675024053,-1.641579592350512,7.883034801800525e-08,0.400000003153214,0.9999999697538366,0.9999999697538378,4.9017359236458447e-05,4.90173688965469e-05,2.994301371685083,1.1163186375284795e-08,1.1163187152440912e-08
0.023058712512649033,-1.637164945274704,8.126660191100365e-08,0.4000000032506641,0.9999999688190782,0.9999999688190794,4.953168856447476e-05,4.953169862759597e-05,2.9942432193792,1.1503696328851731e-08,1.1503697217030151e-08
0.02329430201070175,-1.6327502981988957,8.377809857663954e-08,0.40000000335112396,0.9999999678554501,0.9999999678554514,5.005155335613409e-05,5.005156383917098e-05,2.994184477764861,1.1854540016287274e-08,1.1854540904465694e-08
0.023532298512682476,-1.6283356511230875,8.636715966715836e-08,0.40000000345468645,0.9999999668620616,0.9999999668620629,5.057701594091135e-05,5.057702686143811e-05,2.9941252756124186,1.2216029077194435e-08,1.2216029965372854e-08
0.02377272661080759,-1.6239210040472791,8.903617860926694e-08,0.40000000356144716,0.9999999658379943,0.9999999658379957,5.1108139538902364e-05,5.110815091519352e-05,2.9940652411370365,1.2588484143982726e-08,1.2588485143183448e-08
