record,member_index,epsilon,stride,frame_time,maximum_time,position_velocity_relative_l2_error,velocity_force_relative_l2_error,force_generator_relative_l2_error,generator_second_relative_l2_error,tangent_innovation_rms,tangent_innovation_lag1_correlation,tangent_innovation_squared_norm_lag1_correlation,symmetric_tangent_residual_rms,symmetric_tangent_residual_lag1_correlation,symmetric_tangent_residual_squared_norm_lag1_correlation,symmetric_tangent_residual_max_abs_component_excess_kurtosis,symmetric_tangent_residual_normalized_mean,dump_float_format_verified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,reference_epsilon,symmetric_residual_cross_epsilon_relative_l2_error,symmetric_residual_cross_epsilon_correlation,maximum_symmetric_residual_cross_epsilon_relative_l2_error,minimum_symmetric_residual_cross_epsilon_correlation
resolution_aggregate,,0.001,1,0.001,0.2,0.009475742239279385,0.0005567922154165448,0.009055002583866658,0.42692878174308224,65.63998648678786,0.5151175144651287,0.5006055204556713,65.95794570549147,0.5125877146135752,0.5027063667338202,4.937821624864963,1.6018045511491892,1.0,0.0,0.0,,,,,
resolution_member,1,0.001,1,0.001,0.2,,,,,72.76757874187388,0.5190346173888651,0.5495738724175444,72.88469593247262,0.5150822702330825,0.5379430382008907,3.6938907706995945,1.3481339572090572,1.0,0.0,0.0,,,,,
resolution_member,2,0.001,1,0.001,0.2,,,,,68.21346697064644,0.5114541412755167,0.3339982242684832,68.14897154384263,0.5060783876550249,0.3250201795062064,4.0459778804708275,1.0815388107186865,1.0,0.0,0.0,,,,,
resolution_member,3,0.001,1,0.001,0.2,,,,,58.7406836207769,0.46013604970378263,0.39774001307356766,58.97906853661839,0.4537148579187205,0.38680264977170975,4.439197542258227,2.6230346162905556,1.0,0.0,0.0,,,,,
resolution_member,4,0.001,1,0.001,0.2,,,,,61.368239183692644,0.5088722859851419,0.4225984275110245,60.950990170871954,0.49346111592133846,0.4236657266378899,3.524221771979768,1.7773694653997119,1.0,0.0,0.0,,,,,
resolution_member,5,0.001,1,0.001,0.2,,,,,60.323478663009546,0.48275115567772947,0.46957933297368704,61.17555990592247,0.4886359798919872,0.4837524297681016,10.103685650683808,0.5307141992646283,1.0,0.0,0.0,,,,,
resolution_member,6,0.001,1,0.001,0.2,,,,,69.17886906528257,0.5303119147264193,0.47914595099939306,69.85741365534132,0.5302400663773319,0.4952593035389111,4.494735221206775,1.5149735451201094,1.0,0.0,0.0,,,,,
resolution_member,7,0.001,1,0.001,0.2,,,,,51.60945306831143,0.5308190282951134,0.5957980765412941,52.81264617217502,0.5418725038559066,0.6089979224175182,8.649071954362148,2.3195546074375453,1.0,0.0,0.0,,,,,
resolution_member,8,0.001,1,0.001,0.2,,,,,78.84137666139414,0.5406579066903544,0.5482596638464131,79.00573962361993,0.5386591073693683,0.5602071525054964,3.4396000011444894,1.8609238246734292,1.0,0.0,0.0,,,,,
resolution_aggregate,,0.002,1,0.001,0.2,0.00474277345829041,0.0004715249760748224,0.004521356065594081,0.42697568516341994,65.65044310467421,0.5149079867925983,0.5005212409197789,65.96806612711778,0.5123859829951044,0.5026774285300598,4.936148979480121,1.6015252024871809,1.0,0.0,0.0,,,,,
