block_index,diffusion,alpha_relaxation_time,diffusion_alpha_product,ngp_peak,ngp_peak_time,overlap_chi4_peak,overlap_chi4_peak_time,temperature,block_size,diffusion_lag
0.0,0.002949710005218589,4.558174820326537,0.013445293873052629,0.3287256898596309,8.0,3.216295063814591,8.0,0.7,699.0,512.0
1.0,0.0028391775713341384,4.409588801385968,0.012519605623701226,0.3195966226920415,8.0,2.409297406160096,8.0,0.7,699.0,512.0
2.0,0.00305157494034044,4.536047930103323,0.013842090191686425,0.3263957039102068,8.0,2.8751040365259524,8.0,0.7,699.0,512.0
3.0,0.002987508101089474,4.444768465013876,0.01327878179669598,0.3148485361299158,8.0,2.0874473509161753,4.0,0.7,699.0,512.0
4.0,0.0029118001042196845,4.44362937757227,0.012938960484728588,0.31417374722929536,8.0,2.8897360616443346,8.0,0.7,699.0,512.0
5.0,0.00286071064550574,4.493473049298717,0.012854526187421977,0.3304056126283246,8.0,3.5971978357119476,8.0,0.7,699.0,512.0
6.0,0.003052599616924173,4.4340242282693545,0.013535300660647532,0.3121352435442315,8.0,2.626790453202883,8.0,0.7,699.0,512.0
7.0,0.003030610096905398,4.542257600045428,0.013765811745442955,0.32722839634983636,8.0,2.841042955358502,8.0,0.7,699.0,512.0
8.0,0.0029001154200791503,4.520693887353906,0.01311053405217262,0.31871406391905377,8.0,3.1605243588750525,8.0,0.7,699.0,512.0
9.0,0.0030376139082209977,4.447884890895144,0.013510957006749123,0.31535854889712667,8.0,3.115952653402596,8.0,0.7,699.0,512.0
