record,model,held_clone_index,history_length,state_mode_count,captured_total_drift_variance_fraction,captured_center_drift_variance_fraction,captured_relative_drift_variance_fraction,split_mode_count,trajectory_sha256,heldout_state_r_squared,heldout_velocity_r_squared,heldout_velocity_residual_mean_squared,maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,heldout_linear_velocity_r_squared,heldout_linear_velocity_residual_mean_squared,thermodynamic_claim_allowed,maximum_center_velocity_residual_lag_correlation,maximum_relative_velocity_residual_lag_correlation,maximum_relative_position_residual_lag_correlation,maximum_center_drift_residual_lag_correlation,maximum_relative_drift_residual_lag_correlation,terminal_diffusion_relative_error,multi_k_fs_max_relative_error,ngp_max_absolute_error,observed_event_rate,predicted_event_rate,event_rate_relative_error,observed_event_count,predicted_event_count,maximum_force_cache_absolute_error,force_cache_relative_rms_error,force_cache_correlation,maximum_noise_reconstruction_relative_error,minimum_joint_noise_covariance_eigenvalue,maximum_directional_step_relative_error,geometric_to_projected_force_rms_ratio,spectral_radius,stationary_covariance_relative_error,fit_parameters_from_macro_observables
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.997837954068488,0.9781766590475462,0.012590733028640501,0.24165324065685784,0.8569126517990755,0.9781766590475462,0.012590733028640501,0.0,nan,nan,nan,nan,0.8569126517990755,2.8534838682950365,0.8069108115690459,0.2581095609159898,0.036379511059371365,0.05372670807453416,0.4768397515527949,20.0,692.0,0.0008631747866303385,4.576035639303544e-06,0.999999999989533,3.2026573302766857e-16,0.06675312000941357,1.7857857031342814e-09,0.1664730013472596,0.9906045351791992,5.923592771685177e-15,0.0
held_clone,split_cage_drift_8,1.0,64.0,19.0,nan,0.8846120406411022,0.8917624760441284,8.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9977705635677823,0.9649204770171147,0.04468102716207674,0.2795192499927276,0.9132106775048578,0.9666656377763275,0.019231888295777592,0.0,0.5086528233714797,0.6121744735947645,0.5702339228798549,0.904421618096133,0.9132106775048578,19.904567107306562,1.0201598163319636,0.24806673353916142,0.036379511059371365,0.633695652173913,16.419026086956517,20.0,8162.0,0.0008631747866303385,4.576035639303544e-06,0.999999999989533,3.2026573302766857e-16,0.06675312000941357,1.7857857031342814e-09,0.1664730013472596,0.9944374235747467,2.724815479932854e-13,0.0
held_clone,split_cage_drift_16,1.0,64.0,35.0,nan,0.9905906515393167,0.9897599584937994,16.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9982124660472598,0.9782068014853604,0.027758145264866196,0.6519208547660265,0.8475551444448205,0.9785465174425604,0.012377347355009227,0.0,0.33300958486675003,0.38562014782354165,0.3186448703564823,0.8475551444448205,0.8465457972017376,3.0650105945519996,0.8426263247610973,0.23845595276176557,0.036379511059371365,0.05753105590062112,0.5814136645962731,20.0,741.0,0.0008631747866303385,4.576035639303544e-06,0.999999999989533,3.2026573302766857e-16,0.06675312000941357,1.7857857031342814e-09,0.1664730013472596,0.990998561822053,4.421810476729288e-14,0.0
held_clone,raw_hankel_16,2.0,64.0,17.0,0.9897032478085849,nan,nan,0.0,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99786236511848,0.9781205937875167,0.012608135940991751,0.21651448346992377,0.8545126182388575,0.9781205937875167,0.012608135940991751,0.0,nan,nan,nan,nan,0.8545126182388575,2.9209685364813134,0.8206780006359856,0.21068035240410032,0.0400174621653085,0.056754658385093165,0.41824731789949166,22.0,731.0,0.07063581163679711,1.1742456759668066e-05,0.9999999999310536,3.0968728405468126e-16,0.06534420081079942,1.949251005112002e-09,0.16659331133921787,0.9904821838743412,5.510224169828211e-15,0.0
held_clone,split_cage_drift_8,2.0,64.0,19.0,nan,0.8855382501779832,0.8927856407191761,8.0,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9977135394621995,0.9641748298592494,0.045051650015294965,0.2775364345586722,0.9137277373511073,0.9662577139582639,0.019444189903623108,0.0,0.5140211156596254,0.6114487734320211,0.5694571394406164,0.9037126711395421,0.9137277373511073,20.173497695954445,1.012508915189374,0.19949814672203292,0.0400174621653085,0.6241459627329192,14.596840203274985,22.0,8039.0,0.07063581163679711,1.1742456759668066e-05,0.9999999999310536,3.0968728405468126e-16,0.06534420081079942,1.949251005112002e-09,0.16659331133921787,0.9945048975271986,4.643900067914653e-13,0.0
held_clone,split_cage_drift_16,2.0,64.0,35.0,nan,0.990566609812009,0.9897761153966929,16.0,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99820303649734,0.9779818166621147,0.02768878656580811,0.669518277485182,0.8509713639723405,0.9784858269516434,0.012397668191604578,0.0,0.3293167351738471,0.3832124292181679,0.3153529819229512,0.8509713639723405,0.8417048555578106,3.214643210146206,0.8503643556454196,0.22571684681435256,0.0400174621653085,0.061490683229813665,0.5365962732919254,22.0,792.0,0.07063581163679711,1.1742456759668066e-05,0.9999999999310536,3.0968728405468126e-16,0.06534420081079942,1.949251005112002e-09,0.16659331133921787,0.9910902854171426,3.6874951480546747e-14,0.0
held_clone,raw_hankel_16,3.0,64.0,17.0,0.989665152275856,nan,nan,0.0,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9978536273177243,0.978599844547131,0.012602310012949489,0.2533938893612832,0.8562626173186112,0.978599844547131,0.012602310012949489,0.0,nan,nan,nan,nan,0.8562626173186112,3.255067436766751,0.8440300932331178,0.3492607096316297,0.03819848661233993,0.04922360248447205,0.2886270334220644,21.0,634.0,0.0008043169415117291,4.612226491746228e-06,0.999999999989361,3.134219469404895e-16,0.0664053334796137,2.2247980583118712e-09,0.16707720830149042,0.9905077225020728,7.537182137594277e-15,0.0
held_clone,split_cage_drift_8,3.0,64.0,19.0,nan,0.884896990707235,0.8926602254470802,8.0,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9977423420530619,0.965426412287456,0.04466490466851608,0.26330808824381974,0.9144600735550991,0.9673334103559337,0.0192369859493305,0.0,0.5147249444398068,0.6109523170446234,0.5698265616116835,0.905166007554133,0.9144600735550991,21.13573105582004,1.0087083566871256,0.3492861315577507,0.03819848661233993,0.6336180124223603,15.587516119491273,21.0,8161.0,0.0008043169415117291,4.612226491746228e-06,0.999999999989361,3.134219469404895e-16,0.0664053334796137,2.2247980583118712e-09,0.16707720830149042,0.9944668135698198,4.709955362310048e-13,0.0
held_clone,split_cage_drift_16,3.0,64.0,35.0,nan,0.9905196630290917,0.989739573130313,16.0,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9981998029425272,0.9785661265847394,0.027689978856961787,0.6164457309314071,0.8438318715524514,0.9789831103284924,0.012376609120041977,0.0,0.3358477911369256,0.3893242041245436,0.32209413908398216,0.8438318715524514,0.8425208077697252,3.352591253148768,0.8124706734233377,0.3418623322665193,0.03819848661233993,0.05753105590062112,0.5061082519964506,21.0,741.0,0.0008043169415117291,4.612226491746228e-06,0.999999999989361,3.134219469404895e-16,0.0664053334796137,2.2247980583118712e-09,0.16707720830149042,0.9909441923978985,2.001387386274671e-13,0.0
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9978984608491184,0.9781623939200556,0.0124659991634282,0.2709995196857439,0.8572946298744828,0.9781623939200556,0.0124659991634282,0.0,nan,nan,nan,nan,0.8572946298744828,2.9064396792934373,0.8060396770439238,0.1897220952110925,0.03456053550640279,0.06055900621118013,0.7522589081399151,19.0,780.0,0.03338485865740992,6.920570996358302e-06,0.9999999999760588,3.3152604510520896e-16,0.06795218149776103,1.4407844232035817e-09,0.16638272364030746,0.9903640217226398,4.371111730943393e-15,0.0
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.997702710835635,0.9644191138808191,0.04429067292896304,0.2764163429284167,0.9151555244434727,0.9666205916680934,0.01905463789473821,0.0,0.5150680458305876,0.6077406923147932,0.5653296968016259,0.9068461281161024,0.9151555244434727,20.108019436296846,0.9906962504893307,0.20106218319912883,0.03456053550640279,0.638664596273292,17.479592023537105,19.0,8226.0,0.03338485865740992,6.920570996358302e-06,0.9999999999760588,3.3152604510520896e-16,0.06795218149776103,1.4407844232035817e-09,0.16638272364030746,0.9944017226311412,3.5961719414532875e-13,0.0
held_clone,split_cage_drift_16,4.0,64.0,35.0,nan,0.9904401681388011,0.9897476192043488,16.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9982077458773305,0.9778701365629947,0.027546996445449556,0.6367822294338366,0.8507170402913397,0.9785198795233413,0.01226192847842804,0.0,0.3211338144875293,0.3793499115623475,0.3122165102704235,0.8507170402913397,0.8429219691899932,2.9374614090704037,0.8289507454876576,0.20029673414680915,0.03456053550640279,0.056444099378881986,0.6331951618175875,19.0,727.0,0.03338485865740992,6.920570996358302e-06,0.9999999999760588,3.3152604510520896e-16,0.06795218149776103,1.4407844232035817e-09,0.16638272364030746,0.9910639237689325,2.846390383209166e-13,0.0
