comparison,lag_count,maximum_msd_relative_error,maximum_ngp_absolute_error,maximum_fs_absolute_error,msd_relative_error_tolerance,ngp_absolute_error_tolerance,fs_absolute_error_tolerance,curve_transfer_pass,temperature,calibration_time,block_size,independent_replicate_count,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
early_late,6.0,0.045080487634443944,0.12639737355285563,0.006471854858050408,0.1,0.3,0.03,1.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0,0.0,0.0,0.0
early_heldout,6.0,0.04101135119520749,0.040381556152536024,0.021493722775316915,0.1,0.3,0.03,1.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0,0.0,0.0,0.0
late_heldout,6.0,0.08237818986030598,0.1014658417640244,0.016631386123448832,0.1,0.3,0.03,1.0,0.45,5000.0,20.0,3.0,8.0,110.0,211003.0,0.0,0.0,0.0
