replicate,temperature,lag,observed_msd,event_msd,residual_msd,factorized_msd,msd_relative_error,observed_ngp,event_ngp,residual_ngp,factorized_ngp,ngp_absolute_error,oracle_uses_heldout_events_and_residual,prediction_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,event_fs_k2,residual_fs_k2,factorized_fs_k2,absolute_error_fs_k2,observed_fs_k4,event_fs_k4,residual_fs_k4,factorized_fs_k4,absolute_error_fs_k4,observed_fs_k7p25,event_fs_k7p25,residual_fs_k7p25,factorized_fs_k7p25,absolute_error_fs_k7p25
1.0,0.58,10.0,0.10750766441484316,0.049459916053939075,0.09694121751350693,0.146401133567446,0.36177391969491035,0.5215776650020589,7.828559626674862,0.46429609292183693,1.0970850183732046,0.5755073533711457,1.0,0.0,0.0,0.932042696508698,0.9713179324912159,0.938284805176206,0.9113728570516758,0.020669839457022166,0.7649719650823928,0.9197163776440846,0.782459530589909,0.719640845127242,0.04533111995515082,0.4560534322972421,0.873378354888089,0.47663575966690286,0.4162833556587142,0.039770076638527885
1.0,0.58,20.0,0.16660841604263024,0.09818320617097337,0.12566839990104875,0.22385160607202212,0.3435792224010161,0.5385549106326213,3.813630553363441,0.3276535920593482,0.836919688747648,0.2983647781150267,1.0,0.0,0.0,0.8977103424506039,0.9437075597324515,0.9206472690066085,0.8688217876085723,0.028888554842031566,0.6706091522002315,0.8464839028482145,0.726807824590717,0.6152311239801707,0.05537802822006088,0.3302563514537057,0.7665549045462,0.3822998145865589,0.2930537978784296,0.037202553575276076
1.0,0.58,50.0,0.33915786238642154,0.24477766051355518,0.16951929533105725,0.41429695584461246,0.22154607571084628,0.4228744500577841,1.4968657711584212,0.2443501094663152,0.5634298146153711,0.140555364557587,1.0,0.0,0.0,0.8059051064886428,0.8654481849777611,0.8944891974421193,0.7741340524084963,0.031771054080146466,0.46632311008109595,0.6625721675150108,0.6510527168924669,0.4313694097979785,0.03495370028311745,0.14432782920476006,0.5305350472963344,0.28009889357163975,0.14860227974868082,0.004274450543920755
1.0,0.58,100.0,0.6244853324897498,0.49750347788957255,0.19344311075919624,0.6909465886487688,0.10642564797165965,0.2825033492140283,0.7172195556989069,0.3385149449269702,0.3983729586415705,0.11586960942754221,1.0,0.0,0.0,0.6748742076596806,0.7449394010875829,0.881391240847846,0.656583063081036,0.01829114457864467,0.25770578929215066,0.43350252808765666,0.6214112747518473,0.2693833585870992,0.011677569294948564,0.03757140173250425,0.2872317922786726,0.25928797197549036,0.07447574890682233,0.036904347174318085
1.0,0.58,200.0,1.1970958003749623,1.0280418068105244,0.19405081208283484,1.2220926188933592,0.020881218120193168,0.17003137790337108,0.33055614931605204,0.5004973834758808,0.24653424504878263,0.07650286714541155,1.0,0.0,0.0,0.4733264732392782,0.5428254528471689,0.8821151552069045,0.47883455858853863,0.00550808534926045,0.07641999280253814,0.17375741054947494,0.6279752204917592,0.10911534820188366,0.032695355399345524,0.0035374896626027496,0.08503500741680234,0.2668727897118881,0.022693529652493136,0.019156039989890388
1.0,0.58,400.0,2.302522122507715,2.1038259187275288,0.17981279256783744,2.2836387112953664,0.00820118557288052,0.08241548506967367,0.13522767291822713,0.356509247261217,0.11698085951729076,0.03456537444761709,1.0,0.0,0.0,0.2367746362454057,0.28079873466842004,0.8891676103029094,0.24967713988119974,0.012902503635794038,0.005007075510426834,0.01814050943604647,0.6395666016048446,0.011602063971392856,0.006594988460966022,-0.0015893870932790705,0.005370611731113992,0.26780371988369417,0.0014382697996433334,0.0030276568929224036
1.0,0.58,600.0,3.5092386999443375,3.268287550581972,0.16867140450938176,3.4369589550913537,0.02059698727650816,0.04880248109629837,0.07771697128446275,0.2927907575345845,0.07098127333559301,0.022178792239294642,1.0,0.0,0.0,0.10971466137823888,0.13458483695465123,0.8952536100819471,0.12048756114594177,0.01077289976770289,0.003664696471714173,0.0017130925096514472,0.6547917559645492,0.0011217188525243875,0.0025429776191897855,-0.002099056579231919,-0.0022249918934961477,0.2868085734026449,-0.0006381467508060797,0.0014609098284258395
2.0,0.58,10.0,0.1083795327477406,0.05086044444187199,0.09809578041341946,0.14895622485529145,0.3743944181969796,0.5107570349990798,7.5314573966595635,0.4721249401384109,1.0828133074454604,0.5720562724463807,1.0,0.0,0.0,0.9314878117545882,0.9705034003918238,0.9375999185178888,0.909943909128708,0.02154390262588013,0.7630886989191645,0.9174727738630828,0.780397338231381,0.7159933106225116,0.04709538829665294,0.45249722124563235,0.8705359811671682,0.47299900636790077,0.41176265409957613,0.04073456714605622
2.0,0.58,20.0,0.16893775764805471,0.10060950054352952,0.12783754681932818,0.2284470473628577,0.3522557096962169,0.5268513866039641,3.708212746069913,0.33862535263228755,0.825275090310549,0.2984237037065849,1.0,0.0,0.0,0.8963572500530242,0.9423522424504549,0.9193903261854648,0.8663895355681279,0.029967714484896324,0.6669561225844329,0.8430848122616051,0.7233443756281148,0.6098406571269172,0.05711546545751578,0.3258010831779263,0.7629047665049582,0.37750168774125836,0.28799783694147235,0.037803246236453925
2.0,0.58,50.0,0.3480981429257765,0.2511189361646487,0.1750211283778741,0.4261400645425228,0.22419516795120287,0.38597304695839774,1.4392210863594737,0.24487031347455823,0.5410891845796038,0.15511613762120602,1.0,0.0,0.0,0.8008231657400701,0.8620391488771572,0.8912929776090602,0.7683294398183014,0.03249372592176869,0.4542248156903705,0.6553278465836181,0.6424179184285086,0.42099435109048494,0.033230464599885545,0.13383432081023175,0.5239516077554697,0.2701660667257628,0.14155394502193494,0.007719624211703191
2.0,0.58,100.0,0.6429152367660607,0.5117092370148522,0.19940755395750834,0.7111167909723605,0.10608172011813188,0.2515771495978034,0.6740343527076111,0.34286220610653695,0.37597714422736206,0.12439999462955864,1.0,0.0,0.0,0.6661168891936906,0.738398280413167,0.8780556767657386,0.6483548018308409,0.017762087362849677,0.24525439631843157,0.424625367813449,0.613305083704955,0.26042489675007463,0.015170500431643058,0.03400429515488748,0.2813387523830024,0.2514358000118025,0.07073863427974261,0.03673433912485513
2.0,0.58,200.0,1.239448946514999,1.070464277659983,0.1979086085547184,1.2683728862147015,0.023336128350448737,0.13004647316350693,0.2772052929909783,0.5314759720853437,0.21038720176176917,0.08034072859826225,1.0,0.0,0.0,0.45825187248330496,0.5262114857469766,0.8801399250499944,0.4631397376257902,0.004887865142485237,0.06963898340301387,0.15995990291890985,0.6240811547744572,0.09982796093124334,0.030188977528229466,0.0013632909193586297,0.07226848391952102,0.26216001113316867,0.018945906548918853,0.017582615629560223
2.0,0.58,400.0,2.446386944815099,2.241535088935754,0.1843881621770934,2.4259232511128475,0.008364863843646098,0.06244093818479679,0.10721596904733999,0.4640876246845067,0.09421804487158969,0.0317771066867929,1.0,0.0,0.0,0.2134958630148948,0.2555718373541897,0.8869511156603725,0.22667972627266983,0.013183863257775041,-0.0008022615567074514,0.013299866234357883,0.6351647958880449,0.008447606822084223,0.009249868378791675,0.0005040949482152632,0.0030900852993758633,0.2637147021427316,0.0008149009243205395,0.0003108059761052763
2.0,0.58,600.0,3.687875142081927,3.428279750759087,0.17169819122050006,3.599977941979587,0.023834104115769805,0.05260664913915636,0.07710358139227935,0.3519960449321915,0.07072487892433643,0.018118229785180073,1.0,0.0,0.0,0.09566220281545856,0.12157589781244593,0.8937683538027784,0.10866069004992461,0.012998487234466047,-0.0033646927489369453,-0.0003228514337344084,0.6525790739457146,-0.00021068608964844646,0.003154006659288499,0.004720807730679563,0.006055521149117007,0.2873394143431005,0.0017399899005295398,0.0029808178301500236
3.0,0.58,10.0,0.10975445504306826,0.05188476302896115,0.0993085260494205,0.15119328907838164,0.37755947144972435,0.49736612603232255,7.430945960000377,0.46889834174529743,1.0773978860193552,0.5800317599870326,1.0,0.0,0.0,0.9306286338583718,0.9699290381192317,0.9368689740969269,0.9086964228895837,0.021932210968788057,0.760305793190972,0.9161010635182852,0.7780992118387865,0.7128175154882518,0.04748827770272024,0.44752078500364273,0.8688983811272943,0.46865626829420376,0.40721467282599255,0.04030611217765018
3.0,0.58,20.0,0.17092970264885723,0.10236834380550172,0.12901090462371922,0.23137924842922095,0.3536515002576579,0.5122257578577492,3.6076251575223868,0.32559776222960934,0.8073858112346137,0.2951600533768646,1.0,0.0,0.0,0.8951448081875134,0.9412861951595677,0.918648446109672,0.8647111005278223,0.03043370765969111,0.6632518336417978,0.8402518980258932,0.7207995526666254,0.6056531922243468,0.05759864141745108,0.3201497833263796,0.7592549108829089,0.3727932669230048,0.28304511865537446,0.03710466467100515
3.0,0.58,50.0,0.35200535714159076,0.25589630887180026,0.17586853660324764,0.4317648454750479,0.22658600704583787,0.3687029561107362,1.375346003863989,0.23448983409918123,0.522014394252666,0.15331143814192982,1.0,0.0,0.0,0.7983525595494251,0.8590291173116319,0.890773668660043,0.7652005183134808,0.033152041235944285,0.4471147794155726,0.6471291651012069,0.640747118590666,0.4146461478945817,0.03246863152099089,0.12685078590395715,0.5132121956706873,0.26703547463330424,0.1370458622585222,0.010195076354565041
3.0,0.58,100.0,0.6490628751575198,0.5171413142115875,0.1988087420070953,0.7159500562186828,0.10305192859001555,0.23437116016865156,0.6329909793667521,0.34088923230990886,0.35654151611299456,0.122170355944343,1.0,0.0,0.0,0.6619462153179251,0.7338942577904719,0.8783845751765043,0.6446413958537596,0.01730481946416551,0.23653364403034716,0.4113809265985291,0.6140725679742356,0.2526177420119793,0.01608409798163213,0.030106976491711682,0.2672832265072462,0.2518634922608303,0.06731888685085756,0.03721191035914588
3.0,0.58,200.0,1.2379225427306952,1.0644768274405796,0.195798559280002,1.2602753867205816,0.018056738784786086,0.13217344675646325,0.2807087290912835,0.5156096277006676,0.21270689171400914,0.08053344495754589,1.0,0.0,0.0,0.4559535285015441,0.5249358217221481,0.8811828683375778,0.4625644530782659,0.0066109245767217995,0.06618843322415519,0.15435518961142658,0.6257021321018174,0.0965803712408499,0.03039193801669471,0.0027120523878897368,0.0679483089012104,0.2621045773150051,0.017809562783821148,0.01509751039593141
