replicate,temperature,block_size,window,count_value,frequency,probability,observation_count
1.0,0.45,20.0,calibration,0.0,755291.0,0.9219298138541349,819250.0
1.0,0.45,20.0,calibration,1.0,48659.0,0.05939456820262435,819250.0
1.0,0.45,20.0,calibration,2.0,12645.0,0.015434848947207811,819250.0
1.0,0.45,20.0,calibration,3.0,2330.0,0.002844064693317058,819250.0
1.0,0.45,20.0,calibration,4.0,298.0,0.0003637473298748856,819250.0
1.0,0.45,20.0,calibration,5.0,26.0,3.1736344217271896e-05,819250.0
1.0,0.45,20.0,calibration,6.0,1.0,1.2206286237412266e-06,819250.0
1.0,0.45,20.0,heldout,0.0,753825.0,0.9201403722917303,819250.0
1.0,0.45,20.0,heldout,1.0,49397.0,0.060295392126945374,819250.0
1.0,0.45,20.0,heldout,2.0,13176.0,0.016083002746414405,819250.0
1.0,0.45,20.0,heldout,3.0,2462.0,0.0030051876716509,819250.0
1.0,0.45,20.0,heldout,4.0,348.0,0.0004247787610619469,819250.0
1.0,0.45,20.0,heldout,5.0,40.0,4.8825144949649066e-05,819250.0
1.0,0.45,20.0,heldout,6.0,2.0,2.4412572474824533e-06,819250.0
1.0,0.45,50.0,calibration,0.0,278042.0,0.8484650595056454,327700.0
1.0,0.45,50.0,calibration,1.0,28688.0,0.08754348489472077,327700.0
1.0,0.45,50.0,calibration,2.0,13028.0,0.039755874275251755,327700.0
1.0,0.45,50.0,calibration,3.0,5285.0,0.016127555691180958,327700.0
1.0,0.45,50.0,calibration,4.0,1875.0,0.005721696673787,327700.0
1.0,0.45,50.0,calibration,5.0,581.0,0.0017729630759841318,327700.0
1.0,0.45,50.0,calibration,6.0,152.0,0.0004638388770216662,327700.0
1.0,0.45,50.0,calibration,7.0,43.0,0.00013121757705218188,327700.0
1.0,0.45,50.0,calibration,8.0,5.0,1.5257857796765334e-05,327700.0
1.0,0.45,50.0,calibration,9.0,0.0,0.0,327700.0
1.0,0.45,50.0,calibration,10.0,1.0,3.0515715593530666e-06,327700.0
1.0,0.45,50.0,heldout,0.0,277198.0,0.8458895331095514,327700.0
1.0,0.45,50.0,heldout,1.0,28570.0,0.08718339945071713,327700.0
1.0,0.45,50.0,heldout,2.0,13556.0,0.041367104058590176,327700.0
1.0,0.45,50.0,heldout,3.0,5537.0,0.01689655172413793,327700.0
1.0,0.45,50.0,heldout,4.0,2009.0,0.006130607262740311,327700.0
1.0,0.45,50.0,heldout,5.0,626.0,0.0019102837961550198,327700.0
1.0,0.45,50.0,heldout,6.0,159.0,0.0004851998779371376,327700.0
1.0,0.45,50.0,heldout,7.0,35.0,0.00010680500457735734,327700.0
1.0,0.45,50.0,heldout,8.0,9.0,2.74641440341776e-05,327700.0
1.0,0.45,50.0,heldout,9.0,1.0,3.0515715593530666e-06,327700.0
1.0,0.45,100.0,calibration,0.0,125218.0,0.7642233750381446,163850.0
1.0,0.45,100.0,calibration,1.0,17574.0,0.1072566371681416,163850.0
1.0,0.45,100.0,calibration,2.0,9779.0,0.05968263655782728,163850.0
1.0,0.45,100.0,calibration,3.0,5343.0,0.032609093683246874,163850.0
1.0,0.45,100.0,calibration,4.0,2985.0,0.01821788220933781,163850.0
1.0,0.45,100.0,calibration,5.0,1552.0,0.00947207812023192,163850.0
1.0,0.45,100.0,calibration,6.0,773.0,0.004717729630759841,163850.0
1.0,0.45,100.0,calibration,7.0,372.0,0.0022703692401586815,163850.0
1.0,0.45,100.0,calibration,8.0,160.0,0.0009765028989929814,163850.0
1.0,0.45,100.0,calibration,9.0,65.0,0.0003967043027158987,163850.0
1.0,0.45,100.0,calibration,10.0,24.0,0.0001464754348489472,163850.0
1.0,0.45,100.0,calibration,11.0,3.0,1.83094293561184e-05,163850.0
1.0,0.45,100.0,calibration,12.0,1.0,6.103143118706133e-06,163850.0
1.0,0.45,100.0,calibration,13.0,0.0,0.0,163850.0
1.0,0.45,100.0,calibration,14.0,1.0,6.103143118706133e-06,163850.0
1.0,0.45,100.0,heldout,0.0,124829.0,0.7618492523649679,163850.0
1.0,0.45,100.0,heldout,1.0,17249.0,0.1052731156545621,163850.0
1.0,0.45,100.0,heldout,2.0,9866.0,0.06021361000915471,163850.0
1.0,0.45,100.0,heldout,3.0,5549.0,0.03386634116570034,163850.0
1.0,0.45,100.0,heldout,4.0,3179.0,0.0194018919743668,163850.0
1.0,0.45,100.0,heldout,5.0,1714.0,0.010460787305462313,163850.0
1.0,0.45,100.0,heldout,6.0,809.0,0.004937442783033262,163850.0
1.0,0.45,100.0,heldout,7.0,399.0,0.0024351541043637474,163850.0
