model,independent_replicate_count,required_replicate_count,required_realizations_per_replicate,radial_bin_count,quality_realization_completeness_pass,quality_pass,precision_pass,raw_curve_transfer_pass,curve_transfer_pass,mechanism_state,maximum_unsupported_tuple_count,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_ensemble_msd_mc_relative_se,maximum_ensemble_ngp_mc_se,maximum_ensemble_fs_mc_se,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,maximum_scheduled_return_fraction_absolute_error,maximum_scheduled_return_given_return_absolute_error,maximum_scheduled_return_given_escape_absolute_error,maximum_return_holding_time_mean_relative_error,maximum_escape_holding_time_mean_relative_error,maximum_return_holding_time_quantile_maximum_relative_error,maximum_escape_holding_time_quantile_maximum_relative_error,maximum_radial_mean_relative_error,maximum_radial_standard_deviation_relative_error,maximum_lag_one_cosine_mean_absolute_error,maximum_lag_one_cosine_quantile_maximum_absolute_error,maximum_geometric_return_fraction_absolute_error,maximum_return_closure_quantile_maximum_error_over_dw,temperature,calibration_time,block_size,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,calibration_residual_source,heldout_target_source,debye_waller_source
anchor_aware_semi_markov,5.0,5.0,16.0,8.0,1.0,0.0,1.0,0.0,0.0,unresolved_quality,0.0,0.34596673084693186,0.21047603236341383,0.060604248400437766,0.0015584118152271002,0.0029577379200228814,0.0005703879208958869,0.0,0.0,0.0,0.014439183496879983,0.024717790169846418,0.013636860786412762,0.10803912130311755,0.0672775507988872,0.2142857142857142,0.09523809523809523,0.011922114988900945,0.10538810030029033,0.010432970748709653,0.020547920146598786,0.01275335900065596,0.04592321520488796,0.58,750.0,20.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,5.0,5.0,16.0,8.0,1.0,0.0,1.0,0.0,0.0,unresolved_quality,0.0,0.3666796261742822,0.242133638048316,0.0626856931364056,0.0016095709770019722,0.002920904415160964,0.0005676427960758215,0.0,0.0,0.0,0.014439183496879983,0.024717790169846418,0.013636860786412762,0.10803912130311755,0.0672775507988872,0.2142857142857142,0.09523809523809523,0.011922114988900945,0.10538810030029033,0.00941788087487202,0.01672934667231877,0.004802414996697001,2.8917683710508406,0.58,750.0,20.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
