record,model,held_clone_index,history_length,history_time_tau,slow_mode_count,state_mode_count,include_smooth_cage_position,include_smooth_cage_velocity,captured_force_history_variance_fraction,trajectory_sha256,heldout_state_r_squared,heldout_velocity_r_squared,heldout_velocity_residual_mean_squared,maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,maximum_held_velocity_residual_lag_correlation,maximum_held_force_residual_lag_correlation,kinematic_residual_rms,kinematic_increment_rms,normalized_trapezoidal_kinematic_error,thermodynamic_claim_allowed,terminal_diffusion_relative_error,multi_k_fs_max_relative_error,ngp_max_absolute_error,observed_event_rate,predicted_event_rate,event_rate_relative_error,observed_event_count,predicted_event_count,maximum_jacobian_gram_condition_number,minimum_support_count,spectral_radius,stationary_covariance_relative_error,fit_parameters_from_macro_observables,maximum_held_cage_position_residual_lag_correlation,maximum_held_cage_velocity_residual_lag_correlation
held_clone,hankel_slow_16,1.0,64.0,0.63,16.0,17.0,0.0,0.0,0.9897447832486934,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.997837954068488,0.9781766590475462,0.012590733028640501,0.24165324065685784,0.8569126517990755,0.3304041057237491,0.8569126517990755,0.00018557227078358946,0.004676143610489013,0.03968489555524644,0.0,2.8534838682950365,0.8069108115690459,0.2581095609159898,0.036379511059371365,0.05372670807453416,0.4768397515527949,20.0,692.0,3.415094873795265,58.0,0.9906045351791992,5.923592771685177e-15,0.0,,
held_clone,hankel_slow_16_position,1.0,64.0,0.63,16.0,18.0,1.0,0.0,0.9897447832486934,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9978630766036198,0.9782336151825688,0.012557872822131536,0.2438744987767219,0.9506949635235162,0.328369513948294,0.858001236868927,0.00018557227078358946,0.004676143610489013,0.03968489555524644,0.0,2.3007430248154495,0.7533868978699253,0.24119404555606105,0.036379511059371365,0.046894409937888196,0.2890335403726707,20.0,604.0,3.415094873795265,58.0,0.9906042193529352,3.3635252876600614e-14,0.0,0.9506949635235162,
held_clone,hankel_slow_16_position_velocity,1.0,64.0,0.63,16.0,19.0,1.0,1.0,0.9897447832486934,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9979579237356074,0.97844397945367,0.012436505503444197,0.2545081136269903,0.8551846524229004,0.3170052308721924,0.8551846524229004,0.00018557227078358946,0.004676143610489013,0.03968489555524644,0.0,3.5285113276780065,0.882255333184675,0.24045908588304932,0.036379511059371365,0.1015527950310559,1.791483229813664,20.0,1308.0,3.415094873795265,58.0,0.9905630873381672,3.0678172115860557e-15,0.0,0.5114450450289454,0.5266579990470982
held_clone,hankel_slow_16,2.0,64.0,0.63,16.0,17.0,0.0,0.0,0.9897032478085849,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99786236511848,0.9781205937875167,0.012608135940991751,0.21651448346992377,0.8545126182388575,0.33031961100279067,0.8545126182388575,0.00018507501169349032,0.004656249293511876,0.0397476595489374,0.0,2.9209685364813134,0.8206780006359856,0.21068035240410032,0.0400174621653085,0.056754658385093165,0.41824731789949166,22.0,731.0,3.671121377136978,57.0,0.9904821838743412,5.510224169828211e-15,0.0,,
held_clone,hankel_slow_16_position,2.0,64.0,0.63,16.0,18.0,1.0,0.0,0.9897032478085849,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9978837772094789,0.9781793863554273,0.012574256379483624,0.21907711008527284,0.9511953999279461,0.32814083989965365,0.856123008569877,0.00018507501169349032,0.004656249293511876,0.0397476595489374,0.0,2.408459970373525,0.7687305810065354,0.23331864240365108,0.0400174621653085,0.04642857142857143,0.16020779220779224,22.0,598.0,3.671121377136978,57.0,0.9904770599484268,1.193340451473667e-13,0.0,0.9511953999279461,
held_clone,hankel_slow_16_position_velocity,2.0,64.0,0.63,16.0,19.0,1.0,1.0,0.9897032478085849,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9979793043928143,0.9783758663928412,0.01246103360746923,0.2292685878342985,0.8531069458016737,0.31746786610277566,0.8531069458016737,0.00018507501169349032,0.004656249293511876,0.0397476595489374,0.0,3.6696018483511423,0.8832386821933031,0.2284829557808974,0.0400174621653085,0.10714285714285714,1.677402597402597,22.0,1380.0,3.671121377136978,57.0,0.9904359291417432,4.634166785277461e-15,0.0,0.5113419446959462,0.5262017391490282
held_clone,hankel_slow_16,3.0,64.0,0.63,16.0,17.0,0.0,0.0,0.989665152275856,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9978536273177243,0.978599844547131,0.012602310012949489,0.2533938893612832,0.8562626173186112,0.3358618289479305,0.8562626173186112,0.00018486562357034855,0.004691920324937623,0.03940084459401093,0.0,3.255067436766751,0.8440300932331178,0.3492607096316297,0.03819848661233993,0.04922360248447205,0.2886270334220644,21.0,634.0,3.2887251448097192,58.0,0.9905077225020728,7.537182137594277e-15,0.0,,
held_clone,hankel_slow_16_position,3.0,64.0,0.63,16.0,18.0,1.0,0.0,0.989665152275856,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9978784979939533,0.9786539698178438,0.012570436251912554,0.25497785692804426,0.9507718360696571,0.33398514055090517,0.8574118799897155,0.00018486562357034855,0.004691920324937623,0.03940084459401093,0.0,2.5370798264094208,0.7686741214342324,0.3635871466333871,0.03819848661233993,0.045729813664596275,0.19716296953564028,21.0,589.0,3.2887251448097192,58.0,0.9905044727463765,6.542889455438249e-14,0.0,0.9507718360696571,
held_clone,hankel_slow_16_position_velocity,3.0,64.0,0.63,16.0,19.0,1.0,1.0,0.989665152275856,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9979768301952736,0.9788849227341907,0.012434430686130201,0.26492800791194066,0.8545448878627564,0.3213125783182056,0.8545448878627564,0.00018486562357034855,0.004691920324937623,0.03940084459401093,0.0,3.8497307145377198,0.859152794922874,0.3408989329618912,0.03819848661233993,0.10201863354037267,1.6707506654835846,21.0,1314.0,3.2887251448097192,58.0,0.9904691076214758,5.6503766982153804e-15,0.0,0.5109359924470865,0.5256376083012776
held_clone,hankel_slow_16,4.0,64.0,0.63,16.0,17.0,0.0,0.0,0.9895029906213201,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9978984608491184,0.9781623939200556,0.0124659991634282,0.2709995196857439,0.8572946298744828,0.3192390569892697,0.8572946298744828,0.00018521965505815594,0.004619724748086951,0.04009322311569671,0.0,2.9064396792934373,0.8060396770439238,0.1897220952110925,0.03456053550640279,0.06055900621118013,0.7522589081399151,19.0,780.0,3.386512896631131,59.0,0.9903640217226398,4.371111730943393e-15,0.0,,
